,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,14,2,14,12,Washington,14,Massachusetts,9,/teams/events/match_report/?EventGameId=uzRJzn%2bfb0rcetu5Iz3x1ILN7Scs%2bB7txsMD2Z%2fpXnM%3d
1,12,3,12,14,Massachusetts,12,Washington,11,/teams/events/match_report/?EventGameId=uzRJzn%2bfb0rcetu5Iz3x1ILN7Scs%2bB7txsMD2Z%2fpXnM%3d
2,14,2,14,12,Washington,14,Massachusetts,9,/teams/events/match_report/?EventGameId=uzRJzn%2bfb0rcetu5Iz3x1ILN7Scs%2bB7txsMD2Z%2fpXnM%3d
3,12,3,12,14,Massachusetts,12,Washington,11,/teams/events/match_report/?EventGameId=uzRJzn%2bfb0rcetu5Iz3x1ILN7Scs%2bB7txsMD2Z%2fpXnM%3d
4,15,3,15,11,Colorado State,15,Stanford,9,/teams/events/match_report/?EventGameId=AZmVlGCuP9WcBvrfrraRauHGkVmzwrK6Jy1VAsz810o%3d
5,11,3,11,15,Stanford,11,Colorado State,12,/teams/events/match_report/?EventGameId=AZmVlGCuP9WcBvrfrraRauHGkVmzwrK6Jy1VAsz810o%3d
6,15,3,15,11,Colorado State,15,Stanford,9,/teams/events/match_report/?EventGameId=AZmVlGCuP9WcBvrfrraRauHGkVmzwrK6Jy1VAsz810o%3d
7,11,3,11,15,Stanford,11,Colorado State,12,/teams/events/match_report/?EventGameId=AZmVlGCuP9WcBvrfrraRauHGkVmzwrK6Jy1VAsz810o%3d
8,14,4,15,10,Colorado State,15,Washington,9,/teams/events/match_report/?EventGameId=HvMMuVODvSoHn9fdmuehTaXNC7GE%2b0WYnetouNh8bUs%3d
9,10,4,10,15,Washington,10,Colorado State,14,/teams/events/match_report/?EventGameId=HvMMuVODvSoHn9fdmuehTaXNC7GE%2b0WYnetouNh8bUs%3d
10,14,4,15,10,Colorado State,15,Washington,9,/teams/events/match_report/?EventGameId=HvMMuVODvSoHn9fdmuehTaXNC7GE%2b0WYnetouNh8bUs%3d
11,10,4,10,15,Washington,10,Colorado State,14,/teams/events/match_report/?EventGameId=HvMMuVODvSoHn9fdmuehTaXNC7GE%2b0WYnetouNh8bUs%3d
12,12,7,12,10,Cal Poly-SLO,12,Stanford,16,/teams/events/match_report/?EventGameId=jPfx2YkSoa%2fJ1QeWkr5yk%2bat9pXSSspJO1C1DeXr7LI%3d
13,10,9,10,12,Stanford,10,Cal Poly-SLO,18,/teams/events/match_report/?EventGameId=jPfx2YkSoa%2fJ1QeWkr5yk%2bat9pXSSspJO1C1DeXr7LI%3d
14,12,7,12,10,Cal Poly-SLO,12,Stanford,16,/teams/events/match_report/?EventGameId=jPfx2YkSoa%2fJ1QeWkr5yk%2bat9pXSSspJO1C1DeXr7LI%3d
15,10,9,10,12,Stanford,10,Cal Poly-SLO,18,/teams/events/match_report/?EventGameId=jPfx2YkSoa%2fJ1QeWkr5yk%2bat9pXSSspJO1C1DeXr7LI%3d
16,15,6,15,12,Cal Poly-SLO,15,Massachusetts,16,/teams/events/match_report/?EventGameId=q%2fzDUrj4aF%2bG%2fDFG%2fXi1eynw19hpBbGOVE%2bJLYLgt8U%3d
17,12,7,12,15,Massachusetts,12,Cal Poly-SLO,16,/teams/events/match_report/?EventGameId=q%2fzDUrj4aF%2bG%2fDFG%2fXi1eynw19hpBbGOVE%2bJLYLgt8U%3d
18,15,6,15,12,Cal Poly-SLO,15,Massachusetts,16,/teams/events/match_report/?EventGameId=q%2fzDUrj4aF%2bG%2fDFG%2fXi1eynw19hpBbGOVE%2bJLYLgt8U%3d
19,12,7,12,15,Massachusetts,12,Cal Poly-SLO,16,/teams/events/match_report/?EventGameId=q%2fzDUrj4aF%2bG%2fDFG%2fXi1eynw19hpBbGOVE%2bJLYLgt8U%3d
20,14,8,14,11,Stanford,14,Massachusetts,10,/teams/events/match_report/?EventGameId=zu5rJnuHhyH3jKQMXYqHpSLyLmEyH4MkpDM80MNS5a0%3d
21,11,5,11,14,Massachusetts,11,Stanford,13,/teams/events/match_report/?EventGameId=zu5rJnuHhyH3jKQMXYqHpSLyLmEyH4MkpDM80MNS5a0%3d
22,14,8,14,11,Stanford,14,Massachusetts,10,/teams/events/match_report/?EventGameId=zu5rJnuHhyH3jKQMXYqHpSLyLmEyH4MkpDM80MNS5a0%3d
23,11,5,11,14,Massachusetts,11,Stanford,13,/teams/events/match_report/?EventGameId=zu5rJnuHhyH3jKQMXYqHpSLyLmEyH4MkpDM80MNS5a0%3d
24,14,6,14,16,Cal Poly-SLO,14,Washington,15,/teams/events/match_report/?EventGameId=VK9tEDUvcr%2fHqFe0r0GXufeZgZ6sEDFUL63o7jNQbCc%3d
25,16,7,16,14,Washington,16,Cal Poly-SLO,12,/teams/events/match_report/?EventGameId=VK9tEDUvcr%2fHqFe0r0GXufeZgZ6sEDFUL63o7jNQbCc%3d
26,14,6,14,16,Cal Poly-SLO,14,Washington,15,/teams/events/match_report/?EventGameId=VK9tEDUvcr%2fHqFe0r0GXufeZgZ6sEDFUL63o7jNQbCc%3d
27,16,7,16,14,Washington,16,Cal Poly-SLO,12,/teams/events/match_report/?EventGameId=VK9tEDUvcr%2fHqFe0r0GXufeZgZ6sEDFUL63o7jNQbCc%3d
28,15,6,15,10,Colorado State,15,Massachusetts,7,/teams/events/match_report/?EventGameId=CfrD%2bu1ET2h6SVUmg5YT4YyUD9LJbSfClFtQdVrDPt8%3d
29,10,2,10,15,Massachusetts,10,Colorado State,11,/teams/events/match_report/?EventGameId=CfrD%2bu1ET2h6SVUmg5YT4YyUD9LJbSfClFtQdVrDPt8%3d
30,15,6,15,10,Colorado State,15,Massachusetts,7,/teams/events/match_report/?EventGameId=CfrD%2bu1ET2h6SVUmg5YT4YyUD9LJbSfClFtQdVrDPt8%3d
31,10,2,10,15,Massachusetts,10,Colorado State,11,/teams/events/match_report/?EventGameId=CfrD%2bu1ET2h6SVUmg5YT4YyUD9LJbSfClFtQdVrDPt8%3d
32,15,7,15,12,Stanford,15,Washington,13,/teams/events/match_report/?EventGameId=A4hOJHY8PrKiJ77jiNMz3aytOYIc%2fK1FocNDfXUkEow%3d
33,12,6,12,15,Washington,12,Stanford,14,/teams/events/match_report/?EventGameId=A4hOJHY8PrKiJ77jiNMz3aytOYIc%2fK1FocNDfXUkEow%3d
34,15,7,15,12,Stanford,15,Washington,13,/teams/events/match_report/?EventGameId=A4hOJHY8PrKiJ77jiNMz3aytOYIc%2fK1FocNDfXUkEow%3d
35,12,6,12,15,Washington,12,Stanford,14,/teams/events/match_report/?EventGameId=A4hOJHY8PrKiJ77jiNMz3aytOYIc%2fK1FocNDfXUkEow%3d
36,11,5,11,15,Cal Poly-SLO,11,Colorado State,20,/teams/events/match_report/?EventGameId=uYsFYGNT8dIDqRFwr7uQdQhRQfZ8PPVcq3eQNN%2f45Dk%3d
37,15,10,15,11,Colorado State,15,Cal Poly-SLO,16,/teams/events/match_report/?EventGameId=uYsFYGNT8dIDqRFwr7uQdQhRQfZ8PPVcq3eQNN%2f45Dk%3d
