,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,3,Rachel Thomson,RACHEL THOMSON,0,0,1,1,1,1,1,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d,Stanford,1,13,Colorado,8,11
1,5,Anne Gordon,ANNE GORDON,1,1,1,1,1,0,0,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d,Stanford,1,13,Colorado,8,11
2,6,Carly Eckstrom,CARLY ECKSTROM,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d,Stanford,1,13,Colorado,8,11
3,10,Sesha McMinn,SESHA MCMINN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d,Stanford,1,13,Colorado,8,11
4,11,Bridget Connor,BRIDGET CONNOR,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d,Stanford,1,13,Colorado,8,11
5,12,Rosemarie Sandino,ROSEMARIE SANDINO,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d,Stanford,1,13,Colorado,8,11
6,14,Monisha White,MONISHA WHITE,1,1,3,3,2,2,2,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d,Stanford,1,13,Colorado,8,11
7,17,Marie Payne,MARIE PAYNE,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d,Stanford,1,13,Colorado,8,11
8,18,Michelle McGhee,MICHELLE MCGHEE,0,0,1,1,1,4,4,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d,Stanford,1,13,Colorado,8,11
9,20,Elise Bruguera,ELISE BRUGUERA,0,0,1,1,1,2,2,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d,Stanford,1,13,Colorado,8,11
