,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,13,9,13,11,Colorado,13,Stanford,21,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d
1,11,6,11,13,Stanford,11,Colorado,20,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d
2,13,9,13,11,Colorado,13,Stanford,21,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d
3,11,6,11,13,Stanford,11,Colorado,20,/teams/events/match_report/?EventGameId=pmW9YTd7i%2bRWPl%2fsWvWuG7gSJBd%2bAOBZMH5qDdJLiJs%3d
4,15,9,15,9,Pittsburgh,15,Carleton College,23,/teams/events/match_report/?EventGameId=b%2f9hR0wVeRAQ4352%2bTmz8jlJFO%2b8X5Buw8uhTy5278Q%3d
5,9,8,9,15,Carleton College,9,Pittsburgh,26,/teams/events/match_report/?EventGameId=b%2f9hR0wVeRAQ4352%2bTmz8jlJFO%2b8X5Buw8uhTy5278Q%3d
6,15,9,15,9,Pittsburgh,15,Carleton College,23,/teams/events/match_report/?EventGameId=b%2f9hR0wVeRAQ4352%2bTmz8jlJFO%2b8X5Buw8uhTy5278Q%3d
7,9,8,9,15,Carleton College,9,Pittsburgh,26,/teams/events/match_report/?EventGameId=b%2f9hR0wVeRAQ4352%2bTmz8jlJFO%2b8X5Buw8uhTy5278Q%3d
8,15,4,15,9,Pittsburgh,15,Colorado,16,/teams/events/match_report/?EventGameId=015e3v2BpYm01VXOOsh63da20a%2fi7CmsqVIteGTZegg%3d
9,9,5,9,15,Colorado,9,Pittsburgh,21,/teams/events/match_report/?EventGameId=015e3v2BpYm01VXOOsh63da20a%2fi7CmsqVIteGTZegg%3d
10,15,4,15,9,Pittsburgh,15,Colorado,16,/teams/events/match_report/?EventGameId=015e3v2BpYm01VXOOsh63da20a%2fi7CmsqVIteGTZegg%3d
11,9,5,9,15,Colorado,9,Pittsburgh,21,/teams/events/match_report/?EventGameId=015e3v2BpYm01VXOOsh63da20a%2fi7CmsqVIteGTZegg%3d
12,14,6,14,10,Ohio State,14,Carleton College,23,/teams/events/match_report/?EventGameId=LSQyOSDbDM0RMfGGodCpH349imztzcMS8FYQ7zdB6jo%3d
13,10,10,10,14,Carleton College,10,Ohio State,26,/teams/events/match_report/?EventGameId=LSQyOSDbDM0RMfGGodCpH349imztzcMS8FYQ7zdB6jo%3d
14,14,6,14,10,Ohio State,14,Carleton College,23,/teams/events/match_report/?EventGameId=LSQyOSDbDM0RMfGGodCpH349imztzcMS8FYQ7zdB6jo%3d
15,10,10,10,14,Carleton College,10,Ohio State,26,/teams/events/match_report/?EventGameId=LSQyOSDbDM0RMfGGodCpH349imztzcMS8FYQ7zdB6jo%3d
