,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,0,Peter Mccloskey,PETER MCCLOSKEY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=daI9RYtHla1xWOhvjYOhIMQJV%2f%2fsOsfZ3fhP09IYiWY%3d,Pittsburgh,1,15,Georgia,8,13
1,2,Joseph Bender,JOSEPH BENDER,2,2,1,1,0,0,0,/teams/events/match_report/?EventGameId=daI9RYtHla1xWOhvjYOhIMQJV%2f%2fsOsfZ3fhP09IYiWY%3d,Pittsburgh,1,15,Georgia,8,13
2,3,Patrick Earles,PATRICK EARLES,1,1,6,6,0,0,0,/teams/events/match_report/?EventGameId=daI9RYtHla1xWOhvjYOhIMQJV%2f%2fsOsfZ3fhP09IYiWY%3d,Pittsburgh,1,15,Georgia,8,13
3,5,Saul Graves,SAUL GRAVES,3,3,1,1,0,0,0,/teams/events/match_report/?EventGameId=daI9RYtHla1xWOhvjYOhIMQJV%2f%2fsOsfZ3fhP09IYiWY%3d,Pittsburgh,1,15,Georgia,8,13
4,7,Richard Boyle,RICHARD BOYLE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=daI9RYtHla1xWOhvjYOhIMQJV%2f%2fsOsfZ3fhP09IYiWY%3d,Pittsburgh,1,15,Georgia,8,13
5,8,Tyler Kunsa,TYLER KUNSA,1,1,3,3,0,0,0,/teams/events/match_report/?EventGameId=daI9RYtHla1xWOhvjYOhIMQJV%2f%2fsOsfZ3fhP09IYiWY%3d,Pittsburgh,1,15,Georgia,8,13
6,9,Carl Morgenstern,CARL MORGENSTERN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=daI9RYtHla1xWOhvjYOhIMQJV%2f%2fsOsfZ3fhP09IYiWY%3d,Pittsburgh,1,15,Georgia,8,13
7,10,Max Thorne,MAX THORNE,4,4,0,0,0,0,0,/teams/events/match_report/?EventGameId=daI9RYtHla1xWOhvjYOhIMQJV%2f%2fsOsfZ3fhP09IYiWY%3d,Pittsburgh,1,15,Georgia,8,13
8,11,Kyle Hartley,KYLE HARTLEY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=daI9RYtHla1xWOhvjYOhIMQJV%2f%2fsOsfZ3fhP09IYiWY%3d,Pittsburgh,1,15,Georgia,8,13
9,12,Kevin Tang,KEVIN TANG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=daI9RYtHla1xWOhvjYOhIMQJV%2f%2fsOsfZ3fhP09IYiWY%3d,Pittsburgh,1,15,Georgia,8,13
