,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,15,0,15,10,Notre Dame,15,Oregon,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d
1,10,0,9,15,Oregon,10,Notre Dame,0,/teams/events/match_report/?EventGameId=rVVzIL3AsYMErKuPFBAwKWVM9v4Vfg7%2fCltEg1Qn568%3d
2,14,0,14,13,Central Florida,14,Florida State,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d
3,13,0,13,14,Florida State,13,Central Florida,0,/teams/events/match_report/?EventGameId=sOf4I9XK2Qj05HVt50QedN32VlRrYFta9vOBXTGaPds%3d
4,11,0,9,9,Central Florida,11,Notre Dame,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d
5,9,0,9,11,Notre Dame,9,Central Florida,0,/teams/events/match_report/?EventGameId=7xMSm0Hb%2bwldg20NuSacsrMYJ479MBxE%2fZTiW8TyJLc%3d
6,10,0,10,14,Victoria,10,Florida State,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d
7,14,0,14,10,Florida State,14,Victoria,0,/teams/events/match_report/?EventGameId=wsgX%2bwB4lEtz%2fOnlaW%2f3hFs46rvpUKAyrGWllaQYQfc%3d
8,15,0,15,9,Victoria,15,Oregon,0,/teams/events/match_report/?EventGameId=qJV9dVZn%2fRvX6OznYAExvVdE2IuzQMpAngczoIep0lY%3d
9,9,0,9,15,Oregon,9,Victoria,0,/teams/events/match_report/?EventGameId=qJV9dVZn%2fRvX6OznYAExvVdE2IuzQMpAngczoIep0lY%3d
10,14,0,14,5,Florida State,15,Oregon,0,/teams/events/match_report/?EventGameId=EHqtjTKoDW1VfvODRF%2bDs%2bTJsUQTE3hlU0mutuD971w%3d
11,5,0,5,15,Oregon,5,Florida State,0,/teams/events/match_report/?EventGameId=EHqtjTKoDW1VfvODRF%2bDs%2bTJsUQTE3hlU0mutuD971w%3d
12,10,0,10,15,Victoria,10,Notre Dame,0,/teams/events/match_report/?EventGameId=kZryiqRz89w%2fwiEFOycR4Itpyz4%2fd89vGeOSUU32Ge4%3d
13,15,0,15,10,Notre Dame,15,Victoria,0,/teams/events/match_report/?EventGameId=kZryiqRz89w%2fwiEFOycR4Itpyz4%2fd89vGeOSUU32Ge4%3d
14,15,0,15,3,Central Florida,15,Oregon,0,/teams/events/match_report/?EventGameId=O5MLebN%2f2NG59zaux5LvdwSrWXODgWOM0zzON6fFF0c%3d
