,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Score
0,3,Ben Sadok,BEN SADOK,2,2,2,2,1,2,2,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d,Massachusetts,1,11,15
1,4,Ciaran Shaughnessy,CIARAN SHAUGHNESSY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d,Massachusetts,1,11,15
2,7,Gabriel Schmitt,GABRIEL SCHMITT,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d,Massachusetts,1,11,15
3,9,Sam Carr,SAM CARR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d,Massachusetts,1,11,15
4,10,Jared Madore,JARED MADORE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d,Massachusetts,1,11,15
5,11,Conor Kline,CONOR KLINE,1,1,1,1,0,2,2,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d,Massachusetts,1,11,15
6,12,Ben Tseytlin,BEN TSEYTLIN,1,1,0,0,1,0,0,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d,Massachusetts,1,11,15
7,15,Tannor Johnson,TANNOR JOHNSON,0,0,2,2,0,2,2,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d,Massachusetts,1,11,15
8,16,Giancarlo Cincotta,GIANCARLO CINCOTTA,2,2,0,0,1,3,3,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d,Massachusetts,1,11,15
9,18,Brett Gramann,BRETT GRAMANN,1,1,1,1,1,0,0,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d,Massachusetts,1,11,15
