,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,10,5,9,15,Georgia,11,Massachusetts,13,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d
1,15,7,15,11,Massachusetts,15,Georgia,11,/teams/events/match_report/?EventGameId=ZT2hx%2fFH%2f8KJ%2fr06J7DsEXm0DJwmABdNYU1a8FCeC2o%3d
2,15,5,15,13,Washington,15,Texas A&M,10,/teams/events/match_report/?EventGameId=ZkqhmjtVeIjMJA9p%2fZQJ8tkrH5HPaY%2ftefyUJ%2b0Q2Ak%3d
3,13,5,13,15,Texas A&M,13,Washington,10,/teams/events/match_report/?EventGameId=ZkqhmjtVeIjMJA9p%2fZQJ8tkrH5HPaY%2ftefyUJ%2b0Q2Ak%3d
4,14,5,14,11,Washington,14,Georgia,7,/teams/events/match_report/?EventGameId=P9YDzo%2bxMHen3qrO2QY7pZzEVDhg2cFN5dctt2ytGks%3d
5,11,4,11,14,Georgia,11,Washington,6,/teams/events/match_report/?EventGameId=P9YDzo%2bxMHen3qrO2QY7pZzEVDhg2cFN5dctt2ytGks%3d
6,11,8,11,13,Cal Poly-SLO,11,Texas A&M,15,/teams/events/match_report/?EventGameId=v22zV9WsNpBgHryiSXOIFhVOmW38eAiEB8WBInoiUjQ%3d
7,13,7,13,11,Texas A&M,13,Cal Poly-SLO,14,/teams/events/match_report/?EventGameId=v22zV9WsNpBgHryiSXOIFhVOmW38eAiEB8WBInoiUjQ%3d
8,15,1,15,8,Cal Poly-SLO,15,Massachusetts,6,/teams/events/match_report/?EventGameId=k54a2W0dd3xKCtUWd3%2fMMNyqUcMNhewNrROaPVBb3%2f8%3d
9,8,3,8,15,Massachusetts,8,Cal Poly-SLO,10,/teams/events/match_report/?EventGameId=k54a2W0dd3xKCtUWd3%2fMMNyqUcMNhewNrROaPVBb3%2f8%3d
10,15,10,15,9,Texas A&M,15,Massachusetts,16,/teams/events/match_report/?EventGameId=%2fdszXpESy8In7%2b2sToKtl%2bVcW71kl0KYJj5IAsgWkYo%3d
11,9,6,9,15,Massachusetts,9,Texas A&M,22,/teams/events/match_report/?EventGameId=%2fdszXpESy8In7%2b2sToKtl%2bVcW71kl0KYJj5IAsgWkYo%3d
12,15,6,15,13,Cal Poly-SLO,15,Georgia,10,/teams/events/match_report/?EventGameId=gE7ksgBB9TnGNYnWfSFlwH5pubZhMEG%2bo6Alu21IfoY%3d
13,13,4,13,15,Georgia,13,Cal Poly-SLO,10,/teams/events/match_report/?EventGameId=gE7ksgBB9TnGNYnWfSFlwH5pubZhMEG%2bo6Alu21IfoY%3d
14,12,6,14,13,Washington,14,Massachusetts,8,/teams/events/match_report/?EventGameId=UKETf1QddcdMUeB9KngGKv8BFIOxBXpA7RgWmReSxPc%3d
15,13,8,13,14,Massachusetts,13,Washington,13,/teams/events/match_report/?EventGameId=UKETf1QddcdMUeB9KngGKv8BFIOxBXpA7RgWmReSxPc%3d
16,2,2,2,15,Texas A&M,2,Georgia,13,/teams/events/match_report/?EventGameId=hhTlcYCy%2fY3CxBjTmtswWWxaOKtaJkRT3nB2%2fLiOsu0%3d
17,14,11,15,2,Georgia,15,Texas A&M,10,/teams/events/match_report/?EventGameId=hhTlcYCy%2fY3CxBjTmtswWWxaOKtaJkRT3nB2%2fLiOsu0%3d
18,13,5,14,14,Cal Poly-SLO,15,Washington,2,/teams/events/match_report/?EventGameId=5cUzEhplDiMbTYOhqIO1zwpic8ThozuIJSw6DkqM5uI%3d
19,14,10,14,15,Washington,14,Cal Poly-SLO,6,/teams/events/match_report/?EventGameId=5cUzEhplDiMbTYOhqIO1zwpic8ThozuIJSw6DkqM5uI%3d
20,14,13,14,12,Case Western Reserve,14,Oregon,16,/teams/events/match_report/?EventGameId=p8xB%2fEh%2buq5AkCsHBLt%2b7AxJpyurs%2fcj9zH2vDp%2fQKk%3d
21,12,8,12,14,Oregon,12,Case Western Reserve,22,/teams/events/match_report/?EventGameId=p8xB%2fEh%2buq5AkCsHBLt%2b7AxJpyurs%2fcj9zH2vDp%2fQKk%3d
22,15,9,15,14,Florida State,16,North Carolina,10,/teams/events/match_report/?EventGameId=qK3snEmiDO5B8W1cF%2fLaWPsCxIBmqEdatDTMMrdcqXM%3d
23,14,5,13,16,North Carolina,14,Florida State,12,/teams/events/match_report/?EventGameId=qK3snEmiDO5B8W1cF%2fLaWPsCxIBmqEdatDTMMrdcqXM%3d
24,14,3,14,12,North Carolina,14,Oregon,14,/teams/events/match_report/?EventGameId=BmJo27bG9FpCRGYUVjTLuNpzdvYZBA2Age91wcaLlII%3d
25,12,5,12,14,Oregon,12,North Carolina,14,/teams/events/match_report/?EventGameId=BmJo27bG9FpCRGYUVjTLuNpzdvYZBA2Age91wcaLlII%3d
26,15,10,15,12,Florida State,15,Colorado,13,/teams/events/match_report/?EventGameId=7DZ46%2frbFQ94%2b0wCJ%2fgYUkZDMDnMrpblvrpae3gtWVg%3d
27,12,6,12,15,Colorado,12,Florida State,16,/teams/events/match_report/?EventGameId=7DZ46%2frbFQ94%2b0wCJ%2fgYUkZDMDnMrpblvrpae3gtWVg%3d
28,15,7,15,11,Case Western Reserve,15,Colorado,7,/teams/events/match_report/?EventGameId=BKFUOv4pg5jl6hYxdL81xhFMz4m%2f5R%2fsksgQltIIosw%3d
29,11,4,11,15,Colorado,11,Case Western Reserve,7,/teams/events/match_report/?EventGameId=BKFUOv4pg5jl6hYxdL81xhFMz4m%2f5R%2fsksgQltIIosw%3d
30,9,0,9,15,Colorado,9,Oregon,7,/teams/events/match_report/?EventGameId=A17nz%2bPG7IF7uapj7KAtxcKrZhc6787az8qYY0BIoBE%3d
31,15,4,15,9,Oregon,15,Colorado,3,/teams/events/match_report/?EventGameId=A17nz%2bPG7IF7uapj7KAtxcKrZhc6787az8qYY0BIoBE%3d
32,16,7,16,15,Case Western Reserve,16,North Carolina,6,/teams/events/match_report/?EventGameId=iN5y8tLiVY9MKTsT7rKlHscHws%2f6HEHpioo2D1KJt5c%3d
33,15,8,14,16,North Carolina,15,Case Western Reserve,5,/teams/events/match_report/?EventGameId=iN5y8tLiVY9MKTsT7rKlHscHws%2f6HEHpioo2D1KJt5c%3d
34,15,2,14,11,Case Western Reserve,15,Florida State,5,/teams/events/match_report/?EventGameId=7zXHbp74TOkOo0MsIz1nuIsFs2O2SYc5sd1UXs8Ghjw%3d
35,11,4,11,15,Florida State,11,Case Western Reserve,11,/teams/events/match_report/?EventGameId=7zXHbp74TOkOo0MsIz1nuIsFs2O2SYc5sd1UXs8Ghjw%3d
36,12,10,12,15,Colorado,12,North Carolina,16,/teams/events/match_report/?EventGameId=1xpTmnxHfusv0U2weAJ2VoEKwEZIDK7mi0TrW0mgS%2fA%3d
37,15,6,14,12,North Carolina,15,Colorado,11,/teams/events/match_report/?EventGameId=1xpTmnxHfusv0U2weAJ2VoEKwEZIDK7mi0TrW0mgS%2fA%3d
38,15,4,14,11,Florida State,15,Oregon,6,/teams/events/match_report/?EventGameId=F0dVjmzXrKQNpc9EbSuZa50PDGRTFaPcd6DQBdiXI%2fg%3d
39,11,1,11,15,Oregon,11,Florida State,12,/teams/events/match_report/?EventGameId=F0dVjmzXrKQNpc9EbSuZa50PDGRTFaPcd6DQBdiXI%2fg%3d
40,15,6,14,9,Michigan,15,Wisconsin,12,/teams/events/match_report/?EventGameId=3Q7B8tcoYcQO48d5DEvrielvWHA702p4B%2bj07rJ9Vtg%3d
41,9,4,9,15,Wisconsin,9,Michigan,17,/teams/events/match_report/?EventGameId=3Q7B8tcoYcQO48d5DEvrielvWHA702p4B%2bj07rJ9Vtg%3d
42,15,7,15,10,Connecticut,15,Harvard,8,/teams/events/match_report/?EventGameId=KTk7iHpF1I3vBRW7Cx%2bF1sMcUVgNc8%2f7wgcvpQpkQco%3d
43,10,4,10,15,Harvard,10,Connecticut,10,/teams/events/match_report/?EventGameId=KTk7iHpF1I3vBRW7Cx%2bF1sMcUVgNc8%2f7wgcvpQpkQco%3d
44,11,6,11,15,Wisconsin,11,North Carolina-Wilmington,15,/teams/events/match_report/?EventGameId=1aXY5t5w0SgetpIQ8sL6SQC0%2byBDxRFVioPaUV3vgY4%3d
45,15,4,15,11,North Carolina-Wilmington,15,Wisconsin,12,/teams/events/match_report/?EventGameId=1aXY5t5w0SgetpIQ8sL6SQC0%2byBDxRFVioPaUV3vgY4%3d
46,13,9,13,15,Michigan,13,Harvard,14,/teams/events/match_report/?EventGameId=SHBRO19hcHtiC12WNzUe%2fSCcshdlwOXstrbrEnuRB7c%3d
47,15,8,15,13,Harvard,15,Michigan,12,/teams/events/match_report/?EventGameId=SHBRO19hcHtiC12WNzUe%2fSCcshdlwOXstrbrEnuRB7c%3d
48,12,4,12,15,Connecticut,12,North Carolina-Wilmington,5,/teams/events/match_report/?EventGameId=WtXSfg%2bei%2bg0BfVSwTumi6EnOMmRG4l7wWTv%2fxZlTwY%3d
49,15,6,15,12,North Carolina-Wilmington,15,Connecticut,4,/teams/events/match_report/?EventGameId=WtXSfg%2bei%2bg0BfVSwTumi6EnOMmRG4l7wWTv%2fxZlTwY%3d
50,12,7,12,9,Connecticut,12,Michigan,8,/teams/events/match_report/?EventGameId=WOS3puRaqyN9XtOieu5jSA9hzP%2f4%2fiD%2bPftHet3nRGk%3d
51,9,6,9,12,Michigan,9,Connecticut,6,/teams/events/match_report/?EventGameId=WOS3puRaqyN9XtOieu5jSA9hzP%2f4%2fiD%2bPftHet3nRGk%3d
52,12,6,12,15,Harvard,12,North Carolina-Wilmington,4,/teams/events/match_report/?EventGameId=a32rHwmr%2bIxaJjadrfdb%2b%2fWUfTw8xBxY58oi5J2bjv4%3d
53,14,7,14,12,North Carolina-Wilmington,15,Harvard,4,/teams/events/match_report/?EventGameId=a32rHwmr%2bIxaJjadrfdb%2b%2fWUfTw8xBxY58oi5J2bjv4%3d
54,15,8,15,9,Connecticut,15,Wisconsin,8,/teams/events/match_report/?EventGameId=zGOL6oX6dLawHeYyZ04cxw0m95uleXZBOBAVBDd6zpo%3d
55,9,2,9,15,Wisconsin,9,Connecticut,15,/teams/events/match_report/?EventGameId=zGOL6oX6dLawHeYyZ04cxw0m95uleXZBOBAVBDd6zpo%3d
56,13,12,14,12,Michigan,14,North Carolina-Wilmington,23,/teams/events/match_report/?EventGameId=8LR%2bFzMCTkUQbt6zZAFwdGmdFxcG1zrKtruZe9zefzM%3d
57,12,8,12,14,North Carolina-Wilmington,12,Michigan,25,/teams/events/match_report/?EventGameId=8LR%2bFzMCTkUQbt6zZAFwdGmdFxcG1zrKtruZe9zefzM%3d
58,15,10,15,6,Harvard,15,Wisconsin,8,/teams/events/match_report/?EventGameId=sFyiWHlqPW8wtJFVjR90zFSl%2buEetuviTK2ORnbQkYM%3d
59,6,2,6,15,Wisconsin,6,Harvard,18,/teams/events/match_report/?EventGameId=sFyiWHlqPW8wtJFVjR90zFSl%2buEetuviTK2ORnbQkYM%3d
60,13,2,13,15,Auburn,13,Pittsburgh,5,/teams/events/match_report/?EventGameId=dWKLXT1cWnWkCkNyI0rdd4Sm5YWnLMqnYJjgz%2bquikk%3d
61,15,4,15,13,Pittsburgh,15,Auburn,6,/teams/events/match_report/?EventGameId=dWKLXT1cWnWkCkNyI0rdd4Sm5YWnLMqnYJjgz%2bquikk%3d
62,15,8,12,6,Utah,15,Carleton College,12,/teams/events/match_report/?EventGameId=eYwnjNkkIJhl1CJoemVPrtCc4FhsGwNK3ZqUVoPvzXk%3d
63,6,6,6,15,Carleton College,6,Utah,17,/teams/events/match_report/?EventGameId=eYwnjNkkIJhl1CJoemVPrtCc4FhsGwNK3ZqUVoPvzXk%3d
64,15,11,15,8,Utah,15,Minnesota,13,/teams/events/match_report/?EventGameId=Owdp95vn5eldVP6ALQPz1JWi8j%2fITMKgRB3drCOx1JI%3d
65,8,2,8,15,Minnesota,8,Utah,18,/teams/events/match_report/?EventGameId=Owdp95vn5eldVP6ALQPz1JWi8j%2fITMKgRB3drCOx1JI%3d
66,15,10,15,15,Auburn,16,Carleton College,12,/teams/events/match_report/?EventGameId=GL9xVYqKggPPtuxeynEBKiUYlT8REEyS7QGgErnTFvc%3d
67,15,8,16,16,Carleton College,15,Auburn,13,/teams/events/match_report/?EventGameId=GL9xVYqKggPPtuxeynEBKiUYlT8REEyS7QGgErnTFvc%3d
68,13,2,13,15,Pittsburgh,13,Minnesota,11,/teams/events/match_report/?EventGameId=5XVSgAW18xRxKxFWUtL%2f%2bh8Co%2f6F68ceWmNPo9Niolc%3d
69,15,4,15,13,Minnesota,15,Pittsburgh,9,/teams/events/match_report/?EventGameId=5XVSgAW18xRxKxFWUtL%2f%2bh8Co%2f6F68ceWmNPo9Niolc%3d
70,15,3,15,11,Carleton College,15,Minnesota,5,/teams/events/match_report/?EventGameId=LiEZN2iaChQSlS4jh8DlzqIS8TUSfW0LPkYcUOdW4Ik%3d
71,11,5,11,15,Minnesota,11,Carleton College,9,/teams/events/match_report/?EventGameId=LiEZN2iaChQSlS4jh8DlzqIS8TUSfW0LPkYcUOdW4Ik%3d
72,15,12,15,12,Utah,15,Auburn,12,/teams/events/match_report/?EventGameId=fZS6xeoP7hGpQRkshrK%2bNUgPIqejglVLNs1BxsBMobo%3d
73,12,6,12,15,Auburn,12,Utah,16,/teams/events/match_report/?EventGameId=fZS6xeoP7hGpQRkshrK%2bNUgPIqejglVLNs1BxsBMobo%3d
74,15,8,15,7,Utah,15,Pittsburgh,5,/teams/events/match_report/?EventGameId=CxS1hosOljkfWXt7n29kYm4qBI0LvTsQdgmiCbQKI38%3d
75,7,3,7,15,Pittsburgh,7,Utah,5,/teams/events/match_report/?EventGameId=CxS1hosOljkfWXt7n29kYm4qBI0LvTsQdgmiCbQKI38%3d
76,13,3,13,14,Auburn,13,Minnesota,7,/teams/events/match_report/?EventGameId=i1j4d8tjUL6h6e0Cs%2bkLgL1kvGcHnxWDm1Uh%2bM9NkQQ%3d
77,14,10,14,13,Minnesota,14,Auburn,11,/teams/events/match_report/?EventGameId=i1j4d8tjUL6h6e0Cs%2bkLgL1kvGcHnxWDm1Uh%2bM9NkQQ%3d
78,15,4,14,10,Carleton College,15,Pittsburgh,8,/teams/events/match_report/?EventGameId=1senJcESmWk7aHf%2fP4BxY3v7jgw905rm2bCCZxIq94w%3d
79,10,4,10,15,Pittsburgh,10,Carleton College,11,/teams/events/match_report/?EventGameId=1senJcESmWk7aHf%2fP4BxY3v7jgw905rm2bCCZxIq94w%3d
80,12,3,12,15,Minnesota,12,Harvard,7,/teams/events/match_report/?EventGameId=wvPID9kaNqwiLvRrRQoXWq%2b%2fWRbJpr45C07FYt4uaXI%3d
81,15,5,15,12,Harvard,15,Minnesota,5,/teams/events/match_report/?EventGameId=wvPID9kaNqwiLvRrRQoXWq%2b%2fWRbJpr45C07FYt4uaXI%3d
82,13,4,13,11,North Carolina,13,Harvard,15,/teams/events/match_report/?EventGameId=8YFHeqMvwFP%2fFMENPz7umBr8RHpUMaqrQIERkXB7oEw%3d
83,11,4,11,13,Harvard,11,North Carolina,16,/teams/events/match_report/?EventGameId=8YFHeqMvwFP%2fFMENPz7umBr8RHpUMaqrQIERkXB7oEw%3d
84,13,8,12,14,Minnesota,13,Pittsburgh,14,/teams/events/match_report/?EventGameId=M%2b1hsY1iU0myQldLeo1zsgFwCMyhQp1V5cdnq2ElzqE%3d
