,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Score
0,1,Margaret Kennedy,MARGARET KENNEDY,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
1,2,Jesse Shofner,JESSE SHOFNER,1,1,3,3,1,2,2,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
2,3,Jamie Fleshman,JAMIE FLESHMAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
3,4,Emily Fagan,EMILY FAGAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
4,5,Gabrielle Aufderheide,GABRIELLE AUFDERHEIDE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
5,7,Alexandra Ode,ALEXANDRA ODE,3,3,2,2,1,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
6,8,Jaydra Rotolante,JAYDRA ROTOLANTE,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
7,9,Olivia Bartruff,OLIVIA BARTRUFF,7,7,1,1,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
8,11,Bethany Kaylor,BETHANY KAYLOR,0,0,2,2,2,3,3,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
9,13,Amelia Lanning,AMELIA LANNING,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
10,14,Sarafina Angstadt-Leto,SARAFINA ANGSTADT-LETO,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
11,17,Morgan Caldwell,MORGAN CALDWELL,1,1,0,0,1,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
12,19,Lillian Weaver,LILLIAN WEAVER,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
13,20,Hope Zima,HOPE ZIMA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
14,22,Rachel Hershey,RACHEL HERSHEY,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
15,24,Madison Lostra,MADISON LOSTRA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
16,25,Foley Galvin,FOLEY GALVIN,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
17,27,Hayley Wahlroos,HAYLEY WAHLROOS,1,1,5,5,0,3,3,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
18,43,Ella Hansen,ELLA HANSEN,0,0,2,2,2,3,3,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
19,44,Kaitlin Brunik,KAITLIN BRUNIK,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
20,63,Ganell Snocker,GANELL SNOCKER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Oregon,1,15,11
0,3,Amy Leder,AMY LEDER,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
1,4,Nhi Nguyen,NHI NGUYEN,3,3,1,1,0,2,2,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
2,5,Leilani Nelson,LEILANI NELSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
3,6,Emma Capra,EMMA CAPRA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
4,8,Jean Russell,JEAN RUSSELL,1,1,3,3,1,1,1,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
5,9,Kirstin Johnson,KIRSTIN JOHNSON,0,0,3,3,0,2,2,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
6,10,Sarah Bartosh,SARAH BARTOSH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
7,11,Megan Henderson,MEGAN HENDERSON,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
8,13,Jessica Chesnut,JESSICA CHESNUT,0,0,1,1,1,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
9,16,Madison Green,MADISON GREEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
10,18,Katiana Hutchinson,KATIANA HUTCHINSON,0,0,0,0,4,2,2,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
11,24,Hilary Egan,HILARY EGAN,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
12,31,Chelsea Gerleit,CHELSEA GERLEIT,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
13,33,Fiona Dragonfly,FIONA DRAGONFLY,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
14,41,Katherine Macri,KATHERINE MACRI,2,2,0,0,0,1,1,/teams/events/match_report/?EventGameId=rFAnkQNhi%2fWhf0sta7ucv4fR%2bErQ7iguJ8C9SsdXvTg%3d,Colorado,8,11,15
