,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,3,Jacob Roy,JACOB ROY,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
1,5,Nicholas Mendoza,NICHOLAS MENDOZA,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
2,6,Zachary Tuxbury,ZACHARY TUXBURY,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
3,7,Ryan O'Connor,RYAN O'CONNOR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
4,9,Devyn Oakes,DEVYN OAKES,1,1,0,0,1,1,1,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
5,11,Seth Lundstrom,SETH LUNDSTROM,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
6,13,Justin Reynolds,JUSTIN REYNOLDS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
7,14,Austin Kelson,AUSTIN KELSON,1,1,1,1,1,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
8,17,Zack Cyr,ZACK CYR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
9,19,Thomas Belger,THOMAS BELGER,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
10,28,James Phillips,JAMES PHILLIPS,0,0,0,0,1,1,1,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
11,29,Adrian Alonso-Tavera,ADRIAN ALONSO-TAVERA,0,0,1,1,2,2,2,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
12,34,Cameron Jack,CAMERON JACK,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
13,35,Kendrik Lechner,KENDRIK LECHNER,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d,Bryant,1,13,Portland,12,7
