,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,13,8,13,7,Portland,13,Bryant,9,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d
1,7,7,7,13,Bryant,7,Portland,14,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d
2,13,8,13,7,Portland,13,Bryant,9,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d
3,7,7,7,13,Bryant,7,Portland,14,/teams/events/match_report/?EventGameId=xVyMprcdKi8USYmCu44MAOQotoGbPlOGP2GLk%2fDxIe8%3d
4,13,3,14,7,St John's,15,Davidson,5,/teams/events/match_report/?EventGameId=GS02595reQHv8%2fF8UjuTbMrKTf3kqQwkv0S6xLB%2fZ6o%3d
5,8,3,8,15,Davidson,7,St John's,12,/teams/events/match_report/?EventGameId=GS02595reQHv8%2fF8UjuTbMrKTf3kqQwkv0S6xLB%2fZ6o%3d
6,13,3,14,7,St John's,15,Davidson,5,/teams/events/match_report/?EventGameId=GS02595reQHv8%2fF8UjuTbMrKTf3kqQwkv0S6xLB%2fZ6o%3d
7,8,3,8,15,Davidson,7,St John's,12,/teams/events/match_report/?EventGameId=GS02595reQHv8%2fF8UjuTbMrKTf3kqQwkv0S6xLB%2fZ6o%3d
8,12,11,12,6,St John's,12,Bryant,12,/teams/events/match_report/?EventGameId=xHSwFgcNsW1cvzhznRg7XhG21Q8LR1VJEQweNCU8YG4%3d
9,6,8,6,12,Bryant,6,St John's,15,/teams/events/match_report/?EventGameId=xHSwFgcNsW1cvzhznRg7XhG21Q8LR1VJEQweNCU8YG4%3d
10,12,11,12,6,St John's,12,Bryant,12,/teams/events/match_report/?EventGameId=xHSwFgcNsW1cvzhznRg7XhG21Q8LR1VJEQweNCU8YG4%3d
11,6,8,6,12,Bryant,6,St John's,15,/teams/events/match_report/?EventGameId=xHSwFgcNsW1cvzhznRg7XhG21Q8LR1VJEQweNCU8YG4%3d
12,11,6,10,6,Portland,12,Davidson,12,/teams/events/match_report/?EventGameId=Y1Yo9puYfpqWCbH%2bTz4BNaMuwcVGufKqnKmY39dM1ak%3d
13,6,5,6,12,Davidson,6,Portland,17,/teams/events/match_report/?EventGameId=Y1Yo9puYfpqWCbH%2bTz4BNaMuwcVGufKqnKmY39dM1ak%3d
14,11,6,10,6,Portland,12,Davidson,12,/teams/events/match_report/?EventGameId=Y1Yo9puYfpqWCbH%2bTz4BNaMuwcVGufKqnKmY39dM1ak%3d
15,6,5,6,12,Davidson,6,Portland,17,/teams/events/match_report/?EventGameId=Y1Yo9puYfpqWCbH%2bTz4BNaMuwcVGufKqnKmY39dM1ak%3d
16,6,5,6,11,Davidson,6,Bryant,12,/teams/events/match_report/?EventGameId=fKD%2fRgiDKXiyPRlT54UZz3%2ftZ7fS6ejKKcfOuZHhFZU%3d
