,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,1,Louisa Nyhus,LOUISA NYHUS,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
1,2,Hannah Lebowitz,HANNAH LEBOWITZ,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
2,3,Sofie Netteberg,SOFIE NETTEBERG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
3,4,Mairead Reynolds,MAIREAD REYNOLDS,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
4,6,Caley Dickinson,CALEY DICKINSON,0,0,0,0,2,2,2,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
5,7,Louisa Goss,LOUISA GOSS,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
6,8,Christine Reed,CHRISTINE REED,0,0,0,0,1,2,2,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
7,9,Haley Lescinsky,HALEY LESCINSKY,0,0,4,4,0,9,9,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
8,10,Anna Lietman,ANNA LIETMAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
9,11,Elsa Bjornlund,ELSA BJORNLUND,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
10,12,Caroline Weinberg,CAROLINE WEINBERG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
11,13,Mia Wang,MIA WANG,0,0,1,1,0,3,3,/teams/events/match_report/?EventGameId=nALr33C28wnK%2fx0nyy7auSssjEQjVk0z0IgqM0D3%2bPk%3d,Williams,1,9,Georgia College,12,7
