,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,13,9,13,11,NOISE,13,Drag'n Thrust,20,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d
1,11,9,11,13,Drag'n Thrust,11,NOISE,20,/teams/events/match_report/?EventGameId=tjB9zyLqmjwgLbpR5RDReWNYBCzqESZpB3yM08mukJE%3d
2,13,0,14,5,7 Express,15,Seattle Mixtape,5,/teams/events/match_report/?EventGameId=q8CIiFZL%2fSoNoib8eMGD2n6rqNJmZhup09NxFdQc1a4%3d
3,4,1,4,15,Seattle Mixtape,5,7 Express,8,/teams/events/match_report/?EventGameId=q8CIiFZL%2fSoNoib8eMGD2n6rqNJmZhup09NxFdQc1a4%3d
4,13,12,13,11,7 Express,13,Drag'n Thrust,22,/teams/events/match_report/?EventGameId=PZ%2bxbV7LzqrzEokhDm4BkT%2fJVMpqiY5ip83wb67QbWo%3d
5,11,11,11,13,Drag'n Thrust,11,7 Express,23,/teams/events/match_report/?EventGameId=PZ%2bxbV7LzqrzEokhDm4BkT%2fJVMpqiY5ip83wb67QbWo%3d
6,15,8,14,8,NOISE,15,Seattle Mixtape,13,/teams/events/match_report/?EventGameId=TgewugjEvCuUG31s%2fdelTn3R5wTofhyKHzAI3zqzCUI%3d
7,8,4,8,15,Seattle Mixtape,8,NOISE,15,/teams/events/match_report/?EventGameId=TgewugjEvCuUG31s%2fdelTn3R5wTofhyKHzAI3zqzCUI%3d
8,9,4,9,15,Seattle Mixtape,9,Drag'n Thrust,10,/teams/events/match_report/?EventGameId=CCfRmbzx4x%2bidYBC6A2BqMZFk7UxtFMRqMnfVPo6kwg%3d
9,15,9,15,9,Drag'n Thrust,15,Seattle Mixtape,10,/teams/events/match_report/?EventGameId=CCfRmbzx4x%2bidYBC6A2BqMZFk7UxtFMRqMnfVPo6kwg%3d
10,9,6,9,15,7 Express,9,NOISE,21,/teams/events/match_report/?EventGameId=m8yATN0e8OGQCg1LBI1N7%2f0omirtbj7PGZsDKtKRdsc%3d
11,15,12,15,9,NOISE,15,7 Express,16,/teams/events/match_report/?EventGameId=m8yATN0e8OGQCg1LBI1N7%2f0omirtbj7PGZsDKtKRdsc%3d
12,17,3,17,15,Metro North,17,The Chad Larson Experience,5,/teams/events/match_report/?EventGameId=EIueRffDerkvq1AiChzW9w%2b7QM21exxlQCoosHDKnTI%3d
13,15,1,15,17,The Chad Larson Experience,15,Metro North,6,/teams/events/match_report/?EventGameId=EIueRffDerkvq1AiChzW9w%2b7QM21exxlQCoosHDKnTI%3d
14,11,1,11,14,Ambiguous Grey,12,Bucket,14,/teams/events/match_report/?EventGameId=TAuUPpdUJhqopwOml%2bSvVqH%2bX7yxSw4WfyX%2blRtfeUE%3d
15,14,4,14,12,Bucket,14,Ambiguous Grey,15,/teams/events/match_report/?EventGameId=TAuUPpdUJhqopwOml%2bSvVqH%2bX7yxSw4WfyX%2blRtfeUE%3d
16,15,10,15,8,Ambiguous Grey,15,The Chad Larson Experience,16,/teams/events/match_report/?EventGameId=Bx6DBr51tA0fqPt%2f4ZBwWWSYg%2fzqE%2bC7wWLnu0qzcE4%3d
17,8,4,8,15,The Chad Larson Experience,8,Ambiguous Grey,24,/teams/events/match_report/?EventGameId=Bx6DBr51tA0fqPt%2f4ZBwWWSYg%2fzqE%2bC7wWLnu0qzcE4%3d
18,11,6,12,8,Metro North,12,Bucket,15,/teams/events/match_report/?EventGameId=%2bW2Gsrg9CVzSpjL%2br77dLjQim19TaKUF8IWDqc%2fFEt4%3d
19,8,4,8,12,Bucket,8,Metro North,20,/teams/events/match_report/?EventGameId=%2bW2Gsrg9CVzSpjL%2br77dLjQim19TaKUF8IWDqc%2fFEt4%3d
20,15,13,15,14,Bucket,15,The Chad Larson Experience,17,/teams/events/match_report/?EventGameId=Iqn4d9sYzQfvSQtfBvG9U5WARlG5juMLn%2boZ9C%2b5I6s%3d
21,13,9,11,15,The Chad Larson Experience,14,Bucket,15,/teams/events/match_report/?EventGameId=Iqn4d9sYzQfvSQtfBvG9U5WARlG5juMLn%2boZ9C%2b5I6s%3d
22,7,5,7,13,Ambiguous Grey,8,Metro North,12,/teams/events/match_report/?EventGameId=QwXXBYDDk3jxqnsuW%2fj3QdAOBYNeF%2fLg3TaAcs%2bRMGs%3d
23,14,10,14,8,Metro North,13,Ambiguous Grey,12,/teams/events/match_report/?EventGameId=QwXXBYDDk3jxqnsuW%2fj3QdAOBYNeF%2fLg3TaAcs%2bRMGs%3d
24,15,5,15,12,Love Tractor,15,Wild Card,11,/teams/events/match_report/?EventGameId=SGDMSRKmG090aMKZtbQSvALC9AO34D9Yj62OA3rwDd0%3d
25,12,6,12,15,Wild Card,12,Love Tractor,12,/teams/events/match_report/?EventGameId=SGDMSRKmG090aMKZtbQSvALC9AO34D9Yj62OA3rwDd0%3d
26,14,8,14,13,BirdFruit,15,Polar Bears,17,/teams/events/match_report/?EventGameId=N%2b%2fNeDNJPvIFA8igsYbG%2f2uHY%2fqSxJkQu6uONzatNQA%3d
27,12,11,13,15,Polar Bears,13,BirdFruit,18,/teams/events/match_report/?EventGameId=N%2b%2fNeDNJPvIFA8igsYbG%2f2uHY%2fqSxJkQu6uONzatNQA%3d
28,15,8,15,6,BirdFruit,15,Wild Card,11,/teams/events/match_report/?EventGameId=tiPCnefeIruH%2fa9YSho54vG5aMXZ3Q%2bzfiE1LcvlI2g%3d
29,6,6,6,15,Wild Card,6,BirdFruit,20,/teams/events/match_report/?EventGameId=tiPCnefeIruH%2fa9YSho54vG5aMXZ3Q%2bzfiE1LcvlI2g%3d
30,14,10,13,8,Love Tractor,14,Polar Bears,20,/teams/events/match_report/?EventGameId=ZOUns34FMO0Wd7RHQqMvlgyNIoLkOL%2f3nC%2f%2bAFMpquI%3d
