,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,1,Joshua Markette,JOSHUA MARKETTE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d,Ironside,1,14,Prairie Fire,12,12
1,2,Rustin Ingold-Smith,RUSTIN INGOLD-SMITH,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d,Ironside,1,14,Prairie Fire,12,12
2,3,Kurt Gibson,KURT GIBSON,3,3,8,8,2,2,2,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d,Ironside,1,14,Prairie Fire,12,12
3,4,Jason Clark,JASON CLARK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d,Ironside,1,14,Prairie Fire,12,12
4,5,Jordan Taylor,JORDAN TAYLOR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d,Ironside,1,14,Prairie Fire,12,12
5,7,William Neff,WILLIAM NEFF,3,3,1,1,1,0,0,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d,Ironside,1,14,Prairie Fire,12,12
6,8,Thomas Edmonds,THOMAS EDMONDS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d,Ironside,1,14,Prairie Fire,12,12
7,10,Tyler Chan,TYLER CHAN,2,2,0,0,0,2,2,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d,Ironside,1,14,Prairie Fire,12,12
8,11,Christian Foster,CHRISTIAN FOSTER,0,0,1,1,1,1,1,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d,Ironside,1,14,Prairie Fire,12,12
9,12,Alex Simmons,ALEX SIMMONS,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=vuslhuIQyY50OqZC8Am2qDdKsIz0RJw%2fa1OeRb7zjnw%3d,Ironside,1,14,Prairie Fire,12,12
