,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,0,Melissa Devlin,MELISSA DEVLIN,0,0,0,0,0,3,3,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
1,1,Robert Roos,ROBERT ROOS,0,0,0,0,1,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
2,2,Matt Zumbrum,MATT ZUMBRUM,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
3,3,Nick Purifico,NICK PURIFICO,2,2,1,1,2,2,2,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
4,4,Raha Mozaffari,RAHA MOZAFFARI,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
5,5,Luke Ryan,LUKE RYAN,2,2,0,0,1,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
6,6,Kelsey Devlin,KELSEY DEVLIN,0,0,1,1,0,2,2,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
7,7,Ben Parrell,BEN PARRELL,0,0,0,0,1,3,3,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
8,8,Charles Weinberg,CHARLES WEINBERG,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
9,9,Andrea Desabato,ANDREA DESABATO,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
10,12,Fern Beetle-Moorcroft,FERN BEETLE-MOORCROFT,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
11,13,Nico Lake,NICO LAKE,0,0,1,1,0,2,2,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
12,14,Stuart Hean,STUART HEAN,0,0,2,2,1,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
13,15,David Koch,DAVID KOCH,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
14,16,Richard Robinson,RICHARD ROBINSON,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
15,17,Stephen Ng,STEPHEN NG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
16,18,Emily Shields,EMILY SHIELDS,2,2,0,0,0,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
17,20,Ben Pelleg,BEN PELLEG,0,0,2,2,0,2,2,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
18,21,Linda Morse,LINDA MORSE,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
19,22,Allysha Dixon,ALLYSHA DIXON,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
20,23,Natalie Bova,NATALIE BOVA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
21,29,Sarah Olsen,SARAH OLSEN,1,1,0,0,1,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
22,33,Calvin Trisolini,CALVIN TRISOLINI,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
23,36,Carolyn Normile,CAROLYN NORMILE,0,0,1,1,0,4,4,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
24,46,Austin Bonelli,AUSTIN BONELLI,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
25,79,Michael Ing,MICHAEL ING,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
26,88,Matt Carter,MATT CARTER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,AMP,1,11,Ambiguous Grey,12,9
0,1,Shannon Pace,SHANNON PACE,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,Ambiguous Grey,12,9,AMP,1,11
1,2,Sara Peczkowski,SARA PECZKOWSKI,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,Ambiguous Grey,12,9,AMP,1,11
2,3,ALANNA McKee,ALANNA MCKEE,2,2,0,0,2,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,Ambiguous Grey,12,9,AMP,1,11
3,4,Kelly Ross,KELLY ROSS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,Ambiguous Grey,12,9,AMP,1,11
4,6,Maggie John,MAGGIE JOHN,0,0,2,2,0,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,Ambiguous Grey,12,9,AMP,1,11
5,7,Peter Macarthur,PETER MACARTHUR,1,1,0,0,0,5,5,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,Ambiguous Grey,12,9,AMP,1,11
6,8,Jennifer Perry,JENNIFER PERRY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,Ambiguous Grey,12,9,AMP,1,11
7,9,Jarnail Bajwa,JARNAIL BAJWA,1,1,1,1,1,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,Ambiguous Grey,12,9,AMP,1,11
8,10,Ella Juengst,ELLA JUENGST,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=fLKftwOkNm9O5zi7JeRwMM2cY6lkqoR60BDFSVHv9iU%3d,Ambiguous Grey,12,9,AMP,1,11
