,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,0,Paige Soper,PAIGE SOPER,0,0,2,2,0,4,4,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
1,1,Kelly Johnson,KELLY JOHNSON,0,0,1,1,1,2,2,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
2,4,Rohre Titcomb,ROHRE TITCOMB,0,0,1,1,0,3,3,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
3,5,Alexandra Ode,ALEXANDRA ODE,1,1,0,0,1,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
4,6,Sarah Griffith,SARAH GRIFFITH,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
5,7,Calise Cardenas,CALISE CARDENAS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
6,8,Rachel Bradshaw,RACHEL BRADSHAW,2,2,0,0,1,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
7,9,Qxhna Titcomb,QXHNA TITCOMB,1,1,0,0,1,5,5,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
8,10,Shira Stern,SHIRA STERN,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
9,11,Nora Landri,NORA LANDRI,0,0,0,0,1,1,1,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d,Seattle Riot,1,15,Iris,12,3
