,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,15,7,15,3,Iris,15,Seattle Riot,26,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d
1,2,8,3,15,Seattle Riot,3,Iris,23,/teams/events/match_report/?EventGameId=Ds0bYJhlzT%2bULY65QIqVYZtx%2ftMSyCY51qkC45WmgDg%3d
2,11,10,11,9,Heist,11,Nightlock,36,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d
3,9,9,9,11,Nightlock,9,Heist,38,/teams/events/match_report/?EventGameId=iOw1VF%2b0%2bOS%2bjF7PiZposnjSu8cd9fwAJCCuTE3nRo0%3d
4,15,7,15,12,Heist,15,Seattle Riot,33,/teams/events/match_report/?EventGameId=p%2bVeJGAK9y5rk1r6Lo9Q50brl2SjhXlkkxrq%2fSkP%2fEo%3d
5,12,11,12,15,Seattle Riot,12,Heist,29,/teams/events/match_report/?EventGameId=p%2bVeJGAK9y5rk1r6Lo9Q50brl2SjhXlkkxrq%2fSkP%2fEo%3d
6,12,8,12,6,Iris,12,Nightlock,26,/teams/events/match_report/?EventGameId=Z3u2KkM9pUSj0dx1WiQNgURGl9YSYhJ%2f1hmq3jYKgmc%3d
7,6,3,6,12,Nightlock,6,Iris,26,/teams/events/match_report/?EventGameId=Z3u2KkM9pUSj0dx1WiQNgURGl9YSYhJ%2f1hmq3jYKgmc%3d
8,13,16,13,10,Nightlock,13,Seattle Riot,38,/teams/events/match_report/?EventGameId=h8BegwzDpoJ0XMD5FnF99wUKFrSxd%2bqoBA0CscpF1Ys%3d
9,10,11,10,13,Seattle Riot,10,Nightlock,42,/teams/events/match_report/?EventGameId=h8BegwzDpoJ0XMD5FnF99wUKFrSxd%2bqoBA0CscpF1Ys%3d
10,7,8,5,10,Heist,6,Iris,39,/teams/events/match_report/?EventGameId=es%2bpq6q%2f9y2iuEhSZ%2b21KNUGIF5J2qcomdOzZp45fiI%3d
11,8,19,9,6,Iris,10,Heist,44,/teams/events/match_report/?EventGameId=es%2bpq6q%2f9y2iuEhSZ%2b21KNUGIF5J2qcomdOzZp45fiI%3d
12,14,19,13,7,Showdown,14,Brute Squad,49,/teams/events/match_report/?EventGameId=17jrtl0dGFqtweFlVfoKpk9bFLKaXi5mepFH7ujLDL8%3d
13,7,6,7,14,Brute Squad,7,Showdown,47,/teams/events/match_report/?EventGameId=17jrtl0dGFqtweFlVfoKpk9bFLKaXi5mepFH7ujLDL8%3d
14,13,13,13,15,Rival,13,Wildfire,35,/teams/events/match_report/?EventGameId=NV6%2fxTCQOP%2fW%2b7T%2ffzoBFLiiVn48GFj1tNygjdlHfpI%3d
15,15,9,15,13,Wildfire,15,Rival,35,/teams/events/match_report/?EventGameId=NV6%2fxTCQOP%2fW%2b7T%2ffzoBFLiiVn48GFj1tNygjdlHfpI%3d
16,15,11,15,5,Rival,15,Brute Squad,27,/teams/events/match_report/?EventGameId=EP3cE5O%2bhHuRTvP0DqsVzYB%2fWoEfr6xxVoIOiNxYto8%3d
17,5,10,5,15,Brute Squad,5,Rival,35,/teams/events/match_report/?EventGameId=EP3cE5O%2bhHuRTvP0DqsVzYB%2fWoEfr6xxVoIOiNxYto8%3d
18,11,7,10,13,Showdown,12,Wildfire,12,/teams/events/match_report/?EventGameId=u8wVheKaa%2fqIWA%2bq3B6m7iv5v%2f0lbBbcOPzLt14f36Y%3d
19,11,6,12,12,Wildfire,13,Showdown,7,/teams/events/match_report/?EventGameId=u8wVheKaa%2fqIWA%2bq3B6m7iv5v%2f0lbBbcOPzLt14f36Y%3d
20,15,11,15,3,Wildfire,15,Brute Squad,8,/teams/events/match_report/?EventGameId=MhO86iRyzHY8XAav%2bHNET2ggee3avqnsbXs1G7bByi8%3d
21,3,2,3,15,Brute Squad,3,Wildfire,13,/teams/events/match_report/?EventGameId=MhO86iRyzHY8XAav%2bHNET2ggee3avqnsbXs1G7bByi8%3d
22,11,10,11,14,Rival,13,Showdown,23,/teams/events/match_report/?EventGameId=%2bl3ttaEF9glFVVvydHw9yLmV%2bMzqxlet2GHyi7s%2bXtU%3d
23,14,16,14,13,Showdown,14,Rival,26,/teams/events/match_report/?EventGameId=%2bl3ttaEF9glFVVvydHw9yLmV%2bMzqxlet2GHyi7s%2bXtU%3d
24,12,10,11,9,Phoenix,12,Molly Brown,34,/teams/events/match_report/?EventGameId=3iz9fwsxVFq9aAXiyvKkx%2faeDoPCzWVERuzo7oI69FA%3d
25,9,13,9,12,Molly Brown,9,Phoenix,39,/teams/events/match_report/?EventGameId=3iz9fwsxVFq9aAXiyvKkx%2faeDoPCzWVERuzo7oI69FA%3d
26,15,12,15,9,Green Means Go,15,Traffic,33,/teams/events/match_report/?EventGameId=QNMLhcoE%2fLkGLOH8RIWdRLXoJ9xe%2fZpe7QXkXViarYQ%3d
27,9,11,9,15,Traffic,9,Green Means Go,31,/teams/events/match_report/?EventGameId=QNMLhcoE%2fLkGLOH8RIWdRLXoJ9xe%2fZpe7QXkXViarYQ%3d
28,14,4,15,7,Green Means Go,15,Molly Brown,22,/teams/events/match_report/?EventGameId=AHus%2frB2Vic9vDgEwQufsR2RtWm3HaVqf2VPnu1Jllc%3d
29,7,5,7,15,Molly Brown,7,Green Means Go,29,/teams/events/match_report/?EventGameId=AHus%2frB2Vic9vDgEwQufsR2RtWm3HaVqf2VPnu1Jllc%3d
30,9,19,9,11,Phoenix,9,Traffic,60,/teams/events/match_report/?EventGameId=m%2bz5qAMpU0LNkwqqM5rk3EqYv%2fiS%2b4edjWlKrTsCr9E%3d
31,11,16,11,9,Traffic,11,Phoenix,54,/teams/events/match_report/?EventGameId=m%2bz5qAMpU0LNkwqqM5rk3EqYv%2fiS%2b4edjWlKrTsCr9E%3d
