,As,Ds,Gs,Opp Score,Opponent,Score,Team,Ts,url
0,0,0,0,4,Patrol,6,Sub Zero,0,/teams/events/match_report/?EventGameId=jDjmKkl4W4x8NxIY9CEllv%2briw4kNDHIqaHQ9rKEurI%3d
1,0,0,0,6,Sub Zero,4,Patrol,0,/teams/events/match_report/?EventGameId=jDjmKkl4W4x8NxIY9CEllv%2briw4kNDHIqaHQ9rKEurI%3d
2,0,0,0,8,Ring of Fire,3,Chicago Machine,0,/teams/events/match_report/?EventGameId=SiXSZOXDAJgWSZtggdpKtJCoDAFoDYe%2f%2f7avQH%2b4YHQ%3d
3,0,0,0,3,Chicago Machine,8,Ring of Fire,0,/teams/events/match_report/?EventGameId=SiXSZOXDAJgWSZtggdpKtJCoDAFoDYe%2f%2f7avQH%2b4YHQ%3d
4,14,5,14,12,PoNY,14,Florida United,12,/teams/events/match_report/?EventGameId=Ag9xkP5BLbZcGF%2bYwa2tOZRGrijUJwh2yNdKsmKm128%3d
5,10,9,12,14,Florida United,12,PoNY,10,/teams/events/match_report/?EventGameId=Ag9xkP5BLbZcGF%2bYwa2tOZRGrijUJwh2yNdKsmKm128%3d
6,11,2,11,12,PoNY,11,Sockeye,13,/teams/events/match_report/?EventGameId=gAtQqiwHK9tDAed4xK8vk5DxGNR4asZEtFfW9SeQzt4%3d
7,11,5,12,11,Sockeye,12,PoNY,13,/teams/events/match_report/?EventGameId=gAtQqiwHK9tDAed4xK8vk5DxGNR4asZEtFfW9SeQzt4%3d
8,13,8,13,12,Patrol,13,Ironside,8,/teams/events/match_report/?EventGameId=N2cJf1590yu8Ps143mYWdEI3%2bIdLMXosC1ibupgDLqI%3d
9,11,6,12,13,Ironside,12,Patrol,10,/teams/events/match_report/?EventGameId=N2cJf1590yu8Ps143mYWdEI3%2bIdLMXosC1ibupgDLqI%3d
10,0,0,0,3,GOAT,6,PoNY,0,/teams/events/match_report/?EventGameId=vs7ruCLPGpCS88Mwwp8N4893YiTgTqMHttTcvJaDCAQ%3d
11,0,0,0,6,PoNY,3,GOAT,0,/teams/events/match_report/?EventGameId=vs7ruCLPGpCS88Mwwp8N4893YiTgTqMHttTcvJaDCAQ%3d
