,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,1,Simon Higgins,SIMON HIGGINS,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
1,2,Kevin Cocks,KEVIN COCKS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
2,3,George Stubbs,GEORGE STUBBS,1,1,1,1,0,1,1,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
3,4,Joel Schlachet,JOEL SCHLACHET,2,2,0,0,0,1,1,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
4,7,Russell Wynne,RUSSELL WYNNE,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
5,8,Patrick Baylis,PATRICK BAYLIS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
6,9,Cassidy Rasmussen,CASSIDY RASMUSSEN,0,0,4,4,2,1,1,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
7,11,Zachary Travis,ZACHARY TRAVIS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
8,12,Sam Kanner,SAM KANNER,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
9,14,Kenneth Justin Lim,KENNETH JUSTIN LIM,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
10,15,Michael Spear,MICHAEL SPEAR,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,1,15,Doublewide,12,7
