,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
1,1,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
2,2,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
3,3,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
4,4,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
5,5,0,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
6,5,1,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
7,6,1,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
8,6,2,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
9,7,2,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
10,8,2,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
11,9,2,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
12,10,2,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
13,10,3,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
14,10,4,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
15,11,4,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
16,11,5,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
17,12,5,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
18,12,6,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
19,13,6,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
20,13,7,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
21,14,7,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
22,15,7,/teams/events/match_report/?EventGameId=AHWj4d9nJuxKTovEplD02s0eIAA22Ca7KNMzVDpOE38%3d,Revolver,Doublewide,1,12,15,7
