,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,8,14,8,15,4,Slow White,8,3,Drag'n Thrust,29,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d
1,15,14,13,8,3,Drag'n Thrust,15,4,Slow White,22,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d
0,11,6,11,14,3,Drag'n Thrust,11,11,Toro,21,/teams/events/match_report/?EventGameId=mGSfH70oiFYQMOriSLcUKPMpncAFg0nOK8iTAbg%2bC5U%3d
1,14,9,14,11,11,Toro,14,3,Drag'n Thrust,22,/teams/events/match_report/?EventGameId=mGSfH70oiFYQMOriSLcUKPMpncAFg0nOK8iTAbg%2bC5U%3d
0,11,4,12,11,14,Metro North,12,2,AMP,15,/teams/events/match_report/?EventGameId=BUb8MLmFH8avQlzPpV7RvL5bhZcvBnx%2fmqOZQCuph6Y%3d
1,11,4,11,12,2,AMP,11,14,Metro North,12,/teams/events/match_report/?EventGameId=BUb8MLmFH8avQlzPpV7RvL5bhZcvBnx%2fmqOZQCuph6Y%3d
0,13,6,13,15,10,shame.,13,3,Drag'n Thrust,11,/teams/events/match_report/?EventGameId=DEBwThY%2b2CQ5kdJLR3IgcQA1HbPUCPUuGm80HKoPyH0%3d
1,14,5,15,13,3,Drag'n Thrust,15,10,shame.,9,/teams/events/match_report/?EventGameId=DEBwThY%2b2CQ5kdJLR3IgcQA1HbPUCPUuGm80HKoPyH0%3d
0,11,3,11,14,14,Metro North,11,9,Steamboat,14,/teams/events/match_report/?EventGameId=lQaNbUfiVDAFcpCXE3SvxN7IbPdrPYuQi2WTKRUZBWw%3d
1,14,8,14,11,9,Steamboat,14,14,Metro North,12,/teams/events/match_report/?EventGameId=lQaNbUfiVDAFcpCXE3SvxN7IbPdrPYuQi2WTKRUZBWw%3d
0,15,5,15,11,11,Toro,15,7,Blackbird,7,/teams/events/match_report/?EventGameId=8tdG4qvB%2baSG535rfddUdf2ngeuLbora0cNGT4m8%2bJA%3d
1,11,3,10,15,7,Blackbird,11,11,Toro,11,/teams/events/match_report/?EventGameId=8tdG4qvB%2baSG535rfddUdf2ngeuLbora0cNGT4m8%2bJA%3d
0,13,8,13,9,9,Steamboat,13,8,Mischief,15,/teams/events/match_report/?EventGameId=SN1eRcCJvk5dXIghAw3bTLO2hIlkllASSCe711d9Peg%3d
1,9,8,9,13,8,Mischief,9,9,Steamboat,17,/teams/events/match_report/?EventGameId=SN1eRcCJvk5dXIghAw3bTLO2hIlkllASSCe711d9Peg%3d
0,15,6,15,8,11,Toro,15,16,No Touching!,8,/teams/events/match_report/?EventGameId=HKEG5Ee8DN5YLtFDc4SObTx5YP0nv6G0tti2G12PIz0%3d
1,6,5,6,15,16,No Touching!,8,11,Toro,13,/teams/events/match_report/?EventGameId=HKEG5Ee8DN5YLtFDc4SObTx5YP0nv6G0tti2G12PIz0%3d
0,12,3,12,11,16,No Touching!,12,9,Steamboat,18,/teams/events/match_report/?EventGameId=r3GybYhK%2b9RM5mD7aiR291MoO24Jw%2byE%2fj%2b4qI76tDI%3d
1,11,6,11,12,9,Steamboat,11,16,No Touching!,14,/teams/events/match_report/?EventGameId=r3GybYhK%2b9RM5mD7aiR291MoO24Jw%2byE%2fj%2b4qI76tDI%3d
0,6,3,8,15,6,Wild Card,8,10,shame.,11,/teams/events/match_report/?EventGameId=Yd0D5I28SYpFjf8CS%2b9q%2bVawocZzezkmL2HTqxPZ2oI%3d
1,15,6,14,8,10,shame.,15,6,Wild Card,11,/teams/events/match_report/?EventGameId=Yd0D5I28SYpFjf8CS%2b9q%2bVawocZzezkmL2HTqxPZ2oI%3d
0,6,4,6,15,6,Wild Card,6,13,Public Enemy,20,/teams/events/match_report/?EventGameId=lSaZP7Fmfk7sewRUpvkRKtaZSmsM6fVaJ3devHC2Vkw%3d
1,14,12,15,6,13,Public Enemy,15,6,Wild Card,15,/teams/events/match_report/?EventGameId=lSaZP7Fmfk7sewRUpvkRKtaZSmsM6fVaJ3devHC2Vkw%3d
0,10,7,10,13,11,Toro,10,12,NOISE,16,/teams/events/match_report/?EventGameId=gdNAVkXIQFGitKnZT2XnVMVGYgH8SgkyPUFZZMw2M5Q%3d
1,13,7,12,10,12,NOISE,13,11,Toro,14,/teams/events/match_report/?EventGameId=gdNAVkXIQFGitKnZT2XnVMVGYgH8SgkyPUFZZMw2M5Q%3d
0,13,10,13,6,12,NOISE,13,8,Mischief,21,/teams/events/match_report/?EventGameId=yQnrxcegEqCRlRrvi9gwnQNKO2U7aWIBQ9G%2btqyb5p4%3d
