,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
1,0,1,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
2,0,2,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
3,1,2,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
4,1,3,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
5,1,4,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
6,1,5,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
7,2,5,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
8,2,6,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
9,3,6,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
10,4,6,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
11,5,6,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
12,5,7,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
13,5,8,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
14,5,9,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
15,6,9,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
16,6,10,/teams/events/match_report/?EventGameId=89GG2jECeHKlutosVLrAfrOtLyk4At%2fd4HWM3ly0dcs%3d,Drag'n Thrust,Slow White,3,4,8,15
