,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,15,6,15,10,13,Colorado State,15,1,Massachusetts,7,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d
1,10,2,10,15,1,Massachusetts,10,13,Colorado State,11,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d
0,15,9,15,6,20,Virginia Tech,15,5,Oregon,8,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d
1,6,2,6,15,5,Oregon,6,20,Virginia Tech,16,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d
0,9,3,9,15,16,British Columbia,9,4,Minnesota,22,/teams/events/match_report/?EventGameId=1jYLIjNHArkVAnGaC9iA05fDRpjxo%2fT%2f%2fuL6Fu5NpKQ%3d
1,15,11,15,9,4,Minnesota,15,16,British Columbia,17,/teams/events/match_report/?EventGameId=1jYLIjNHArkVAnGaC9iA05fDRpjxo%2fT%2f%2fuL6Fu5NpKQ%3d
0,15,3,15,11,13,Colorado State,15,12,Stanford,9,/teams/events/match_report/?EventGameId=5nIGqZrWHYSakBRzjTYtIGt97jhlX%2b2K%2fEPYWgbCm%2bU%3d
1,11,3,11,15,12,Stanford,11,13,Colorado State,12,/teams/events/match_report/?EventGameId=5nIGqZrWHYSakBRzjTYtIGt97jhlX%2b2K%2fEPYWgbCm%2bU%3d
0,14,4,15,10,13,Colorado State,15,8,Washington,9,/teams/events/match_report/?EventGameId=xyobEQeNzX1xe47l1uWck3HBdf7TcpVnbLt6C%2bUofV0%3d
1,10,4,10,15,8,Washington,10,13,Colorado State,14,/teams/events/match_report/?EventGameId=xyobEQeNzX1xe47l1uWck3HBdf7TcpVnbLt6C%2bUofV0%3d
0,15,9,15,5,18,Connecticut,15,2,Pittsburgh,9,/teams/events/match_report/?EventGameId=CTcfsog7zr9IR%2bftH7NeN0oB9dbV%2blINQT61uX8V0TA%3d
1,5,4,5,15,2,Pittsburgh,5,18,Connecticut,19,/teams/events/match_report/?EventGameId=CTcfsog7zr9IR%2bftH7NeN0oB9dbV%2blINQT61uX8V0TA%3d
0,15,5,15,8,13,Colorado State,15,16,British Columbia,9,/teams/events/match_report/?EventGameId=T77yQGT0u1nL4ZwWrM7XGVQT4vgU9xeCM3l7Zs6Vt2E%3d
1,8,5,8,15,16,British Columbia,8,13,Colorado State,13,/teams/events/match_report/?EventGameId=T77yQGT0u1nL4ZwWrM7XGVQT4vgU9xeCM3l7Zs6Vt2E%3d
0,15,10,15,8,15,Auburn,15,6,Carleton College,19,/teams/events/match_report/?EventGameId=DgXciXveMeIUSVrbnOCSxnGeh92t%2bYFIlZCxu0Ju7eY%3d
1,8,7,8,15,6,Carleton College,8,15,Auburn,25,/teams/events/match_report/?EventGameId=DgXciXveMeIUSVrbnOCSxnGeh92t%2bYFIlZCxu0Ju7eY%3d
0,13,3,13,15,11,North Carolina-Wilmington,13,2,Pittsburgh,16,/teams/events/match_report/?EventGameId=xrsvOSBMLO4Scv4KRkkqJlBNMz8x4QWuy2m1iWTXF5U%3d
1,15,7,15,13,2,Pittsburgh,15,11,North Carolina-Wilmington,14,/teams/events/match_report/?EventGameId=xrsvOSBMLO4Scv4KRkkqJlBNMz8x4QWuy2m1iWTXF5U%3d
0,15,10,15,8,7,Michigan,15,2,Pittsburgh,16,/teams/events/match_report/?EventGameId=HBOggMMvigzxrkHXYHTabLQgbytzqFcwKefI9rA2qng%3d
1,8,10,8,15,2,Pittsburgh,8,7,Michigan,22,/teams/events/match_report/?EventGameId=HBOggMMvigzxrkHXYHTabLQgbytzqFcwKefI9rA2qng%3d
0,13,3,13,14,15,Auburn,13,10,Colorado,12,/teams/events/match_report/?EventGameId=a2hWOnQH6BJKd6PETpAMIi%2bqjVTVW3%2b2E3Q47HuXcRs%3d
1,14,3,14,13,10,Colorado,14,15,Auburn,12,/teams/events/match_report/?EventGameId=a2hWOnQH6BJKd6PETpAMIi%2bqjVTVW3%2b2E3Q47HuXcRs%3d
0,15,7,15,10,15,Auburn,15,3,North Carolina,10,/teams/events/match_report/?EventGameId=7LS9KUf0CK%2fpLjBXAUuH7OXXenAkIuEe0V5MGSz3ehY%3d
1,10,7,10,15,3,North Carolina,10,15,Auburn,14,/teams/events/match_report/?EventGameId=7LS9KUf0CK%2fpLjBXAUuH7OXXenAkIuEe0V5MGSz3ehY%3d
0,15,12,15,8,14,Texas A&M,15,11,North Carolina-Wilmington,18,/teams/events/match_report/?EventGameId=vn2f4LlXPEF9QLCD9Jp5bMEyev7eGSgmbdGWEqWSKFQ%3d
1,8,7,8,15,11,North Carolina-Wilmington,8,14,Texas A&M,24,/teams/events/match_report/?EventGameId=vn2f4LlXPEF9QLCD9Jp5bMEyev7eGSgmbdGWEqWSKFQ%3d
0,14,2,14,12,8,Washington,14,1,Massachusetts,9,/teams/events/match_report/?EventGameId=YQifZMML8jJGMnBDpGYmZf7MBzD1KhqbrpT8e3OZ3fQ%3d
1,12,3,12,14,1,Massachusetts,12,8,Washington,11,/teams/events/match_report/?EventGameId=YQifZMML8jJGMnBDpGYmZf7MBzD1KhqbrpT8e3OZ3fQ%3d
0,11,12,11,15,14,Texas A&M,12,19,Oregon State,23,/teams/events/match_report/?EventGameId=VGkQTcRk8EzK6iTuOgKSdoS9i%2fmI7htK442xDbjJ4FE%3d
1,15,9,15,12,19,Oregon State,15,14,Texas A&M,21,/teams/events/match_report/?EventGameId=VGkQTcRk8EzK6iTuOgKSdoS9i%2fmI7htK442xDbjJ4FE%3d
0,15,8,15,8,16,British Columbia,15,9,Wisconsin,17,/teams/events/match_report/?EventGameId=mJeZ7Kkbh5T%2feKPvk1h3VQf75esVDOMcnRcCqWLiLX4%3d
1,8,6,8,15,9,Wisconsin,8,16,British Columbia,23,/teams/events/match_report/?EventGameId=mJeZ7Kkbh5T%2feKPvk1h3VQf75esVDOMcnRcCqWLiLX4%3d
0,15,12,15,10,6,Carleton College,15,3,North Carolina,17,/teams/events/match_report/?EventGameId=lWvQMFmFgIXhymmVejXL3BChOJfz5tctzPVhoMgyqhs%3d
1,10,5,10,15,3,North Carolina,10,6,Carleton College,22,/teams/events/match_report/?EventGameId=lWvQMFmFgIXhymmVejXL3BChOJfz5tctzPVhoMgyqhs%3d
0,15,7,15,12,12,Stanford,15,8,Washington,13,/teams/events/match_report/?EventGameId=paFj0sldRHsKqTWadhS%2fzt%2fNF7C1M3%2bNH4MVPNtA4D8%3d
1,12,6,12,15,8,Washington,12,12,Stanford,14,/teams/events/match_report/?EventGameId=paFj0sldRHsKqTWadhS%2fzt%2fNF7C1M3%2bNH4MVPNtA4D8%3d
0,15,10,15,12,10,Colorado,15,18,Connecticut,17,/teams/events/match_report/?EventGameId=uE%2bOPmEahfq%2f9%2flJVxE1bbBklEJ%2fHVGhmzU4%2by46X5w%3d
1,12,5,12,15,18,Connecticut,12,10,Colorado,20,/teams/events/match_report/?EventGameId=uE%2bOPmEahfq%2f9%2flJVxE1bbBklEJ%2fHVGhmzU4%2by46X5w%3d
0,14,3,14,6,19,Oregon State,14,3,North Carolina,11,/teams/events/match_report/?EventGameId=j7%2fJhTt5SB3bMpU%2fVh1DZEXsmmpBkX5TXffCTIOk7Lk%3d
1,6,5,6,14,3,North Carolina,6,19,Oregon State,18,/teams/events/match_report/?EventGameId=j7%2fJhTt5SB3bMpU%2fVh1DZEXsmmpBkX5TXffCTIOk7Lk%3d
0,15,4,15,11,19,Oregon State,15,15,Auburn,9,/teams/events/match_report/?EventGameId=G0AZZ25auKt1kInDSkhM1xE1d4zC3VuQoLYRiAJ5UNo%3d
1,11,4,11,15,15,Auburn,11,19,Oregon State,10,/teams/events/match_report/?EventGameId=G0AZZ25auKt1kInDSkhM1xE1d4zC3VuQoLYRiAJ5UNo%3d
0,14,8,15,12,20,Virginia Tech,15,16,British Columbia,19,/teams/events/match_report/?EventGameId=QQI%2fcMRMa6gS5qZcTQSJAlzgEqM%2bhUzLThGiW0h4axc%3d
1,12,7,12,15,16,British Columbia,12,20,Virginia Tech,21,/teams/events/match_report/?EventGameId=QQI%2fcMRMa6gS5qZcTQSJAlzgEqM%2bhUzLThGiW0h4axc%3d
0,12,3,12,13,10,Colorado,12,3,North Carolina,14,/teams/events/match_report/?EventGameId=zwNdk1O4IUXsHz0W9d3x5vFzgbhhVz6jxoqzJDGDcLE%3d
1,13,7,13,12,3,North Carolina,13,10,Colorado,13,/teams/events/match_report/?EventGameId=zwNdk1O4IUXsHz0W9d3x5vFzgbhhVz6jxoqzJDGDcLE%3d
0,14,8,14,11,12,Stanford,14,1,Massachusetts,10,/teams/events/match_report/?EventGameId=6ubSAR46%2fAbN05h7Su5qr1Nj9Ih7PTAYyhV9gW2eeKc%3d
1,11,5,11,14,1,Massachusetts,11,12,Stanford,13,/teams/events/match_report/?EventGameId=6ubSAR46%2fAbN05h7Su5qr1Nj9Ih7PTAYyhV9gW2eeKc%3d
0,13,11,13,13,18,Connecticut,14,7,Michigan,23,/teams/events/match_report/?EventGameId=2naa1ufgjYEPr4Vd%2feEZ7WgopTcFZLAYPiecpX6tIfU%3d
1,14,7,14,14,7,Michigan,13,18,Connecticut,20,/teams/events/match_report/?EventGameId=2naa1ufgjYEPr4Vd%2feEZ7WgopTcFZLAYPiecpX6tIfU%3d
0,15,9,15,8,19,Oregon State,15,6,Carleton College,12,/teams/events/match_report/?EventGameId=X5Jhq%2bcAHdZcW26XCXsLMSvej%2bQrfTWXEIDv4bewRug%3d
1,8,4,8,15,6,Carleton College,8,19,Oregon State,18,/teams/events/match_report/?EventGameId=X5Jhq%2bcAHdZcW26XCXsLMSvej%2bQrfTWXEIDv4bewRug%3d
0,12,7,12,10,17,Cal Poly-SLO,12,12,Stanford,16,/teams/events/match_report/?EventGameId=2ey2jfwd2sSQ0EvItM4LnHef6a9jkBZdNCJ9vqfwjQU%3d
1,10,9,10,12,12,Stanford,10,17,Cal Poly-SLO,18,/teams/events/match_report/?EventGameId=2ey2jfwd2sSQ0EvItM4LnHef6a9jkBZdNCJ9vqfwjQU%3d
0,15,6,15,12,18,Connecticut,15,11,North Carolina-Wilmington,21,/teams/events/match_report/?EventGameId=cCsDkast8NC30sbBSvYw96fukBzexoKj0JcCUof7bUY%3d
1,12,6,12,15,11,North Carolina-Wilmington,12,18,Connecticut,19,/teams/events/match_report/?EventGameId=cCsDkast8NC30sbBSvYw96fukBzexoKj0JcCUof7bUY%3d
0,15,5,15,11,5,Oregon,15,4,Minnesota,8,/teams/events/match_report/?EventGameId=yBjUILVrLyR0RRJ653azjY%2fJY5%2f06FjewAbwj1qiCHE%3d
1,11,1,11,15,4,Minnesota,11,5,Oregon,8,/teams/events/match_report/?EventGameId=yBjUILVrLyR0RRJ653azjY%2fJY5%2f06FjewAbwj1qiCHE%3d
0,15,6,15,12,17,Cal Poly-SLO,15,1,Massachusetts,16,/teams/events/match_report/?EventGameId=qpYY0X7Ya62nx8XCVoiXBN1RKgU7fdOrf26Ur%2bsMZ1k%3d
1,12,7,12,15,1,Massachusetts,12,17,Cal Poly-SLO,16,/teams/events/match_report/?EventGameId=qpYY0X7Ya62nx8XCVoiXBN1RKgU7fdOrf26Ur%2bsMZ1k%3d
0,8,6,8,15,11,North Carolina-Wilmington,7,7,Michigan,23,/teams/events/match_report/?EventGameId=vsV2UAU5Qx881GUBxIwbZzOqbV7M03%2bik%2f%2biNhALJHU%3d
1,14,10,14,7,7,Michigan,15,11,North Carolina-Wilmington,16,/teams/events/match_report/?EventGameId=vsV2UAU5Qx881GUBxIwbZzOqbV7M03%2bik%2f%2biNhALJHU%3d
0,13,13,13,10,14,Texas A&M,13,2,Pittsburgh,27,/teams/events/match_report/?EventGameId=nQMCHBFFS4O1ObNKiSwR6oeC%2b8fnVBxAD83TpcTB%2fz0%3d
1,10,8,10,13,2,Pittsburgh,10,14,Texas A&M,29,/teams/events/match_report/?EventGameId=nQMCHBFFS4O1ObNKiSwR6oeC%2b8fnVBxAD83TpcTB%2fz0%3d
0,15,5,15,10,16,British Columbia,15,5,Oregon,19,/teams/events/match_report/?EventGameId=vSZ9cwaog4bniqPGZoqDHANQ62RMGehtJCiu2UsTmTw%3d
1,10,7,10,15,5,Oregon,10,16,British Columbia,19,/teams/events/match_report/?EventGameId=vSZ9cwaog4bniqPGZoqDHANQ62RMGehtJCiu2UsTmTw%3d
0,15,2,15,12,19,Oregon State,15,10,Colorado,8,/teams/events/match_report/?EventGameId=yM0GSTCiS7p4N7vJOjHa%2fM%2b2CuCTFo3p%2fNKawHm0bRM%3d
1,12,2,12,15,10,Colorado,12,19,Oregon State,11,/teams/events/match_report/?EventGameId=yM0GSTCiS7p4N7vJOjHa%2fM%2b2CuCTFo3p%2fNKawHm0bRM%3d
0,15,8,15,7,20,Virginia Tech,15,4,Minnesota,9,/teams/events/match_report/?EventGameId=s1ffFjz1xhWZox2QeJG8VPNQ1dLaODC5OMB%2byrXVW0g%3d
1,7,2,7,15,4,Minnesota,7,20,Virginia Tech,16,/teams/events/match_report/?EventGameId=s1ffFjz1xhWZox2QeJG8VPNQ1dLaODC5OMB%2byrXVW0g%3d
0,14,12,14,11,18,Connecticut,14,14,Texas A&M,20,/teams/events/match_report/?EventGameId=3qDf2K6sJ8wPYFvZXSw5iu7PUHALlicws9G5VKkuHZQ%3d
1,11,6,11,14,14,Texas A&M,11,18,Connecticut,24,/teams/events/match_report/?EventGameId=3qDf2K6sJ8wPYFvZXSw5iu7PUHALlicws9G5VKkuHZQ%3d
0,14,6,14,16,17,Cal Poly-SLO,14,8,Washington,15,/teams/events/match_report/?EventGameId=R9l7chfsQ1PsVoLTtLA%2bfAStNBk9rnZuiZ94HKg4uDU%3d
1,16,7,16,14,8,Washington,16,17,Cal Poly-SLO,12,/teams/events/match_report/?EventGameId=R9l7chfsQ1PsVoLTtLA%2bfAStNBk9rnZuiZ94HKg4uDU%3d
0,15,8,15,7,14,Texas A&M,15,7,Michigan,18,/teams/events/match_report/?EventGameId=xcTHqhRtpHQM%2bcMYWdXqwVDVQCAwPBqc8pqV6guwvV8%3d
1,7,4,7,15,7,Michigan,7,14,Texas A&M,25,/teams/events/match_report/?EventGameId=xcTHqhRtpHQM%2bcMYWdXqwVDVQCAwPBqc8pqV6guwvV8%3d
0,14,4,14,16,9,Wisconsin,14,5,Oregon,15,/teams/events/match_report/?EventGameId=R3oyY0isQCF2FncO7F9GyJBcUuo57oZiVQXC0nVL5DQ%3d
1,16,5,16,14,5,Oregon,16,9,Wisconsin,14,/teams/events/match_report/?EventGameId=R3oyY0isQCF2FncO7F9GyJBcUuo57oZiVQXC0nVL5DQ%3d
0,15,10,15,8,10,Colorado,15,6,Carleton College,19,/teams/events/match_report/?EventGameId=smO%2fPVzpcHTMNpUslwR3nvi7UUfy7pFppKrUCvA7ZwQ%3d
1,8,6,8,15,6,Carleton College,8,10,Colorado,25,/teams/events/match_report/?EventGameId=smO%2fPVzpcHTMNpUslwR3nvi7UUfy7pFppKrUCvA7ZwQ%3d
0,15,7,15,13,9,Wisconsin,15,4,Minnesota,15,/teams/events/match_report/?EventGameId=sydgCuBs6QJx1t0WL7hBBeQGcFZI0%2fkcG%2bNmrmueQ%2fA%3d
1,13,6,13,15,4,Minnesota,13,9,Wisconsin,17,/teams/events/match_report/?EventGameId=sydgCuBs6QJx1t0WL7hBBeQGcFZI0%2fkcG%2bNmrmueQ%2fA%3d
0,11,5,11,15,17,Cal Poly-SLO,11,13,Colorado State,20,/teams/events/match_report/?EventGameId=FSsWsfbnNNhHJHfs72sPkS8wgWtx%2fJnWqMrCpT5ByqE%3d
1,15,10,15,11,13,Colorado State,15,17,Cal Poly-SLO,16,/teams/events/match_report/?EventGameId=FSsWsfbnNNhHJHfs72sPkS8wgWtx%2fJnWqMrCpT5ByqE%3d
0,15,12,15,10,20,Virginia Tech,15,9,Wisconsin,17,/teams/events/match_report/?EventGameId=mFjvIXZPhPEDgVBPFwr6bsaaK1Jc3EOxs7X%2fMSljmuw%3d
1,10,7,10,15,9,Wisconsin,10,20,Virginia Tech,20,/teams/events/match_report/?EventGameId=mFjvIXZPhPEDgVBPFwr6bsaaK1Jc3EOxs7X%2fMSljmuw%3d
