,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
1,0,1,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
2,1,1,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
3,2,1,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
4,2,2,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
5,3,2,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
6,3,3,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
7,4,3,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
8,4,4,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
9,5,4,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
10,6,4,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
11,7,4,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
12,7,5,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
13,8,5,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
14,9,5,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
15,9,6,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
16,10,6,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
17,10,7,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
18,11,7,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
19,12,7,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
20,12,8,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
21,13,8,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
22,13,9,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
23,13,10,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
24,14,10,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
25,15,10,/teams/events/match_report/?EventGameId=5SH9vW7OebB2ONjSiNWF9GzM65tjDjK4ou9UC%2fYGBzE%3d,Massachusetts,Colorado State,1,13,15,10
0,0,0,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
1,1,0,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
2,1,1,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
3,2,1,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
4,3,1,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
5,3,2,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
6,4,2,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
7,5,2,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
8,5,3,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
9,6,3,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
10,7,3,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
11,7,4,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
12,8,4,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
13,9,4,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
14,10,4,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
15,11,4,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
16,11,5,/teams/events/match_report/?EventGameId=Ov3O7Bm6WJISmM6MBYqe6VlO%2f7YSDwQP%2fQYT5xrQ1o8%3d,Oregon,Virginia Tech,5,20,15,6
