,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
1,0,1,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
2,1,1,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
3,2,1,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
4,3,1,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
5,4,1,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
6,5,1,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
7,6,1,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
8,7,1,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
9,7,2,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
10,8,2,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
11,9,2,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
12,10,2,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
13,11,2,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
14,12,2,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
15,13,2,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
16,14,2,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
17,15,2,/teams/events/match_report/?EventGameId=Dq6RkZRdlFtXeWMLHo%2fjNZOzURpGjbTWsJpZ3Lrhp94%3d,Dartmouth,Florida,2,14,15,2
0,0,0,/teams/events/match_report/?EventGameId=J1lwzUhlwIFNvNMLwU6o32o07Wz3uqagKC1ZE8GKZH8%3d,Stanford,Colorado,1,8,13,11
1,1,0,/teams/events/match_report/?EventGameId=J1lwzUhlwIFNvNMLwU6o32o07Wz3uqagKC1ZE8GKZH8%3d,Stanford,Colorado,1,8,13,11
2,1,1,/teams/events/match_report/?EventGameId=J1lwzUhlwIFNvNMLwU6o32o07Wz3uqagKC1ZE8GKZH8%3d,Stanford,Colorado,1,8,13,11
3,2,1,/teams/events/match_report/?EventGameId=J1lwzUhlwIFNvNMLwU6o32o07Wz3uqagKC1ZE8GKZH8%3d,Stanford,Colorado,1,8,13,11
4,2,2,/teams/events/match_report/?EventGameId=J1lwzUhlwIFNvNMLwU6o32o07Wz3uqagKC1ZE8GKZH8%3d,Stanford,Colorado,1,8,13,11
