,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
1,0,1,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
2,1,1,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
3,1,2,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
4,2,2,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
5,2,3,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
6,2,4,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
7,2,5,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
8,2,6,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
9,2,7,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
10,3,7,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
11,3,8,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
12,3,9,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
13,3,10,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
14,3,11,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
15,3,12,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
16,3,13,/teams/events/match_report/?EventGameId=7%2f5PzxtDsB0wLgiSLVd3Ilc%2f0VPCmcHtIpK9yPhXSQI%3d,Truck Stop,Patrol,2,11,7,13
0,0,0,/teams/events/match_report/?EventGameId=lncJRmDLzH8eq2WJPbF%2bmdbt1gFKry%2bBXcLjAG0wO2A%3d,Doublewide,Madison Club,1,12,10,13
1,0,1,/teams/events/match_report/?EventGameId=lncJRmDLzH8eq2WJPbF%2bmdbt1gFKry%2bBXcLjAG0wO2A%3d,Doublewide,Madison Club,1,12,10,13
