,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,2,0,3,13,15,XIST,3,10,Steamboat,0,/teams/events/match_report/?EventGameId=AGpJic3JC7EPDCQzl7eM0tNhfS4vHcUOYptnj0KSWnk%3d
1,11,0,13,3,10,Steamboat,13,15,XIST,0,/teams/events/match_report/?EventGameId=AGpJic3JC7EPDCQzl7eM0tNhfS4vHcUOYptnj0KSWnk%3d
0,9,0,9,13,16,Birdfruit,9,4,Metro North,0,/teams/events/match_report/?EventGameId=T1Ly7fsEb892cyOmuRIm73rju63gUs7U3u5yO7Xt%2fIU%3d
1,13,0,13,9,4,Metro North,13,16,Birdfruit,0,/teams/events/match_report/?EventGameId=T1Ly7fsEb892cyOmuRIm73rju63gUs7U3u5yO7Xt%2fIU%3d
0,6,0,11,9,14,7 Figures,11,1,Wild Card,0,/teams/events/match_report/?EventGameId=yFbAHIQcR%2bnR8YRMyKku66T%2bp8gUpqLjH8XeGTnKQvQ%3d
1,6,0,7,11,1,Wild Card,9,14,7 Figures,0,/teams/events/match_report/?EventGameId=yFbAHIQcR%2bnR8YRMyKku66T%2bp8gUpqLjH8XeGTnKQvQ%3d
0,11,0,11,14,14,7 Figures,12,6,No Touching!,0,/teams/events/match_report/?EventGameId=5vIv2odGmSrUwcz0pUzzwykem0rWNIg1sbGMA2qKgYc%3d
1,14,0,14,12,6,No Touching!,14,14,7 Figures,0,/teams/events/match_report/?EventGameId=5vIv2odGmSrUwcz0pUzzwykem0rWNIg1sbGMA2qKgYc%3d
0,0,0,0,12,12,NOISE,14,8,Toro,0,/teams/events/match_report/?EventGameId=YfLEneUlx0f6yjaY3vbXVB7NPPbR2dklIlbb0VCuw%2bs%3d
1,0,0,0,14,8,Toro,12,12,NOISE,0,/teams/events/match_report/?EventGameId=YfLEneUlx0f6yjaY3vbXVB7NPPbR2dklIlbb0VCuw%2bs%3d
0,12,0,12,5,10,Steamboat,13,3,Drag'n Thrust,0,/teams/events/match_report/?EventGameId=ppBLzejizRw9APeKFz584KRmq1WJR%2bQLpvyZ4ffRUQQ%3d
1,5,0,5,13,3,Drag'n Thrust,5,10,Steamboat,0,/teams/events/match_report/?EventGameId=ppBLzejizRw9APeKFz584KRmq1WJR%2bQLpvyZ4ffRUQQ%3d
0,9,0,9,11,14,7 Figures,9,2,Public Enemy,0,/teams/events/match_report/?EventGameId=GGBE%2bIivRfrPnpD1up1xrq%2b4ryfvIppntu596Fz888E%3d
1,9,0,8,9,2,Public Enemy,11,14,7 Figures,0,/teams/events/match_report/?EventGameId=GGBE%2bIivRfrPnpD1up1xrq%2b4ryfvIppntu596Fz888E%3d
0,11,0,11,7,10,Steamboat,11,2,Public Enemy,0,/teams/events/match_report/?EventGameId=0a4zK6nJJ6HH8ARbPneLPnENeIqxL2usvuU3HPr55sg%3d
1,7,0,7,11,2,Public Enemy,7,10,Steamboat,0,/teams/events/match_report/?EventGameId=0a4zK6nJJ6HH8ARbPneLPnENeIqxL2usvuU3HPr55sg%3d
0,11,0,10,10,7,Blackbird,11,2,Public Enemy,0,/teams/events/match_report/?EventGameId=88KJGAkeIJy4DhVl4kgAbYpTCYMyEVfoyeO5f7PuVkw%3d
1,8,0,6,11,2,Public Enemy,10,7,Blackbird,0,/teams/events/match_report/?EventGameId=88KJGAkeIJy4DhVl4kgAbYpTCYMyEVfoyeO5f7PuVkw%3d
0,3,0,6,12,16,Birdfruit,13,5,shame.,0,/teams/events/match_report/?EventGameId=m4imXq8kqJbs%2faZqmOslr5AlcFesltZvcrAbLAB%2fw4g%3d
1,12,0,12,13,5,shame.,12,16,Birdfruit,0,/teams/events/match_report/?EventGameId=m4imXq8kqJbs%2faZqmOslr5AlcFesltZvcrAbLAB%2fw4g%3d
0,5,0,6,13,11,Love Tractor,9,7,Blackbird,0,/teams/events/match_report/?EventGameId=ggJdxWNsOj51Yr%2bnROUy3JypmIzYloxnNtOujjdRBAE%3d
1,10,0,12,9,7,Blackbird,13,11,Love Tractor,0,/teams/events/match_report/?EventGameId=ggJdxWNsOj51Yr%2bnROUy3JypmIzYloxnNtOujjdRBAE%3d
0,0,0,0,6,13,Alloy,13,12,NOISE,0,/teams/events/match_report/?EventGameId=ccgieEuF6NMD%2fzdR%2bfznAeEhxibt0Ms%2fsmpn1ZTECVQ%3d
1,0,0,0,13,12,NOISE,6,13,Alloy,0,/teams/events/match_report/?EventGameId=ccgieEuF6NMD%2fzdR%2bfznAeEhxibt0Ms%2fsmpn1ZTECVQ%3d
0,9,0,9,13,15,XIST,9,13,Alloy,0,/teams/events/match_report/?EventGameId=a6jRIRCLxnBBndje1XEy%2fq9y%2f6728EtmjAPojgEdRbM%3d
1,12,0,13,9,13,Alloy,13,15,XIST,0,/teams/events/match_report/?EventGameId=a6jRIRCLxnBBndje1XEy%2fq9y%2f6728EtmjAPojgEdRbM%3d
0,11,0,11,11,16,Birdfruit,12,9,Mischief,0,/teams/events/match_report/?EventGameId=vw8Xb0cLVMW1ZLD3oVRSSKYoNGTx0YQKpC7iqXeYuhY%3d
1,11,0,11,12,9,Mischief,11,16,Birdfruit,0,/teams/events/match_report/?EventGameId=vw8Xb0cLVMW1ZLD3oVRSSKYoNGTx0YQKpC7iqXeYuhY%3d
0,8,0,7,7,14,7 Figures,13,11,Love Tractor,0,/teams/events/match_report/?EventGameId=D1ujTOAaWeDCh%2f9OHzYcV2KKB6PIqHNBA%2bxmjjH9xdg%3d
1,7,0,7,13,11,Love Tractor,7,14,7 Figures,0,/teams/events/match_report/?EventGameId=D1ujTOAaWeDCh%2f9OHzYcV2KKB6PIqHNBA%2bxmjjH9xdg%3d
0,6,0,6,8,9,Mischief,13,5,shame.,0,/teams/events/match_report/?EventGameId=RC7kB44e3CXhV7kPbLsQqB7VLnrzMsk%2bJwOS690%2bY2I%3d
1,5,0,5,13,5,shame.,8,9,Mischief,0,/teams/events/match_report/?EventGameId=RC7kB44e3CXhV7kPbLsQqB7VLnrzMsk%2bJwOS690%2bY2I%3d
0,0,0,0,13,8,Toro,5,12,NOISE,0,/teams/events/match_report/?EventGameId=byn0B5NOu4oJ8gWb3kRJBqtSv68WY4M%2bFNhtNYcCudI%3d
1,10,0,12,5,12,NOISE,13,8,Toro,0,/teams/events/match_report/?EventGameId=byn0B5NOu4oJ8gWb3kRJBqtSv68WY4M%2bFNhtNYcCudI%3d
