,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,0,Donna Johnston,DONNA JOHNSTON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aJIZnDAWn4TujGX80XMsJC5NdKZKhBmCaVdVQyr1JGY%3d,Heist,9,10,BENT,16,11
1,2,Sabrina Hoffman,SABRINA HOFFMAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aJIZnDAWn4TujGX80XMsJC5NdKZKhBmCaVdVQyr1JGY%3d,Heist,9,10,BENT,16,11
2,3,Sara Gnolek,SARA GNOLEK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aJIZnDAWn4TujGX80XMsJC5NdKZKhBmCaVdVQyr1JGY%3d,Heist,9,10,BENT,16,11
3,4,Ellie Daniels,ELLIE DANIELS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aJIZnDAWn4TujGX80XMsJC5NdKZKhBmCaVdVQyr1JGY%3d,Heist,9,10,BENT,16,11
4,5,Rose Glinka,ROSE GLINKA,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=aJIZnDAWn4TujGX80XMsJC5NdKZKhBmCaVdVQyr1JGY%3d,Heist,9,10,BENT,16,11
5,6,Alexandra Hu,ALEXANDRA HU,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aJIZnDAWn4TujGX80XMsJC5NdKZKhBmCaVdVQyr1JGY%3d,Heist,9,10,BENT,16,11
6,7,Austin Prucha,AUSTIN PRUCHA,1,1,2,2,0,0,0,/teams/events/match_report/?EventGameId=aJIZnDAWn4TujGX80XMsJC5NdKZKhBmCaVdVQyr1JGY%3d,Heist,9,10,BENT,16,11
7,9,Daniela Rodriguez,DANIELA RODRIGUEZ,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=aJIZnDAWn4TujGX80XMsJC5NdKZKhBmCaVdVQyr1JGY%3d,Heist,9,10,BENT,16,11
8,10,Alison Vandegrift,ALISON VANDEGRIFT,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=aJIZnDAWn4TujGX80XMsJC5NdKZKhBmCaVdVQyr1JGY%3d,Heist,9,10,BENT,16,11
9,11,Melissa Gibbs,MELISSA GIBBS,2,2,1,1,0,0,0,/teams/events/match_report/?EventGameId=aJIZnDAWn4TujGX80XMsJC5NdKZKhBmCaVdVQyr1JGY%3d,Heist,9,10,BENT,16,11
