,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,0,Wystan Duhn,WYSTAN DUHN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
1,1,Ryan Osgar,RYAN OSGAR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
2,2,Ben Feldman,BEN FELDMAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
3,3,Colin Berry,COLIN BERRY,1,1,2,2,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
4,4,Gregory Cousins,GREGORY COUSINS,4,4,1,1,0,1,1,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
5,5,Charles McCutcheon,CHARLES MCCUTCHEON,3,3,1,1,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
6,6,Charles Weinberg,CHARLES WEINBERG,1,1,3,3,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
7,7,Zach Trosvig,ZACH TROSVIG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
8,8,Cole Wallin,COLE WALLIN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
9,9,Jay Drescher,JAY DRESCHER,1,1,0,0,1,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
10,10,Tony Poletto,TONY POLETTO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
11,11,Trey Taylor,TREY TAYLOR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
12,12,Alex Simmons,ALEX SIMMONS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
13,13,Cole Jurek,COLE JUREK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
14,15,Kristian Johnson,KRISTIAN JOHNSON,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
15,16,Ethan Rasmussen,ETHAN RASMUSSEN,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d,Sub Zero,6,15,HIGH FIVE,7,9
