,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,12,2,15,9,7,HIGH FIVE,15,6,Sub Zero,3,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d
1,8,0,7,15,6,Sub Zero,9,7,HIGH FIVE,7,/teams/events/match_report/?EventGameId=eKHmsfCOKbfgicrBkFSje4r3yPILSv16yt3PHmFoxJM%3d
0,10,2,10,14,9,Truck Stop,12,6,Sub Zero,9,/teams/events/match_report/?EventGameId=H1UNsU1lVo207nV4sMQfoPNu1mE64MJuBRiKOIuXAmQ%3d
1,10,5,10,12,6,Sub Zero,14,9,Truck Stop,6,/teams/events/match_report/?EventGameId=H1UNsU1lVo207nV4sMQfoPNu1mE64MJuBRiKOIuXAmQ%3d
0,12,4,14,12,4,DiG,15,1,Revolver,3,/teams/events/match_report/?EventGameId=EAiWEUzs55oSZ2Azai%2fGxuX9nfReu%2b6YCOJ3%2bMrrrR0%3d
1,0,0,0,15,1,Revolver,12,4,DiG,0,/teams/events/match_report/?EventGameId=EAiWEUzs55oSZ2Azai%2fGxuX9nfReu%2b6YCOJ3%2bMrrrR0%3d
0,0,0,0,9,5,Johnny Bravo,15,2,Ring of Fire,0,/teams/events/match_report/?EventGameId=2oqDGxjic%2bQ0LpNQVyALVtSnDt178uaPANrbRZtY1nE%3d
1,9,0,9,15,2,Ring of Fire,9,5,Johnny Bravo,6,/teams/events/match_report/?EventGameId=2oqDGxjic%2bQ0LpNQVyALVtSnDt178uaPANrbRZtY1nE%3d
0,9,2,12,11,9,Truck Stop,15,1,Revolver,1,/teams/events/match_report/?EventGameId=WboTrooXGkBYpxOXFoQxEJ2ptv3A3a27bHHdPucpH6M%3d
1,7,1,6,15,1,Revolver,11,9,Truck Stop,6,/teams/events/match_report/?EventGameId=WboTrooXGkBYpxOXFoQxEJ2ptv3A3a27bHHdPucpH6M%3d
0,5,1,10,14,8,PoNY,10,9,Truck Stop,8,/teams/events/match_report/?EventGameId=MuQuM3cwYhv0orfTZFVhYJIhyKyp%2fsxhuFgCBeONuHA%3d
1,14,2,14,10,9,Truck Stop,14,8,PoNY,6,/teams/events/match_report/?EventGameId=MuQuM3cwYhv0orfTZFVhYJIhyKyp%2fsxhuFgCBeONuHA%3d
0,8,1,11,12,8,PoNY,11,3,Chicago Machine,8,/teams/events/match_report/?EventGameId=Ijis0t4L9gsz%2bxA6LZ3y73aNC1c6KDGUszodTPZPhEk%3d
1,12,5,12,11,3,Chicago Machine,12,8,PoNY,8,/teams/events/match_report/?EventGameId=Ijis0t4L9gsz%2bxA6LZ3y73aNC1c6KDGUszodTPZPhEk%3d
