,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,-1,Jeannette Quach,JEANNETTE QUACH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
1,-1,Krystal Dos Santos,KRYSTAL DOS SANTOS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
2,0,Lana Ramic,LANA RAMIC,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
3,0,Lillian Steponaitis,LILLIAN STEPONAITIS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
4,0,Lindsay Musalem,LINDSAY MUSALEM,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
5,0,Anouchka Beaudry,ANOUCHKA BEAUDRY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
6,0,Brittney Dos Santos,BRITTNEY DOS SANTOS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
7,0,Christine Jurychuk,CHRISTINE JURYCHUK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
8,0,Destin McQuillan,DESTIN MCQUILLAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
9,0,Reve Chan,REVE CHAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
10,0,Sara Mar,SARA MAR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
11,0,Sarah Kidd,SARAH KIDD,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
12,11,Laura Kinoshita,LAURA KINOSHITA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
13,14,Miriam Tingle,MIRIAM TINGLE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
14,16,Jessica Chen,JESSICA CHEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
15,17,Nicolette Bertsch,NICOLETTE BERTSCH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
16,20,Lauren Kimura,LAUREN KIMURA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
17,22,Sarah Bobak,SARAH BOBAK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
18,28,Jenna McLeod,JENNA MCLEOD,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
19,35,Molly Lewis,MOLLY LEWIS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
20,51,Sarah Innes,SARAH INNES,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
21,90,Jordan Meron,JORDAN MERON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
22,93,Naomi Redmond,NAOMI REDMOND,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,4,15,Heist,6,12
0,-1,Ellie Daniels,ELLIE DANIELS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
1,0,Donna Johnston,DONNA JOHNSTON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
2,2,Sabrina Hoffman,SABRINA HOFFMAN,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
3,3,Sara Gnolek,SARA GNOLEK,1,1,0,0,1,1,1,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
4,5,Rose Glinka,ROSE GLINKA,1,1,2,2,0,1,1,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
5,6,Alexandra Hu,ALEXANDRA HU,0,0,0,0,2,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
6,7,Austin Prucha,AUSTIN PRUCHA,7,7,1,1,0,1,1,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
7,9,Daniela Rodriguez,DANIELA RODRIGUEZ,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
8,10,Alison Vandegrift,ALISON VANDEGRIFT,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
9,11,Melissa Gibbs,MELISSA GIBBS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
10,12,Emily Orner,EMILY ORNER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
11,13,Brittney Kokinos,BRITTNEY KOKINOS,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
12,14,Rachel Enyeart,RACHEL ENYEART,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
13,16,Margaret Walker,MARGARET WALKER,1,1,0,0,0,3,3,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
14,17,Lindsey Waite,LINDSEY WAITE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
15,22,Elizabeth Lehman,ELIZABETH LEHMAN,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
16,23,Anna Williams,ANNA WILLIAMS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
17,24,Camila Flowerman,CAMILA FLOWERMAN,0,0,1,1,1,1,1,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
18,30,Jean Huang,JEAN HUANG,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
19,31,Sharon Yee,SHARON YEE,1,1,1,1,0,2,2,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
20,40,Amelia Cuarenta,AMELIA CUARENTA,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
21,44,Robyn Wiseman,ROBYN WISEMAN,1,1,6,6,1,3,3,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
22,70,Charlotte Francoeur,CHARLOTTE FRANCOEUR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
23,84,Sara Stuedemann,SARA STUEDEMANN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
24,87,Emily Langland,EMILY LANGLAND,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
25,99,Caitlin Murphy,CAITLIN MURPHY,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,Heist,6,12,6ixers,4,15
0,0,Alexandra Ode,ALEXANDRA ODE,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
1,2,Sophie Hulbert,SOPHIE HULBERT,2,2,0,0,3,0,0,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
2,3,Courtney Verhaalen,COURTNEY VERHAALEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
3,4,Lien Hoffmann,LIEN HOFFMANN,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
4,5,Julianna Werffeli,JULIANNA WERFFELI,0,0,1,1,0,2,2,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
5,6,Claudia Tajima,CLAUDIA TAJIMA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
6,7,Kami Groom,KAMI GROOM,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
7,10,Amber Sinicrope,AMBER SINICROPE,2,2,5,5,0,3,3,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
8,12,Nicole Canning,NICOLE CANNING,2,2,0,0,2,0,0,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
9,13,Becky Malinowski,BECKY MALINOWSKI,1,1,0,0,1,0,0,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
10,14,Tulsa Douglas,TULSA DOUGLAS,0,0,2,2,1,0,0,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
11,17,Angela Zhu,ANGELA ZHU,1,1,0,0,0,2,2,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
12,21,Chelsea Murphy,CHELSEA MURPHY,1,1,0,0,1,1,1,/teams/events/match_report/?EventGameId=3T9rIjy5LWOi%2fqdSv8L818c9F1Vse6MCAPDiOr4pEII%3d,Brute Squad,1,15,Heist,6,5
