,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
1,0,1,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
2,0,2,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
3,0,3,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
4,0,4,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
5,0,5,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
6,0,6,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
7,0,7,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
8,0,8,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
9,0,9,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
10,0,10,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
11,0,11,/teams/events/match_report/?EventGameId=BZRho5ysBaVjAJMlRH4P8fLwL1JA5CRhlRdGCYCiXrQ%3d,6ixers,Heist,4,6,15,12
