,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,1,Shinya Kikuchi,SHINYA KIKUCHI,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=7BXS62DygDbeRRmC8uTL33HGY9KDVbOgYhnRoaCq8Ys%3d,Bunka Shutter Buzz Bullets,3,15,Osaka Spirits,12,4
1,3,Yasuo Takahashi,YASUO TAKAHASHI,1,1,2,2,0,0,0,/teams/events/match_report/?EventGameId=7BXS62DygDbeRRmC8uTL33HGY9KDVbOgYhnRoaCq8Ys%3d,Bunka Shutter Buzz Bullets,3,15,Osaka Spirits,12,4
2,4,Kenta Kawamata,KENTA KAWAMATA,0,0,2,2,0,1,1,/teams/events/match_report/?EventGameId=7BXS62DygDbeRRmC8uTL33HGY9KDVbOgYhnRoaCq8Ys%3d,Bunka Shutter Buzz Bullets,3,15,Osaka Spirits,12,4
3,5,Raito Nose,RAITO NOSE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=7BXS62DygDbeRRmC8uTL33HGY9KDVbOgYhnRoaCq8Ys%3d,Bunka Shutter Buzz Bullets,3,15,Osaka Spirits,12,4
4,6,Masashi Kurono,MASASHI KURONO,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=7BXS62DygDbeRRmC8uTL33HGY9KDVbOgYhnRoaCq8Ys%3d,Bunka Shutter Buzz Bullets,3,15,Osaka Spirits,12,4
5,7,Yuta Inomata,YUTA INOMATA,2,2,1,1,1,3,3,/teams/events/match_report/?EventGameId=7BXS62DygDbeRRmC8uTL33HGY9KDVbOgYhnRoaCq8Ys%3d,Bunka Shutter Buzz Bullets,3,15,Osaka Spirits,12,4
6,10,Masahiro Matsuno,MASAHIRO MATSUNO,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=7BXS62DygDbeRRmC8uTL33HGY9KDVbOgYhnRoaCq8Ys%3d,Bunka Shutter Buzz Bullets,3,15,Osaka Spirits,12,4
7,11,Tetsuya Kamimura,TETSUYA KAMIMURA,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=7BXS62DygDbeRRmC8uTL33HGY9KDVbOgYhnRoaCq8Ys%3d,Bunka Shutter Buzz Bullets,3,15,Osaka Spirits,12,4
8,12,Yohei Kichikawa,YOHEI KICHIKAWA,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=7BXS62DygDbeRRmC8uTL33HGY9KDVbOgYhnRoaCq8Ys%3d,Bunka Shutter Buzz Bullets,3,15,Osaka Spirits,12,4
9,15,Shingo Wakaya,SHINGO WAKAYA,1,1,0,0,1,0,0,/teams/events/match_report/?EventGameId=7BXS62DygDbeRRmC8uTL33HGY9KDVbOgYhnRoaCq8Ys%3d,Bunka Shutter Buzz Bullets,3,15,Osaka Spirits,12,4
