,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,2,Brett Sullivan,BRETT SULLIVAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,6,15,Storm,12,9
1,3,Patrick Niles,PATRICK NILES,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,6,15,Storm,12,9
2,4,Erica Baken,ERICA BAKEN,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,6,15,Storm,12,9
3,5,Greta Regan,GRETA REGAN,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,6,15,Storm,12,9
4,7,Blake Trantina,BLAKE TRANTINA,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,6,15,Storm,12,9
5,9,Emily Regan,EMILY REGAN,0,0,1,1,1,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,6,15,Storm,12,9
6,10,Martha Lien,MARTHA LIEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,6,15,Storm,12,9
7,12,Marty Adams,MARTY ADAMS,1,1,0,0,2,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,6,15,Storm,12,9
8,13,Jacob Lien,JACOB LIEN,0,0,1,1,3,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,6,15,Storm,12,9
9,14,Austin Lien,AUSTIN LIEN,2,2,2,2,0,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,6,15,Storm,12,9
