,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
1,1,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
2,2,0,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
3,2,1,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
4,3,1,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
5,4,1,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
6,5,1,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
7,6,1,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
8,6,2,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
9,7,2,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
10,7,3,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
11,8,3,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
12,8,4,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
13,9,4,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
14,10,4,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
15,10,5,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
16,10,6,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
17,11,6,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
18,11,7,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
19,12,7,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
20,12,8,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
21,13,8,/teams/events/match_report/?EventGameId=IV%2b%2b2mf03vHtl6ey3OtFN0mLPK%2b3AQoufNA5k%2f%2brN6g%3d,Drag'n Thrust,Storm,6,12,15,9
