,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
1,1,0,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
2,1,1,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
3,2,1,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
4,3,1,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
5,4,1,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
6,5,1,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
7,6,1,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
8,6,2,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
9,7,2,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
10,8,2,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
11,8,3,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
12,9,3,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
13,9,4,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
14,10,4,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
15,11,4,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
16,12,4,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
17,13,4,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
18,13,5,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
19,14,5,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
20,15,5,/teams/events/match_report/?EventGameId=KFcgBG5CD%2bRaVVN2RcmPev%2fostKKJmoFMf51IpMaGvA%3d,Fury,Showdown,1,9,15,5
