,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,0,Chris Padilla,CHRIS PADILLA,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
1,1,Luke Webb,LUKE WEBB,1,1,1,1,1,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
2,2,Solomon Yanuck,SOLOMON YANUCK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
3,3,Tony Ngo,TONY NGO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
4,5,Liam Holloway-Bidwell,LIAM HOLLOWAY-BIDWELL,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
5,6,Alex Olson,ALEX OLSON,0,0,4,4,0,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
6,7,Cameron Hastings,CAMERON HASTINGS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
7,10,Henry Fisher,HENRY FISHER,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
8,11,Kohl Sparrman,KOHL SPARRMAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
9,12,Timothy Schoch,TIMOTHY SCHOCH,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
10,13,Alexander Walker,ALEXANDER WALKER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=T%2bH8BZcq%2f48cioKpZ2DtnZ0DfkleVVCZo0oF15BZHRc%3d,Carleton College,1,15,Auburn,13,6
