,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,3,Ivey Long,IVEY LONG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
1,4,Julia Zwierzynski,JULIA ZWIERZYNSKI,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
2,6,Qing (Jenny) Wei,QING (JENNY) WEI,4,4,3,3,3,3,3,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
3,7,Bridget Johnson,BRIDGET JOHNSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
4,8,Alice Wang,ALICE WANG,0,0,0,0,1,1,1,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
5,9,Elisabeth Parker,ELISABETH PARKER,2,2,0,0,0,8,8,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
6,10,Olivia Monroe,OLIVIA MONROE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
7,13,Tyler Smith,TYLER SMITH,0,0,1,1,1,3,3,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
8,14,Meg Van Horn,MEG VAN HORN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
9,15,Florence Brooks,FLORENCE BROOKS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
10,18,Vany Nguyen,VANY NGUYEN,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
11,20,Bridget Mizener,BRIDGET MIZENER,0,0,3,3,2,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
12,22,Anne Worth,ANNE WORTH,1,1,2,2,0,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
13,25,Mary-Catherine Adams,MARY-CATHERINE ADAMS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
14,27,Mary Rippe,MARY RIPPE,0,0,0,0,0,2,2,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
15,28,Rachell Xu,RACHELL XU,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
16,34,Alexandra Barnett,ALEXANDRA BARNETT,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
17,35,Maggie Adams,MAGGIE ADAMS,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
18,37,Anna Xu,ANNA XU,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d,North Carolina,3,11,Pittsburgh,10,13
