,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,11,9,11,13,10,Pittsburgh,11,3,North Carolina,23,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d
1,13,3,13,11,3,North Carolina,13,10,Pittsburgh,20,/teams/events/match_report/?EventGameId=W%2b2Un5%2buWyYOX9TbHETQWuT5W9O7nGH%2bfD63POvnH78%3d
0,8,12,8,15,4,Stanford,8,3,North Carolina,35,/teams/events/match_report/?EventGameId=RMhqpaduHJGKBsV4I6YDl2dMxbM1pc80oD0Wdob7XqM%3d
1,15,16,15,8,3,North Carolina,15,4,Stanford,31,/teams/events/match_report/?EventGameId=RMhqpaduHJGKBsV4I6YDl2dMxbM1pc80oD0Wdob7XqM%3d
0,15,6,15,12,17,California-Santa Barbara,15,13,West Chester,22,/teams/events/match_report/?EventGameId=ZdJIMug116%2fNQXAe69UelfzCBNU2SIaq6be%2b0Zb1xKA%3d
1,12,11,12,15,13,West Chester,12,17,California-Santa Barbara,25,/teams/events/match_report/?EventGameId=ZdJIMug116%2fNQXAe69UelfzCBNU2SIaq6be%2b0Zb1xKA%3d
0,15,10,15,6,18,Michigan,15,7,Texas,30,/teams/events/match_report/?EventGameId=8MMCWVqus3oz0%2fG8pN%2bWAoURkWOKvncedDzAfQjH%2bPY%3d
1,6,17,6,15,7,Texas,6,18,Michigan,29,/teams/events/match_report/?EventGameId=8MMCWVqus3oz0%2fG8pN%2bWAoURkWOKvncedDzAfQjH%2bPY%3d
0,15,8,15,5,19,Florida,15,14,Western Washington,17,/teams/events/match_report/?EventGameId=aVl1PjdI8nVGKm396ry8QCwOR2ktJpGh6UwffX6TW6I%3d
1,5,8,5,15,14,Western Washington,5,19,Florida,28,/teams/events/match_report/?EventGameId=aVl1PjdI8nVGKm396ry8QCwOR2ktJpGh6UwffX6TW6I%3d
0,15,15,15,10,14,Western Washington,15,7,Texas,35,/teams/events/match_report/?EventGameId=2wqrRRxEwe15baQWH67lwg0xcZ62V3h5XWkQkcFyPcQ%3d
