,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,11,8,11,15,14,Johnny Bravo,11,13,Furious George,16,/teams/events/match_report/?EventGameId=pRbQQ99TrS9bWZYMBOBTwlePZuZZ6o58OcvfRlOME68%3d
1,15,11,15,11,13,Furious George,15,14,Johnny Bravo,13,/teams/events/match_report/?EventGameId=pRbQQ99TrS9bWZYMBOBTwlePZuZZ6o58OcvfRlOME68%3d
0,13,3,13,14,12,SoCal Condors,13,15,Chain Lightning,8,/teams/events/match_report/?EventGameId=amRkQCJ1VMkY%2f3iwHO8%2ftYR7DFQbTJUMRrCOhB2PJxY%3d
1,13,3,13,13,15,Chain Lightning,14,12,SoCal Condors,9,/teams/events/match_report/?EventGameId=amRkQCJ1VMkY%2f3iwHO8%2ftYR7DFQbTJUMRrCOhB2PJxY%3d
0,15,5,15,8,13,Furious George,15,1,Sockeye,9,/teams/events/match_report/?EventGameId=C%2fLNYiiDH7aZ4co%2bTJDrLPZ9GrkW2Hv3HC1oKMZ6LF8%3d
1,8,3,8,15,1,Sockeye,8,13,Furious George,13,/teams/events/match_report/?EventGameId=C%2fLNYiiDH7aZ4co%2bTJDrLPZ9GrkW2Hv3HC1oKMZ6LF8%3d
0,15,4,15,13,14,Johnny Bravo,15,11,Pittsburgh Temper,5,/teams/events/match_report/?EventGameId=vxfdEfB4Q7no9zx6RYzyzXNb7Z3duCfWwRducSTe%2f3A%3d
1,13,4,13,15,11,Pittsburgh Temper,13,14,Johnny Bravo,6,/teams/events/match_report/?EventGameId=vxfdEfB4Q7no9zx6RYzyzXNb7Z3duCfWwRducSTe%2f3A%3d
0,16,3,16,15,12,SoCal Condors,16,9,Doublewide,10,/teams/events/match_report/?EventGameId=TXYrnsVDZMtmwzyARQLEjMRxNxAGoB7dqkGzvKZ163g%3d
1,15,5,15,16,9,Doublewide,15,12,SoCal Condors,10,/teams/events/match_report/?EventGameId=TXYrnsVDZMtmwzyARQLEjMRxNxAGoB7dqkGzvKZ163g%3d
0,12,1,11,15,15,Chain Lightning,12,6,Chicago Machine,6,/teams/events/match_report/?EventGameId=iXvDnLJAFU7Ub87DF59UyRmq5zAxt7hGsQgQt5w5Eg0%3d
1,15,10,15,12,6,Chicago Machine,15,15,Chain Lightning,7,/teams/events/match_report/?EventGameId=iXvDnLJAFU7Ub87DF59UyRmq5zAxt7hGsQgQt5w5Eg0%3d
0,12,0,12,15,10,GOAT,12,8,DiG,3,/teams/events/match_report/?EventGameId=Mvzd0Vc0vcefuk8k2gggdRVcPfRTN6DUWhRSaoM%2bxWk%3d
1,15,1,15,12,8,DiG,15,10,GOAT,2,/teams/events/match_report/?EventGameId=Mvzd0Vc0vcefuk8k2gggdRVcPfRTN6DUWhRSaoM%2bxWk%3d
0,15,1,15,13,11,Pittsburgh Temper,15,7,Sub Zero,8,/teams/events/match_report/?EventGameId=gLF1TEKsTktHhb7AcbvpYqaqe8LotNXWzmeSBABUMN0%3d
1,12,3,13,15,7,Sub Zero,13,11,Pittsburgh Temper,11,/teams/events/match_report/?EventGameId=gLF1TEKsTktHhb7AcbvpYqaqe8LotNXWzmeSBABUMN0%3d
