,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Jacob Janin,,,5.0,4.0,,1.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,JACOB JANIN
1,1,Garrett Martin,Handler,"5'11""",1.0,,,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,GARRETT MARTIN
2,2,Brice Dixon,,,7.0,7.0,,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,BRICE DIXON
3,3,Thomas Kulczak,Handler,"5'11""",1.0,3.0,,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,THOMAS KULCZAK
4,4,Zachary Goulson,,,1.0,,,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,ZACHARY GOULSON
5,5,Nathan Kwon,,"1'0""",4.0,3.0,3.0,2.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,NATHAN KWON
6,6,Philip Murray,Mid,"6'0""",5.0,6.0,,1.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,PHILIP MURRAY
7,7,Eli Friedman,,"5'10""",2.0,1.0,3.0,2.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,ELI FRIEDMAN
8,8,Camden Allison-Hall,,,1.0,,,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,CAMDEN ALLISON-HALL
9,9,Simon Montague,,,1.0,10.0,1.0,9.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,SIMON MONTAGUE
10,10,Dongyang Chen,,,1.0,1.0,,1.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,DONGYANG CHEN
11,11,Christian Foster,,,4.0,1.0,1.0,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,CHRISTIAN FOSTER
12,16,Trent Dillon,Defense (Cutter/Handler),"5'11""",5.0,,2.0,3.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,TRENT DILLON
13,19,Husayn Carnegie,Defense (Cutter),"6'0""",2.0,,1.0,,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,HUSAYN CARNEGIE
14,22,William Katz,,,1.0,5.0,2.0,1.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,WILLIAM KATZ
15,23,Xander Cuizon Tice,,,2.0,,,1.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,XANDER CUIZON TICE
16,24,Tony Venneri,,,1.0,,,2.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,TONY VENNERI
17,27,Dylan Freechild,,,9.0,11.0,1.0,1.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,DYLAN FREECHILD
18,28,Duncan Linn,Deep,"6'1""",,1.0,1.0,1.0,/events/teams/?EventTeamId=3VTuyn4K0uEO5wKkRo2a%2byPRB8glo6bXKUz9I12KYGs%3d,Sockeye,1,DUNCAN LINN
