,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,0,Jacob Taylor,JACOB TAYLOR,0,0,3,3,1,1,1,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
1,1,Brian Garcia,BRIAN GARCIA,1,1,0,0,1,1,1,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
2,2,Allison Springer,ALLISON SPRINGER,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
3,3,Anna Beddor,ANNA BEDDOR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
4,4,Davis Whitehead,DAVIS WHITEHEAD,1,1,2,2,1,6,6,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
5,5,Kirsten Lundquist,KIRSTEN LUNDQUIST,0,0,0,0,0,1,1,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
6,6,Tessa Jones,TESSA JONES,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
7,7,Jon Cox,JON COX,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
8,8,Peter Prial,PETER PRIAL,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
9,10,Alex Grintsvayg,ALEX GRINTSVAYG,0,0,2,2,1,3,3,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
10,11,Ryan Levins,RYAN LEVINS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
11,12,Christopher Waite,CHRISTOPHER WAITE,1,1,0,0,1,0,0,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
12,13,Kimberly Culpan,KIMBERLY CULPAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
13,17,Auralyn Mackenzie,AURALYN MACKENZIE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
14,21,Misha Herscu,MISHA HERSCU,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=bKioyXeYJ%2fR%2f3LxfwQUsM4QJqNGYfnIrql9QthczKCE%3d,Snake Country,10,11,BFG,8,14
