,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,2,Kimberly Schlesinger,,,2.0,1.0,,,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,KIMBERLY SCHLESINGER
1,3,Mario O'Brien,,,2.0,11.0,,8.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,MARIO O'BRIEN
2,5,Reid Koss,,,5.0,6.0,1.0,4.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,REID KOSS
3,7,Kerry Chang,,,6.0,5.0,4.0,1.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,KERRY CHANG
4,8,Kodi Smart,,,1.0,3.0,2.0,7.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,KODI SMART
5,10,Julia Bladin,,,8.0,4.0,,5.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,JULIA BLADIN
6,11,Austin Barden,,"6'1""",2.0,1.0,4.0,1.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,AUSTIN BARDEN
7,12,Marc Anthony Munoz,,,4.0,2.0,,2.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,MARC ANTHONY MUNOZ
8,13,Nariah-Belle Sims,,"5'5""",1.0,1.0,3.0,1.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,NARIAH-BELLE SIMS
9,16,Judith Yeo,,,1.0,1.0,,,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,JUDITH YEO
10,17,Thomas Li,,,9.0,4.0,2.0,7.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,THOMAS LI
11,19,Jonas Golden,,,6.0,,1.0,,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,JONAS GOLDEN
12,20,Alexa Kirkland,,,2.0,8.0,,4.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,ALEXA KIRKLAND
13,21,Ben McGinn,,,5.0,10.0,,7.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,BEN MCGINN
14,24,Lucas Davies,Handler,"6'0""",4.0,3.0,,2.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,LUCAS DAVIES
15,26,Andi Coleman,,,4.0,,4.0,2.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,ANDI COLEMAN
16,27,Jeffrey Pape,Dump,"1'6""",1.0,6.0,2.0,5.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,JEFFREY PAPE
17,28,Leah Bar-On Simmons,,,2.0,1.0,2.0,1.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,LEAH BAR-ON SIMMONS
18,29,Jimmy Hooper,,"1'0""",,4.0,,3.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,JIMMY HOOPER
19,30,Sarah Benditt,,,4.0,5.0,2.0,4.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,SARAH BENDITT
20,32,Alissa Soo,,,3.0,,4.0,4.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,ALISSA SOO
21,33,Annamaria Pape,,,3.0,,1.0,,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,ANNAMARIA PAPE
22,44,Stephen Gussin,,,2.0,3.0,3.0,1.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,STEPHEN GUSSIN
23,88,Lili Gu,,,,,,,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,LILI GU
24,89,Jay Boychuk,,,7.0,5.0,,1.0,/events/teams/?EventTeamId=HQFpj82UPH9ho6ATnOS%2bVO6vMF%2fzOxuBcrCZEfI3aQM%3d,BFG,8,JAY BOYCHUK
0,2,Brett Sullivan,,,2.0,3.0,,1.0,/events/teams/?EventTeamId=l78Y%2fwgr2ooMn4sxXz89d3q75HTD6F%2fqu2tvNgIupGg%3d,Drag'n Thrust,1,BRETT SULLIVAN
1,3,Patrick Niles,,,,2.0,1.0,5.0,/events/teams/?EventTeamId=l78Y%2fwgr2ooMn4sxXz89d3q75HTD6F%2fqu2tvNgIupGg%3d,Drag'n Thrust,1,PATRICK NILES
2,4,Erica Baken,Handler,"5'7""",3.0,8.0,3.0,10.0,/events/teams/?EventTeamId=l78Y%2fwgr2ooMn4sxXz89d3q75HTD6F%2fqu2tvNgIupGg%3d,Drag'n Thrust,1,ERICA BAKEN
3,5,Ellie Sjordal,Cutter,"5'4""",,,,,/events/teams/?EventTeamId=l78Y%2fwgr2ooMn4sxXz89d3q75HTD6F%2fqu2tvNgIupGg%3d,Drag'n Thrust,1,ELLIE SJORDAL
4,6,Logan Weiss,Cutter,"6'0""",4.0,2.0,1.0,2.0,/events/teams/?EventTeamId=l78Y%2fwgr2ooMn4sxXz89d3q75HTD6F%2fqu2tvNgIupGg%3d,Drag'n Thrust,1,LOGAN WEISS
5,7,Blake Trantina,,"1'0""",3.0,1.0,4.0,1.0,/events/teams/?EventTeamId=l78Y%2fwgr2ooMn4sxXz89d3q75HTD6F%2fqu2tvNgIupGg%3d,Drag'n Thrust,1,BLAKE TRANTINA
6,8,Greta Regan,,,1.0,,,,/events/teams/?EventTeamId=l78Y%2fwgr2ooMn4sxXz89d3q75HTD6F%2fqu2tvNgIupGg%3d,Drag'n Thrust,1,GRETA REGAN
7,9,Emily Regan,,,2.0,3.0,,4.0,/events/teams/?EventTeamId=l78Y%2fwgr2ooMn4sxXz89d3q75HTD6F%2fqu2tvNgIupGg%3d,Drag'n Thrust,1,EMILY REGAN
8,10,Erin McCann,Cutter,"5'4""",,,1.0,,/events/teams/?EventTeamId=l78Y%2fwgr2ooMn4sxXz89d3q75HTD6F%2fqu2tvNgIupGg%3d,Drag'n Thrust,1,ERIN MCCANN
9,12,Marty Adams,,,1.0,,2.0,2.0,/events/teams/?EventTeamId=l78Y%2fwgr2ooMn4sxXz89d3q75HTD6F%2fqu2tvNgIupGg%3d,Drag'n Thrust,1,MARTY ADAMS
