,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,15,9,15,10,15,Iris,15,10,Nightlock,15,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d
1,10,8,10,15,10,Nightlock,10,15,Iris,18,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d
0,14,4,14,11,13,Nemesis,14,11,Siege,14,/teams/events/match_report/?EventGameId=TJ4xooSO25V8KLdIsR%2fA7ChA%2ff8PWkMSZ6l%2bneBEQZI%3d
1,11,4,11,14,11,Siege,11,13,Nemesis,17,/teams/events/match_report/?EventGameId=TJ4xooSO25V8KLdIsR%2fA7ChA%2ff8PWkMSZ6l%2bneBEQZI%3d
0,15,7,15,13,16,Pop,15,11,Siege,16,/teams/events/match_report/?EventGameId=ZhqfHXMJoh2S%2bCFkDy8WbfMbRaRXkFFzDJhrckCtJWo%3d
1,13,6,13,15,11,Siege,13,16,Pop,17,/teams/events/match_report/?EventGameId=ZhqfHXMJoh2S%2bCFkDy8WbfMbRaRXkFFzDJhrckCtJWo%3d
0,8,7,8,15,5,Brute Squad,8,7,Phoenix,22,/teams/events/match_report/?EventGameId=f%2fsP%2bn6nEeHy%2bCarDL4dGrqkWgga27mkdLOFuRIhio8%3d
1,15,11,15,8,7,Phoenix,15,5,Brute Squad,15,/teams/events/match_report/?EventGameId=f%2fsP%2bn6nEeHy%2bCarDL4dGrqkWgga27mkdLOFuRIhio8%3d
0,13,11,13,14,5,Brute Squad,13,1,Fury,27,/teams/events/match_report/?EventGameId=KzMG299ryEOTvTER480yUO0D8UnhmBIpYeTWlqe83f4%3d
1,14,6,14,13,1,Fury,14,5,Brute Squad,27,/teams/events/match_report/?EventGameId=KzMG299ryEOTvTER480yUO0D8UnhmBIpYeTWlqe83f4%3d
0,15,8,15,7,15,Iris,15,3,Seattle Riot,17,/teams/events/match_report/?EventGameId=x2dYhHoePMg2qyAYSfnTQ5fN3hGPsuUrp7173Ath7ho%3d
1,7,4,7,15,3,Seattle Riot,7,15,Iris,25,/teams/events/match_report/?EventGameId=x2dYhHoePMg2qyAYSfnTQ5fN3hGPsuUrp7173Ath7ho%3d
0,15,5,15,11,6,Scandal,15,3,Seattle Riot,10,/teams/events/match_report/?EventGameId=llGun6XoE%2faq%2fVrREgc2RlbCvrCbN3azr1%2bJWbpk%2b0I%3d
1,11,6,11,15,3,Seattle Riot,11,6,Scandal,13,/teams/events/match_report/?EventGameId=llGun6XoE%2faq%2fVrREgc2RlbCvrCbN3azr1%2bJWbpk%2b0I%3d
0,15,8,15,11,9,Schwa,15,4,6ixers,10,/teams/events/match_report/?EventGameId=KIrCKVOtsx46qr8IuR%2fv9989DFv71ZaQPoEOd4J6NYc%3d
1,11,4,11,15,4,6ixers,11,9,Schwa,14,/teams/events/match_report/?EventGameId=KIrCKVOtsx46qr8IuR%2fv9989DFv71ZaQPoEOd4J6NYc%3d
0,15,12,15,8,8,Traffic,15,1,Fury,18,/teams/events/match_report/?EventGameId=%2fDv59MWa5124dbzi8JAhvdPtIUE%2b01wUc%2bbYM2E%2fcDU%3d
1,8,8,8,15,1,Fury,8,8,Traffic,23,/teams/events/match_report/?EventGameId=%2fDv59MWa5124dbzi8JAhvdPtIUE%2b01wUc%2bbYM2E%2fcDU%3d
0,14,9,14,12,10,Nightlock,14,2,Molly Brown,25,/teams/events/match_report/?EventGameId=9B194X1%2bl76LTWSymqmc0t1yNdovKAim0NzWYhW3O0k%3d
1,11,8,11,14,2,Molly Brown,12,10,Nightlock,27,/teams/events/match_report/?EventGameId=9B194X1%2bl76LTWSymqmc0t1yNdovKAim0NzWYhW3O0k%3d
0,14,10,14,15,8,Traffic,14,12,Ozone,16,/teams/events/match_report/?EventGameId=Q7idfIK%2fXNtkaht9xmd3SQpS7XIss66c4OpOI%2bkL5gQ%3d
1,15,8,15,14,12,Ozone,15,8,Traffic,15,/teams/events/match_report/?EventGameId=Q7idfIK%2fXNtkaht9xmd3SQpS7XIss66c4OpOI%2bkL5gQ%3d
0,10,6,10,15,3,Seattle Riot,10,7,Phoenix,14,/teams/events/match_report/?EventGameId=QNk7DfTWZ1FnfOXZqBdZTVQVvgbLcrGU5NOG6sTO3Mo%3d
1,15,9,15,10,7,Phoenix,15,3,Seattle Riot,10,/teams/events/match_report/?EventGameId=QNk7DfTWZ1FnfOXZqBdZTVQVvgbLcrGU5NOG6sTO3Mo%3d
0,12,12,12,9,10,Nightlock,12,6,Scandal,20,/teams/events/match_report/?EventGameId=MgYQw1uhIiEovoFaF7qOdMkRPUr46gj%2bs4wQ%2foQMV0M%3d
1,8,8,9,12,6,Scandal,9,10,Nightlock,24,/teams/events/match_report/?EventGameId=MgYQw1uhIiEovoFaF7qOdMkRPUr46gj%2bs4wQ%2foQMV0M%3d
0,14,10,14,11,16,Pop,15,6,Scandal,15,/teams/events/match_report/?EventGameId=UItVNE2fLGqzo5g58JqmZHdfpwGDIQtTcZ2Nm0%2fH4RU%3d
1,11,5,10,15,6,Scandal,11,16,Pop,22,/teams/events/match_report/?EventGameId=UItVNE2fLGqzo5g58JqmZHdfpwGDIQtTcZ2Nm0%2fH4RU%3d
