,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,1,Magon Liu,,"5'4""",2.0,2.0,2.0,,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,MAGON LIU
1,2,Marisa Mead,,,,2.0,,1.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,MARISA MEAD
2,3,Sharon Lin,,"5'1""",3.0,,3.0,2.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,SHARON LIN
3,5,Kaela Helton,,,5.0,2.0,2.0,1.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,KAELA HELTON
4,6,Sarah Griffith,Dump,"5'5""",5.0,,,1.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,SARAH GRIFFITH
5,7,Octavia Payne,,,3.0,1.0,3.0,9.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,OCTAVIA PAYNE
6,8,Nancy Sun,,,1.0,6.0,,8.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,NANCY SUN
7,9,Marika Austin,,,4.0,1.0,4.0,2.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,MARIKA AUSTIN
8,11,Carolyn Finney,,"1'0""",1.0,12.0,4.0,12.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,CAROLYN FINNEY
9,12,Diana Charrier,,,4.0,,3.0,1.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,DIANA CHARRIER
10,13,Cree Howard,,,6.0,5.0,5.0,2.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,CREE HOWARD
11,14,Yelena Gorlin,,,5.0,1.0,1.0,1.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,YELENA GORLIN
12,15,Julia Butterfield,Cutter,"5'10""",2.0,1.0,3.0,1.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,JULIA BUTTERFIELD
13,19,Amel Awadelkarim,Handler/Cutter,"5'5""",1.0,,,,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,AMEL AWADELKARIM
14,20,Bree Cahn,,,3.0,1.0,4.0,1.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,BREE CAHN
15,21,Meeri Chang,,"5'3""",2.0,5.0,1.0,8.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,MEERI CHANG
16,29,Kirstin Johnson,,"5'4""",2.0,3.0,,8.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,KIRSTIN JOHNSON
17,33,Anna Nazarov,,,3.0,6.0,5.0,7.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,ANNA NAZAROV
18,38,Claire McKeever,Cutter,"5'3""",3.0,,1.0,1.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,CLAIRE MCKEEVER
19,39,Anna Reed,,,3.0,2.0,1.0,3.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,ANNA REED
20,44,Maggie Ruden,,,1.0,6.0,1.0,,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,MAGGIE RUDEN
21,47,Bethany Kaylor,,"1'0""",5.0,7.0,,6.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,BETHANY KAYLOR
22,51,Claire Desmond,,,4.0,3.0,,1.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,CLAIRE DESMOND
23,66,Lakshmi Narayan,,,3.0,3.0,1.0,1.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,LAKSHMI NARAYAN
24,91,Jessica O'Connor,,,,4.0,1.0,7.0,/events/teams/?EventTeamId=3gX8zDFmtTeuYGgCdN1a3%2bBhb4N3atpHTqqn%2fGdB%2bIM%3d,Fury,1,JESSICA O'CONNOR
0,0,Terri Whitehead,,,8.0,8.0,4.0,4.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,TERRI WHITEHEAD
1,1,Jessie Tai,,"6'9""",2.0,,,5.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,JESSIE TAI
2,2,Laurel Jay,,,3.0,1.0,3.0,3.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,LAUREL JAY
3,3,Kailin Chang,,"1'0""",,,1.0,3.0,/events/teams/?EventTeamId=AdFrINVrDr6cVNtKD3of038ZQxHsAwwdJLBwdXTkhus%3d,Traffic,8,KAILIN CHANG
