,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
1,1,0,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
2,1,1,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
3,2,1,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
4,2,2,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
5,3,2,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
6,4,2,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
7,4,3,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
8,5,3,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
9,5,4,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
10,5,5,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
11,6,5,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
12,6,6,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
13,7,6,/teams/events/match_report/?EventGameId=E08Zvhrvlo%2b0Y54sqPZpt7Rimn%2bZuHiPY4yCBkO4%2fBs%3d,Nightlock,Iris,10,15,15,10
