,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,0,Bill Everhart,BILL EVERHART,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
1,0,Andrew Roy,ANDREW ROY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
2,0,Grayson Pangburn,GRAYSON PANGBURN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
3,0,Josh Kautz,JOSH KAUTZ,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
4,0,Kevin Brown,KEVIN BROWN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
5,0,Logan Pruess,LOGAN PRUESS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
6,0,Marco Dregni,MARCO DREGNI,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
7,0,Saurav Dubey,SAURAV DUBEY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
8,0,Trevor Graham,TREVOR GRAHAM,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
9,0,Wystan Duhn,WYSTAN DUHN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
10,1,Ryan Osgar,RYAN OSGAR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
11,3,Colin Berry,COLIN BERRY,1,1,3,3,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
12,4,Gregory Cousins,GREGORY COUSINS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
13,5,Charles McCutcheon,CHARLES MCCUTCHEON,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
14,8,Charles Weinberg,CHARLES WEINBERG,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
15,10,Anthony Poletto,ANTHONY POLETTO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
16,15,Kristian Johnson,KRISTIAN JOHNSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
17,16,Ethan Rasmussen,ETHAN RASMUSSEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
18,20,Thomas Echols,THOMAS ECHOLS,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
19,21,Codi Wood,CODI WOOD,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
20,26,Jordan Taylor,JORDAN TAYLOR,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
21,29,Josh Klane,JOSH KLANE,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
22,66,Jason Tschida,JASON TSCHIDA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
23,71,Nicholas Simonelli,NICHOLAS SIMONELLI,3,3,2,2,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
24,99,Tristan Van De Moortele,TRISTAN VAN DE MOORTELE,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,Sub Zero,6,12,GOAT,10,13
0,-1,Andrew Carroll,ANDREW CARROLL,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
1,-1,Kieran Charnock,KIERAN CHARNOCK,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
2,-1,Luc Comire,LUC COMIRE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
3,-1,Jason Lam,JASON LAM,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
4,-1,Paul Mensah,PAUL MENSAH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
5,-1,Jaret Meron,JARET MERON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
6,-1,Akifumi Muraoka,AKIFUMI MURAOKA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
7,0,Jonathan (JJ) Edwards,JONATHAN (JJ) EDWARDS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
8,0,Jacky Hau,JACKY HAU,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
9,0,Nathan Hirst,NATHAN HIRST,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
10,0,Iain MacKenzie,IAIN MACKENZIE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
11,0,Jeremy Norden,JEREMY NORDEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
12,0,Ben Pries,BEN PRIES,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
13,17,Isaiah Masek-Kelly,ISAIAH MASEK-KELLY,1,1,4,4,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
14,18,Toly Vasilyev,TOLY VASILYEV,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
15,19,Thomson McKnight,THOMSON MCKNIGHT,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
16,21,Geoffrey Powell,GEOFFREY POWELL,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
17,34,Philip Turner,PHILIP TURNER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
18,80,Kevin Quinlan,KEVIN QUINLAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
19,86,Dan LaFrance,DAN LAFRANCE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
20,89,Mark Lloyd,MARK LLOYD,3,3,2,2,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
21,91,Cameron Harris,CAMERON HARRIS,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=eHxHNNuaTQOlfdTqKIitW2Z0UNHjjuHAIkQ7iEw9sqY%3d,GOAT,10,13,Sub Zero,6,12
0,1,Max Cassell,MAX CASSELL,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,4,13,Inception,16,2
1,4,Delrico Johnson,DELRICO JOHNSON,1,1,3,3,0,0,0,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,4,13,Inception,16,2
2,5,David Cranston,DAVID CRANSTON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,4,13,Inception,16,2
3,8,Jeremy Hess,JEREMY HESS,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,4,13,Inception,16,2
4,10,Tyler Monroe,TYLER MONROE,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,4,13,Inception,16,2
5,14,Lloyd Blake,LLOYD BLAKE,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=xwN8BEa9TTfp2WZ0m2TUz4rGDe%2fepJKNbC9GvdCru6k%3d,Truck Stop,4,13,Inception,16,2
