,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,,Clark Cofer,Handler,"6'0""",,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,CLARK COFER
1,,Harper Garvey,Deep,"5'10""",,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,HARPER GARVEY
2,,Samuel Little,,,,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,SAMUEL LITTLE
3,,Sean Keegan,,"5'11""",,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,SEAN KEEGAN
4,0.0,Jack Hatchett,Dump,"6'0""",,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,JACK HATCHETT
5,0.0,Jibran Mieser,Deep,"5'10""",,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,JIBRAN MIESER
6,0.0,Jimmy Mickle,,"6'3""",,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,JIMMY MICKLE
7,0.0,Joshua Stevens-Stein,Dump,"5'9""",,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,JOSHUA STEVENS-STEIN
8,0.0,Josue Alorro,Dump,"5'9""",,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,JOSUE ALORRO
9,0.0,Esteban Zuluaga Gonzalez,Cutter,"5'6""",,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,ESTEBAN ZULUAGA GONZALEZ
10,0.0,Alberto Alarcon,,,,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,ALBERTO ALARCON
11,0.0,Alex Thorne,,,,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,ALEX THORNE
12,0.0,Benjamin Katz,,,,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,BENJAMIN KATZ
13,0.0,Chris Kocher,,,,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,CHRIS KOCHER
14,12.0,Matthew Lemar,,,,4.0,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,MATTHEW LEMAR
15,13.0,Evan Padget,,,1.0,,1.0,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,EVAN PADGET
16,16.0,Michael Drost,,,,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,MICHAEL DROST
17,18.0,Tyler Haskell,,,,2.0,1.0,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,TYLER HASKELL
18,19.0,Isaac Saul,Handler,,2.0,2.0,1.0,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,ISAAC SAUL
19,60.0,William Dean,,,,,,,/events/teams/?EventTeamId=FbX%2bOYj2gGlrGxJtRVkBk26mYalQ85CCJ%2fxJx8DEB8E%3d,PoNY,1,WILLIAM DEAN
