,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,1,Kieran Kelly,KIERAN KELLY,2,2,3,3,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
1,3,Cam Bailey,CAM BAILEY,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
2,4,Kat Songer,KAT SONGER,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
3,6,Bryson Simon Fox,BRYSON SIMON FOX,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
4,7,Henry Phan,HENRY PHAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
5,9,Jennifer Cogburn,JENNIFER COGBURN,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
6,10,Lexi Garrity,LEXI GARRITY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
7,11,Michael Brisbois,MICHAEL BRISBOIS,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
8,14,Reed Hendrickson,REED HENDRICKSON,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
9,15,Hazel Ostrowski,HAZEL OSTROWSKI,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
10,16,Zach Sabin,ZACH SABIN,0,0,0,0,2,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
11,17,Ellen Goldberg,ELLEN GOLDBERG,2,2,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
12,18,"Emily ""Bazinga"" Cai","EMILY ""BAZINGA"" CAI",0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
13,19,Alexa Romersa,ALEXA ROMERSA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
14,20,Adam Simon,ADAM SIMON,0,0,4,4,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
15,21,Jesse Bolton,JESSE BOLTON,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
16,23,Nicola Bruce,NICOLA BRUCE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
17,24,Zhi Chen,ZHI CHEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
18,32,Emily Smith-Wilson,EMILY SMITH-WILSON,3,3,1,1,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
19,33,Sophia Palmer,SOPHIA PALMER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
20,71,Arianne Lozano,ARIANNE LOZANO,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
21,99,Khalif El-Salaam,KHALIF EL-SALAAM,0,0,3,3,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,1,13,Love Tractor,13,11
0,-1,James Cantwell,JAMES CANTWELL,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
1,-1,Jack (John) McShane,JACK (JOHN) MCSHANE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
2,-1,David Protter,DAVID PROTTER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
3,0,Maggie Chen,MAGGIE CHEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
4,0,Hilary Egan,HILARY EGAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
5,0,Robin Fassett-Carman,ROBIN FASSETT-CARMAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
6,0,Frances Gellert,FRANCES GELLERT,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
7,0,Matt Gleason,MATT GLEASON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
8,0,Peter Gleason,PETER GLEASON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
9,0,Austin Gregersen,AUSTIN GREGERSEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
10,0,Eric Hubbard,ERIC HUBBARD,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
11,0,Heather Kraft,HEATHER KRAFT,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
12,0,Michael Lun,MICHAEL LUN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
13,0,Christina Mickle,CHRISTINA MICKLE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
14,0,Zachary Nager,ZACHARY NAGER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
15,0,Andrew Priester,ANDREW PRIESTER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
16,0,Jesse Roehm,JESSE ROEHM,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
17,0,Steve Schwab,STEVE SCHWAB,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
18,0,Maria Schwab,MARIA SCHWAB,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
19,0,Dena Slattery,DENA SLATTERY,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
20,0,Hilary Walker,HILARY WALKER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
21,0,Heather Waugh,HEATHER WAUGH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
22,19,Garrett Moulder,GARRETT MOULDER,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
23,33,David Kamin,DAVID KAMIN,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
24,35,Kate Pearson,KATE PEARSON,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
25,88,Kirsten Fahlbusch,KIRSTEN FAHLBUSCH,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Love Tractor,13,11,Seattle Mixtape,1,13
0,4,Deanna Bjorkquist,DEANNA BJORKQUIST,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
1,7,Rachel Holz,RACHEL HOLZ,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
2,8,Donnya Ajdari,DONNYA AJDARI,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
3,9,Adam Farren,ADAM FARREN,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
4,10,Malina Wiebe,MALINA WIEBE,3,3,2,2,0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
5,11,Corey Lee,COREY LEE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
6,13,Sally Mimms,SALLY MIMMS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
7,15,Max Udsen,MAX UDSEN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
8,16,Vincenzo Vitiello,VINCENZO VITIELLO,1,1,0,0,0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
9,17,John Kolb,JOHN KOLB,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
10,19,Ryo Kawaoka,RYO KAWAOKA,0,0,0,0,1,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
11,20,Sam Swink,SAM SWINK,0,0,1,1,0,1,1,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,2,13,XIST,7,6
