,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,1.0,Kieran Kelly,Cutter,"6'2""",8.0,3.0,,,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,KIERAN KELLY
1,3.0,Cam Bailey,Deep,,3.0,4.0,1.0,1.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,CAM BAILEY
2,4.0,Kat Songer,,,,2.0,,1.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,KAT SONGER
3,6.0,Bryson Simon Fox,,,4.0,2.0,,,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,BRYSON SIMON FOX
4,7.0,Henry Phan,Defense (Handler),,,2.0,,1.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,HENRY PHAN
5,9.0,Jennifer Cogburn,Deep,,4.0,,,,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,JENNIFER COGBURN
6,10.0,Lexi Garrity,Defense (Cutter),"5'6""",1.0,1.0,1.0,1.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,LEXI GARRITY
7,11.0,Michael Brisbois,,,4.0,1.0,3.0,1.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,MICHAEL BRISBOIS
8,14.0,Reed Hendrickson,Dump,,3.0,,5.0,,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,REED HENDRICKSON
9,15.0,Hazel Ostrowski,,,1.0,,,,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,HAZEL OSTROWSKI
10,16.0,Zach Sabin,,,6.0,1.0,3.0,2.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,ZACH SABIN
11,17.0,Ellen Goldberg,,"5'10""",3.0,,,,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,ELLEN GOLDBERG
12,18.0,"Emily ""Bazinga"" Cai",,"1'8""",,1.0,,,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,"EMILY ""BAZINGA"" CAI"
13,19.0,Alexa Romersa,,,1.0,,,1.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,ALEXA ROMERSA
14,20.0,Adam Simon,,,,16.0,,1.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,ADAM SIMON
15,21.0,Jesse Bolton,,,,2.0,2.0,1.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,JESSE BOLTON
16,23.0,Nicola Bruce,Deep,"5'1""",,,,,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,NICOLA BRUCE
17,24.0,Zhi Chen,Defense (Handler),"1'0""",,3.0,,2.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,ZHI CHEN
18,32.0,Emily Smith-Wilson,Mid,,5.0,3.0,,1.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,EMILY SMITH-WILSON
19,33.0,Sophia Palmer,,,2.0,,,,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,SOPHIA PALMER
20,71.0,Arianne Lozano,Defense (Cutter),"5'5""",,2.0,1.0,1.0,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,ARIANNE LOZANO
21,99.0,Khalif El-Salaam,Defense (Cutter),,3.0,5.0,1.0,,/events/teams/?EventTeamId=wBv410vE3rYzx9Cdr%2b1NvTT8zbxUV60M5%2bYjP3Ns0pI%3d,Seattle Mixtape,1,KHALIF EL-SALAAM
0,,David Protter,,"5'9""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,DAVID PROTTER
1,,Jack (John) McShane,,,,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,JACK (JOHN) MCSHANE
2,,James Cantwell,,"1'0""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,JAMES CANTWELL
3,0.0,Jesse Roehm,,,,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,JESSE ROEHM
4,0.0,Heather Kraft,,,,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,HEATHER KRAFT
5,0.0,Heather Waugh,Cutter,"5'3""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,HEATHER WAUGH
6,0.0,Hilary Walker,,,,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,HILARY WALKER
7,0.0,Hilary Egan,,"5'2""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,HILARY EGAN
8,0.0,Andrew Priester,,"5'9""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,ANDREW PRIESTER
9,0.0,Austin Gregersen,,,,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,AUSTIN GREGERSEN
10,0.0,Christina Mickle,Handler,"5'8""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,CHRISTINA MICKLE
11,0.0,Dena Slattery,,,,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,DENA SLATTERY
12,0.0,Eric Hubbard,,"5'11""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,ERIC HUBBARD
13,0.0,Frances Gellert,,"5'8""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,FRANCES GELLERT
14,0.0,Maggie Chen,,"5'6""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,MAGGIE CHEN
15,0.0,Maria Schwab,,,,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,MARIA SCHWAB
16,0.0,Matt Gleason,,,,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,MATT GLEASON
17,0.0,Michael Lun,,,,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,MICHAEL LUN
18,0.0,Peter Gleason,,"1'0""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,PETER GLEASON
19,0.0,Robin Fassett-Carman,,,,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,ROBIN FASSETT-CARMAN
20,0.0,Steve Schwab,Defense (Cutter),"6'0""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,STEVE SCHWAB
21,0.0,Zachary Nager,Mid,"6'0""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,ZACHARY NAGER
22,19.0,Garrett Moulder,,,4.0,2.0,1.0,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,GARRETT MOULDER
23,33.0,David Kamin,,,2.0,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,DAVID KAMIN
24,35.0,Kate Pearson,,,1.0,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,KATE PEARSON
25,88.0,Kirsten Fahlbusch,,"5'6""",,,,,/events/teams/?EventTeamId=AtfTBwXtM85DTjxquND72l6k0Ft9Tjm5%2ftWjNSI7xYc%3d,Love Tractor,13,KIRSTEN FAHLBUSCH
0,0.0,Aaron Hom,Handler,"5'6""",,,,1.0,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,AARON HOM
1,1.0,Alexander Max,,,,,,,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,ALEXANDER MAX
2,2.0,Molly Munson,,,1.0,3.0,,1.0,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,MOLLY MUNSON
3,3.0,Amanda Meroux,,,,,,,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,AMANDA MEROUX
4,4.0,Gabriel Edwards,,,,2.0,1.0,1.0,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,GABRIEL EDWARDS
5,5.0,Aaron Shi,,,2.0,,1.0,2.0,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,AARON SHI
6,7.0,Charles Cao,Handler,"6'0""",,,,,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,CHARLES CAO
7,9.0,Ellen Jacobus,,,,,,,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,ELLEN JACOBUS
8,10.0,Steven Chang,Handler/Cutter,"6'0""",,,,,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,STEVEN CHANG
9,11.0,Carolyn Drewry,Handler,"5'5""",1.0,,,,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,CAROLYN DREWRY
10,12.0,Ziyue Chen,,,1.0,1.0,,1.0,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,ZIYUE CHEN
11,13.0,Robert Yeagle,,"6'2""",,,,,/events/teams/?EventTeamId=H1qQ2ZIqUyYSdBIfDM8ZodPOLDBDlccQ87qCOws0SY8%3d,Polar Bears,12,ROBERT YEAGLE
