,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
1,1,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
2,2,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
3,3,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
4,4,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
5,5,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
6,6,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
7,7,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
8,8,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
9,9,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
10,10,0,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
11,10,1,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
12,11,1,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
13,12,1,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
14,13,1,/teams/events/match_report/?EventGameId=CvC%2fjky1KIbZc7qrlPl4Tj7yBP%2bhxvyZXDtNK5S8Arg%3d,Seattle Mixtape,Love Tractor,1,13,13,11
0,0,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
1,1,0,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
2,1,1,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
3,2,1,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
4,3,1,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
5,4,1,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
6,4,2,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
7,5,2,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
8,6,2,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
9,6,3,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
10,7,3,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
11,8,3,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
12,8,4,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
13,9,4,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
14,9,5,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
15,10,5,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
16,10,6,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
17,11,6,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
18,12,6,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
19,13,6,/teams/events/match_report/?EventGameId=aIdOm5pfC3NBEnvwprYpjtdMJKjiPg1yBrjznRDaU%2bo%3d,Blackbird,XIST,2,7,13,6
0,0,0,/teams/events/match_report/?EventGameId=j78Vlvw6ygyQaJ4QjV9%2f8YCSmiufY1NqsI%2fAFwOeYUo%3d,Seattle Mixtape,Love Tractor,1,13,13,9
0,0,0,/teams/events/match_report/?EventGameId=4Db3YKm%2f20ad1yFcYCc%2fPS3TIF%2buoXUNxJsK4ni9akU%3d,Columbus Cocktails,Blackbird,11,2,13,12
0,0,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d,Seattle Mixtape,Jughandle,1,8,12,9
1,1,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d,Seattle Mixtape,Jughandle,1,8,12,9
2,2,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d,Seattle Mixtape,Jughandle,1,8,12,9
3,3,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d,Seattle Mixtape,Jughandle,1,8,12,9
4,4,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d,Seattle Mixtape,Jughandle,1,8,12,9
5,5,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d,Seattle Mixtape,Jughandle,1,8,12,9
6,6,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d,Seattle Mixtape,Jughandle,1,8,12,9
7,7,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d,Seattle Mixtape,Jughandle,1,8,12,9
8,8,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d,Seattle Mixtape,Jughandle,1,8,12,9
9,9,0,/teams/events/match_report/?EventGameId=ACFwUV387lSCWgD18d%2fWoyZLS1dw7SyR897uPwWv19Y%3d,Seattle Mixtape,Jughandle,1,8,12,9
