,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,13,2,12,8,15,Wicked,13,10,Rival,2,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d
1,3,1,2,13,10,Rival,8,15,Wicked,1,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d
0,5,0,5,8,10,Rival,13,3,6ixers,0,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d
1,4,0,4,13,3,6ixers,8,10,Rival,0,/teams/events/match_report/?EventGameId=iTBfPLOYmZvxj3TGNtFzwK0mZovY0%2bZpX1RjTzY8Vfs%3d
0,6,0,7,9,9,Pop,13,4,Nightlock,0,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d
1,8,0,9,13,4,Nightlock,9,9,Pop,0,/teams/events/match_report/?EventGameId=StpcCUixM7%2b6qQdUWXUkkAz8e9IWm7lTQUx3GMO42lU%3d
0,6,0,9,13,10,Rival,10,6,Ozone,7,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d
1,11,1,13,10,6,Ozone,13,10,Rival,7,/teams/events/match_report/?EventGameId=r1KaXjGKV4OjgNxIxkoZYY3YzTIL%2f9eSgjs8G%2fSrWMQ%3d
0,8,3,11,8,16,Colorado Small Batch,13,5,Schwa,2,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d
1,1,1,1,13,5,Schwa,8,16,Colorado Small Batch,0,/teams/events/match_report/?EventGameId=iA5zqByCtVP7MZyT7LQxRVe9KEvO1cKJ3tQGPemwajQ%3d
0,0,0,0,6,14,Grit,13,10,Rival,0,/teams/events/match_report/?EventGameId=AA0QJSAVjcfY%2bG45Gn8unsuCrQ0rRP3qxDzrM740ziQ%3d
1,0,0,0,13,10,Rival,6,14,Grit,0,/teams/events/match_report/?EventGameId=AA0QJSAVjcfY%2bG45Gn8unsuCrQ0rRP3qxDzrM740ziQ%3d
0,8,3,11,12,4,Nightlock,11,6,Ozone,6,/teams/events/match_report/?EventGameId=M6JgDeDpqO3anVnZFQ34OQFkUq894CzwBlbbUgfGlHM%3d
