,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,,Bert Abbott,Defense (Handler),"5'6""",,,,,/events/teams/?EventTeamId=2ZZeX7ZuNBOAZsSG48szu4U5dVkAAzZOH28y1JsWfs4%3d,Molly Brown,1,BERT ABBOTT
1,,Chip Chang,,"1'0""",,,,,/events/teams/?EventTeamId=2ZZeX7ZuNBOAZsSG48szu4U5dVkAAzZOH28y1JsWfs4%3d,Molly Brown,1,CHIP CHANG
2,,Emma Capra,,"5'6""",,,,,/events/teams/?EventTeamId=2ZZeX7ZuNBOAZsSG48szu4U5dVkAAzZOH28y1JsWfs4%3d,Molly Brown,1,EMMA CAPRA
3,,Megan Henderson,,,,,,,/events/teams/?EventTeamId=2ZZeX7ZuNBOAZsSG48szu4U5dVkAAzZOH28y1JsWfs4%3d,Molly Brown,1,MEGAN HENDERSON
4,,Rachel Wilmoth,,,,,,,/events/teams/?EventTeamId=2ZZeX7ZuNBOAZsSG48szu4U5dVkAAzZOH28y1JsWfs4%3d,Molly Brown,1,RACHEL WILMOTH
5,0.0,Melissa Devlin,,,,,,,/events/teams/?EventTeamId=2ZZeX7ZuNBOAZsSG48szu4U5dVkAAzZOH28y1JsWfs4%3d,Molly Brown,1,MELISSA DEVLIN
6,0.0,Stephanie Pritchard,,"5'8""",,,,,/events/teams/?EventTeamId=2ZZeX7ZuNBOAZsSG48szu4U5dVkAAzZOH28y1JsWfs4%3d,Molly Brown,1,STEPHANIE PRITCHARD
7,0.0,Veronica Eder,Handler,"5'10""",,,,,/events/teams/?EventTeamId=2ZZeX7ZuNBOAZsSG48szu4U5dVkAAzZOH28y1JsWfs4%3d,Molly Brown,1,VERONICA EDER
8,2.0,Jesse Shofner,,,,,,,/events/teams/?EventTeamId=2ZZeX7ZuNBOAZsSG48szu4U5dVkAAzZOH28y1JsWfs4%3d,Molly Brown,1,JESSE SHOFNER
9,4.0,Liza Minor,,,,,,,/events/teams/?EventTeamId=2ZZeX7ZuNBOAZsSG48szu4U5dVkAAzZOH28y1JsWfs4%3d,Molly Brown,1,LIZA MINOR
