,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
1,1,0,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
2,1,1,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
3,2,1,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
4,3,1,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
5,3,2,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
6,4,2,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
7,5,2,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
8,5,3,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
9,5,4,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
10,6,4,/teams/events/match_report/?EventGameId=YkY57R2k8aX5DiOgGpnNNbiNmU%2bMKcidH6ZvKh6xxy4%3d,Rival,Wicked,10,15,13,8
