,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,,Clark Cofer,Handler,"6'0""",,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,CLARK COFER
1,,Harper Garvey,Deep,"5'10""",,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,HARPER GARVEY
2,0.0,Jack Hatchett,Dump,"6'0""",,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,JACK HATCHETT
3,0.0,Jeffrey Babbitt,,"6'2""",,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,JEFFREY BABBITT
4,0.0,Jibran Mieser,Deep,"5'10""",,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,JIBRAN MIESER
5,0.0,Jimmy Mickle,,"6'3""",,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,JIMMY MICKLE
6,0.0,Joshua Stevens-Stein,Dump,"5'9""",,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,JOSHUA STEVENS-STEIN
7,0.0,Chris Kocher,,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,CHRIS KOCHER
8,0.0,Alex Thorne,,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,ALEX THORNE
9,0.0,Beau Kittredge,,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,BEAU KITTREDGE
10,0.0,Benjamin Katz,,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,BENJAMIN KATZ
11,0.0,Benjamin Jagt,Deep,"6'4""",,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,BENJAMIN JAGT
12,0.0,Grant Lindsley,,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,GRANT LINDSLEY
13,2.0,Samuel Little,,,,2.0,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,SAMUEL LITTLE
14,4.0,Sean Keegan,,"5'11""",,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,SEAN KEEGAN
15,12.0,Matthew Lemar,,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,MATTHEW LEMAR
16,13.0,Evan Padget,,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,EVAN PADGET
17,15.0,Kevin Norton,,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,KEVIN NORTON
18,16.0,Michael Drost,,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,MICHAEL DROST
19,18.0,Tyler Haskell,,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,TYLER HASKELL
20,19.0,Isaac Saul,Handler,,,,,,/events/teams/?EventTeamId=LeB6wsQO3WDeDG3J5KbBQ7VCUs61w8ApsR7z9qogGng%3d,PoNY,3,ISAAC SAUL
