,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
1,1,0,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
2,2,0,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
3,3,0,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
4,4,0,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
5,5,0,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
6,5,1,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
7,6,1,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
8,7,1,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
9,7,2,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
10,8,2,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
11,8,3,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
12,9,3,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
13,10,3,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
14,11,3,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
15,11,4,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
16,12,4,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
17,13,4,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
18,13,5,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
19,13,6,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
20,14,6,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
21,14,7,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
22,15,7,/teams/events/match_report/?EventGameId=Qyse1%2f%2bRhQR4B4eMMCIFPYoql%2fnlvQrBAzmRK%2feIKHo%3d,Ring of Fire,Sub Zero,2,4,15,7
0,0,0,/teams/events/match_report/?EventGameId=bdsoeUHwf0sp%2f%2bh3HYpZwHRM6lODRfBQbUy1cNiJwP4%3d,Sub Zero,Ring of Fire,4,2,0,0
0,0,0,/teams/events/match_report/?EventGameId=lRdgOWnG%2biW0QU%2bqx3xRtUmW6CF2sXfrEQnO85%2b9cD8%3d,Doublewide,DiG,5,6,10,13
0,0,0,/teams/events/match_report/?EventGameId=CRwjJcHiGtzrWQqz6dwMZuQx0BoQt2Pp1A%2fgSPo%2bUvk%3d,Truck Stop,PoNY,1,3,9,15
0,0,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
1,1,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
2,2,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
3,3,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
4,4,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
5,5,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
6,6,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
7,7,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
8,8,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
9,9,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
10,10,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
11,11,0,/teams/events/match_report/?EventGameId=%2b7JQny2y1wPT0hHd70NX6YeZhD2OoEyDd0iH4IPz91w%3d,Pittsburgh Temper,Truck Stop,7,1,13,12
