,No.,Name,UpperName,Gs,Goals,As,Assists,Ds,Ts,Turns,url,Team,Seed,Score,Opp Team,Opp Seed,Opp Score
0,0,Andrew O'Connor,ANDREW O'CONNOR,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
1,0,Bethany Eldridge,BETHANY ELDRIDGE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
2,0,Jake Butrica,JAKE BUTRICA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
3,0,Jordan Rhyne,JORDAN RHYNE,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
4,0,Julia Mankoff,JULIA MANKOFF,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
5,0,Liz Hart,LIZ HART,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
6,0,Michael Campanella,MICHAEL CAMPANELLA,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
7,0,Paul Owens,PAUL OWENS,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
8,0,Stuart Hean,STUART HEAN,0,0,0,0,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
9,1,Robert Roos,ROBERT ROOS,2,2,1,1,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
10,4,Raha Mozaffari,RAHA MOZAFFARI,0,0,1,1,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
11,5,Michael Panna,MICHAEL PANNA,0,0,2,2,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
12,7,Steve Rosso,STEVE ROSSO,1,1,1,1,0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
13,8,Luke Ryan,LUKE RYAN,1,1,0,0,0,1,1,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,2,13,Snake Country,7,9
