,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,12,4,9,9,7,Snake Country,13,2,AMP,4,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d
1,0,0,0,13,2,AMP,9,7,Snake Country,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d
0,15,6,14,8,9,XIST,15,1,Drag'n Thrust,9,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d
1,8,2,8,15,1,Drag'n Thrust,8,9,XIST,15,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d
0,14,5,12,9,2,AMP,13,1,Drag'n Thrust,9,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d
1,7,4,6,13,1,Drag'n Thrust,9,2,AMP,4,/teams/events/match_report/?EventGameId=C9tPVKJ2%2btfpu%2fnmiRjy51oSwT20%2bVrsJn7Oi9zzQno%3d
0,0,0,0,15,7,Snake Country,11,3,Slow White,0,/teams/events/match_report/?EventGameId=O9M70G6oPBaZLUPk8nk2%2f%2fCZDYnl%2feAMTlMW%2fXzy5VI%3d
1,0,0,0,11,3,Slow White,15,7,Snake Country,0,/teams/events/match_report/?EventGameId=O9M70G6oPBaZLUPk8nk2%2f%2fCZDYnl%2feAMTlMW%2fXzy5VI%3d
0,0,0,0,12,8,Love Tractor,15,1,Drag'n Thrust,0,/teams/events/match_report/?EventGameId=VaIXeGl1Fl07qmIKScTCoDdIIkgcdjAn7WoHNGgK7uE%3d
1,0,0,0,15,1,Drag'n Thrust,12,8,Love Tractor,0,/teams/events/match_report/?EventGameId=VaIXeGl1Fl07qmIKScTCoDdIIkgcdjAn7WoHNGgK7uE%3d
0,0,0,0,9,9,XIST,12,3,Slow White,0,/teams/events/match_report/?EventGameId=2p4xpc3W9WbF9giY9oR%2fshnjOMBeI9wUK2Tg48q5p5I%3d
1,0,0,0,12,3,Slow White,9,9,XIST,0,/teams/events/match_report/?EventGameId=2p4xpc3W9WbF9giY9oR%2fshnjOMBeI9wUK2Tg48q5p5I%3d
0,0,0,0,9,9,XIST,13,10,Jughandle,0,/teams/events/match_report/?EventGameId=qHERqT2q6lxptBWIlnYaN0NaLvyazOzGPWuDCvrsCE8%3d
1,0,0,0,13,10,Jughandle,9,9,XIST,0,/teams/events/match_report/?EventGameId=qHERqT2q6lxptBWIlnYaN0NaLvyazOzGPWuDCvrsCE8%3d
0,0,0,0,14,9,XIST,13,6,Space Heater,0,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d
1,14,4,14,13,6,Space Heater,14,9,XIST,9,/teams/events/match_report/?EventGameId=RrqnRuEdaJRspDqd4ih0ELea9%2f3kv23N%2bC%2f7CbRz3xY%3d
0,0,0,0,11,8,Love Tractor,13,1,Drag'n Thrust,0,/teams/events/match_report/?EventGameId=UbGvStFihyRx9tw6G1cRfXCyn4cOWUxpUSXsJHtGz80%3d
1,0,0,0,13,1,Drag'n Thrust,11,8,Love Tractor,0,/teams/events/match_report/?EventGameId=UbGvStFihyRx9tw6G1cRfXCyn4cOWUxpUSXsJHtGz80%3d
0,0,0,0,10,8,Love Tractor,12,6,Space Heater,0,/teams/events/match_report/?EventGameId=I3bxP6weKPW4N8WtbeTzZ5uSrRVfGVUNK5mDaEbHTLU%3d
1,0,0,0,12,6,Space Heater,10,8,Love Tractor,0,/teams/events/match_report/?EventGameId=I3bxP6weKPW4N8WtbeTzZ5uSrRVfGVUNK5mDaEbHTLU%3d
0,13,0,13,9,6,Space Heater,13,1,Drag'n Thrust,0,/teams/events/match_report/?EventGameId=pCdHycf%2frXbpcV5Wl9vyAnIgXZy5tKQ1NZ7OZ%2fjoWr4%3d
1,0,0,0,13,1,Drag'n Thrust,9,6,Space Heater,0,/teams/events/match_report/?EventGameId=pCdHycf%2frXbpcV5Wl9vyAnIgXZy5tKQ1NZ7OZ%2fjoWr4%3d
0,7,1,6,11,7,Snake Country,8,5,Toro,2,/teams/events/match_report/?EventGameId=DnLsYFm%2fs3iqHXxzJ7CIAK4%2buNI3nBQiMdT0muPM914%3d
1,0,0,0,8,5,Toro,11,7,Snake Country,0,/teams/events/match_report/?EventGameId=DnLsYFm%2fs3iqHXxzJ7CIAK4%2buNI3nBQiMdT0muPM914%3d
0,0,0,0,14,3,Slow White,9,4,shame.,0,/teams/events/match_report/?EventGameId=OnGvB6cAQtZajfdMZ0G2tB4Z%2fNY0op3750aQ%2fhSRMds%3d
1,0,0,0,9,4,shame.,14,3,Slow White,0,/teams/events/match_report/?EventGameId=OnGvB6cAQtZajfdMZ0G2tB4Z%2fNY0op3750aQ%2fhSRMds%3d
0,0,0,0,15,6,Space Heater,7,10,Jughandle,0,/teams/events/match_report/?EventGameId=Mx63aKBQsj4TyL0hMBYFcW%2bxUtWXei0iuvb0RZaxbq8%3d
1,0,0,0,7,10,Jughandle,15,6,Space Heater,0,/teams/events/match_report/?EventGameId=Mx63aKBQsj4TyL0hMBYFcW%2bxUtWXei0iuvb0RZaxbq8%3d
0,0,0,0,9,10,Jughandle,11,7,Snake Country,0,/teams/events/match_report/?EventGameId=%2byS1g4E2m73XFRnxT98BF1FiT%2bnQ7f5BFWpr07Ju3B0%3d
1,0,0,0,11,7,Snake Country,9,10,Jughandle,0,/teams/events/match_report/?EventGameId=%2byS1g4E2m73XFRnxT98BF1FiT%2bnQ7f5BFWpr07Ju3B0%3d
0,0,0,0,12,7,Snake Country,14,2,AMP,0,/teams/events/match_report/?EventGameId=9%2b5aExaa%2b0a2y08M5eoIBkQWy2fxM%2f%2fYfxVC7Rb4tus%3d
1,0,0,0,14,2,AMP,12,7,Snake Country,0,/teams/events/match_report/?EventGameId=9%2b5aExaa%2b0a2y08M5eoIBkQWy2fxM%2f%2fYfxVC7Rb4tus%3d
0,7,0,8,15,5,Toro,9,9,XIST,0,/teams/events/match_report/?EventGameId=khmr5%2fiXz4HETBWc6VuITmxCa%2bxoBXVXU8RZtBJQWP8%3d
1,10,0,11,9,9,XIST,15,5,Toro,0,/teams/events/match_report/?EventGameId=khmr5%2fiXz4HETBWc6VuITmxCa%2bxoBXVXU8RZtBJQWP8%3d
0,0,0,0,10,5,Toro,15,4,shame.,0,/teams/events/match_report/?EventGameId=6Sjg%2fvoPJ02u3BbxCYl8fZL5Uz2fC3s0Y56oCoy1A%2fM%3d
1,0,0,0,15,4,shame.,10,5,Toro,0,/teams/events/match_report/?EventGameId=6Sjg%2fvoPJ02u3BbxCYl8fZL5Uz2fC3s0Y56oCoy1A%2fM%3d
0,0,0,0,10,5,Toro,14,6,Space Heater,0,/teams/events/match_report/?EventGameId=n5GDV%2b1oNxbdZ466aDiy6sI2IbXDfPxgsG%2fyjAatuxk%3d
1,0,0,0,14,6,Space Heater,10,5,Toro,0,/teams/events/match_report/?EventGameId=n5GDV%2b1oNxbdZ466aDiy6sI2IbXDfPxgsG%2fyjAatuxk%3d
0,0,0,0,5,10,Jughandle,13,2,AMP,0,/teams/events/match_report/?EventGameId=ZJrmwP%2fptvUQjb0jplw1I2fWC391RCr84%2f2EV5jOniI%3d
1,0,0,0,13,2,AMP,5,10,Jughandle,0,/teams/events/match_report/?EventGameId=ZJrmwP%2fptvUQjb0jplw1I2fWC391RCr84%2f2EV5jOniI%3d
0,8,4,7,13,5,Toro,11,2,AMP,9,/teams/events/match_report/?EventGameId=f%2by413QrSVUhxe6Xf3n1W%2fMMkCbc5u8gVfVJ2IBvVfs%3d
1,13,4,12,11,2,AMP,13,5,Toro,11,/teams/events/match_report/?EventGameId=f%2by413QrSVUhxe6Xf3n1W%2fMMkCbc5u8gVfVJ2IBvVfs%3d
0,11,7,10,10,3,Slow White,12,1,Drag'n Thrust,13,/teams/events/match_report/?EventGameId=iMWAdH%2bpPxy%2fsJtt3ojRKxMWTI63rOpDGprZ2JxxkXQ%3d
1,0,0,0,12,1,Drag'n Thrust,10,3,Slow White,0,/teams/events/match_report/?EventGameId=iMWAdH%2bpPxy%2fsJtt3ojRKxMWTI63rOpDGprZ2JxxkXQ%3d
0,0,0,0,10,8,Love Tractor,14,3,Slow White,0,/teams/events/match_report/?EventGameId=AOAzUWPW0HEPtUkvWpeb3Sl14WqAzxirBTuappBI584%3d
1,0,0,0,14,3,Slow White,10,8,Love Tractor,0,/teams/events/match_report/?EventGameId=AOAzUWPW0HEPtUkvWpeb3Sl14WqAzxirBTuappBI584%3d
0,10,12,8,8,4,shame.,14,2,AMP,19,/teams/events/match_report/?EventGameId=l%2bIGvMXGL4QZ7iqDElDYBvBrpp4bBZErzQ4Bna%2f4P5Y%3d
1,2,4,4,14,2,AMP,8,4,shame.,7,/teams/events/match_report/?EventGameId=l%2bIGvMXGL4QZ7iqDElDYBvBrpp4bBZErzQ4Bna%2f4P5Y%3d
0,0,0,0,15,8,Love Tractor,10,4,shame.,0,/teams/events/match_report/?EventGameId=00qgNw%2bvfTFxXg61U5VebC7iTaBM%2f3vyoFCaXRjaHzU%3d
1,0,0,0,10,4,shame.,15,8,Love Tractor,0,/teams/events/match_report/?EventGameId=00qgNw%2bvfTFxXg61U5VebC7iTaBM%2f3vyoFCaXRjaHzU%3d
0,0,0,0,9,7,Snake Country,11,4,shame.,0,/teams/events/match_report/?EventGameId=aLIFqdolApzRhNcYyQ74WU5xRsc4FHnz9MYcCzmmLm0%3d
1,0,0,0,11,4,shame.,9,7,Snake Country,0,/teams/events/match_report/?EventGameId=aLIFqdolApzRhNcYyQ74WU5xRsc4FHnz9MYcCzmmLm0%3d
0,0,0,0,9,10,Jughandle,15,4,shame.,0,/teams/events/match_report/?EventGameId=Tsj%2fUr2LDQn499D9PY6LUCxAKwQG2cPcPbGb11du8DQ%3d
1,0,0,0,15,4,shame.,9,10,Jughandle,0,/teams/events/match_report/?EventGameId=Tsj%2fUr2LDQn499D9PY6LUCxAKwQG2cPcPbGb11du8DQ%3d
0,0,0,0,10,9,XIST,14,8,Love Tractor,0,/teams/events/match_report/?EventGameId=7LnruAe4%2b2OmDGsKeeuL8OesV9Qu9otKTGDirh6bnUk%3d
1,9,6,9,14,8,Love Tractor,10,9,XIST,21,/teams/events/match_report/?EventGameId=7LnruAe4%2b2OmDGsKeeuL8OesV9Qu9otKTGDirh6bnUk%3d
0,0,0,0,10,6,Space Heater,14,3,Slow White,0,/teams/events/match_report/?EventGameId=tgmg%2by9laWAFL3gWn6Y1QGIL7GVsZl4zAoO9nxjtZrQ%3d
1,0,0,0,14,3,Slow White,10,6,Space Heater,0,/teams/events/match_report/?EventGameId=tgmg%2by9laWAFL3gWn6Y1QGIL7GVsZl4zAoO9nxjtZrQ%3d
0,12,9,11,13,10,Jughandle,12,5,Toro,17,/teams/events/match_report/?EventGameId=3OiF1yxd6JdMmWGnx%2baewlNQzr6JvhBzYGVWmDWgSAc%3d
1,0,0,0,12,5,Toro,13,10,Jughandle,0,/teams/events/match_report/?EventGameId=3OiF1yxd6JdMmWGnx%2baewlNQzr6JvhBzYGVWmDWgSAc%3d
