,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,2.0,Brett Sullivan,,,3.0,1.0,,1.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,BRETT SULLIVAN
1,3.0,Patrick Niles,,,1.0,1.0,,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,PATRICK NILES
2,4.0,Erica Baken,Handler,"5'7""",2.0,7.0,,2.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,ERICA BAKEN
3,6.0,Logan Weiss,Cutter,"6'0""",2.0,1.0,,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,LOGAN WEISS
4,7.0,Blake Trantina,,"1'0""",,,,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,BLAKE TRANTINA
5,8.0,Greta Regan,,,1.0,1.0,1.0,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,GRETA REGAN
6,9.0,Emily Regan,,,1.0,,,1.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,EMILY REGAN
7,10.0,Erin McCann,Cutter,"5'4""",1.0,,,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,ERIN MCCANN
8,12.0,Marty Adams,,,3.0,2.0,2.0,3.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,MARTY ADAMS
9,13.0,Jacob Lien,,"5'11""",1.0,2.0,1.0,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,JACOB LIEN
10,14.0,Austin Lien,,"5'8""",2.0,2.0,,2.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,AUSTIN LIEN
11,16.0,Brian Schoenrock,Defense (Cutter),"6'1""",4.0,3.0,2.0,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,BRIAN SCHOENROCK
12,18.0,Ellie Sjordal,Cutter,"5'4""",,3.0,1.0,2.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,ELLIE SJORDAL
13,18.0,Sam Berglund,Handler,"6'1""",,,,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,SAM BERGLUND
14,19.0,Tavis Leighton,,,3.0,7.0,2.0,3.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,TAVIS LEIGHTON
15,20.0,Neal Hanke,,,2.0,5.0,2.0,3.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,NEAL HANKE
16,22.0,Kathryn Ritzmann,,,1.0,,1.0,3.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,KATHRYN RITZMANN
17,24.0,Holly Denecour,Handler,,,,,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,HOLLY DENECOUR
18,26.0,Rebecca Ludford,Cutter,"5'6""",5.0,3.0,,2.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,REBECCA LUDFORD
19,30.0,Leo Sovell-Fernandez,Handler/Cutter,"5'10""",5.0,5.0,,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,LEO SOVELL-FERNANDEZ
20,31.0,Maggie Peck,Handler,"5'4""",2.0,,,1.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,MAGGIE PECK
21,33.0,Jaime Glader,,"5'1""",,,,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,JAIME GLADER
22,43.0,Bryan Vohnoutka,,,1.0,1.0,1.0,1.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,BRYAN VOHNOUTKA
23,44.0,Sarah Meckstroth,,"5'8""",3.0,1.0,2.0,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,SARAH MECKSTROTH
24,49.0,Caleb Denecour,Defense (Cutter),"5'9""",3.0,5.0,1.0,6.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,CALEB DENECOUR
25,59.0,Claire Thallon,Cutter,"5'8""",3.0,3.0,2.0,1.0,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,CLAIRE THALLON
26,77.0,Zach Trosvig,Cutter,,,,,,/events/teams/?EventTeamId=NLOk0s4VS1c2PtLDG%2fv5TLg0j3P6X7GaJq6OuWUb55M%3d,Drag'n Thrust,1,ZACH TROSVIG
0,0.0,Arielle Nelson,Handler,"5'8""",,,,,/events/teams/?EventTeamId=Fh%2bgdiVMneGP1cKGEkMwRn0OOyzba21ZxINGv7nw9p4%3d,Slow White,3,ARIELLE NELSON
