,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
1,1,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
2,2,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
3,3,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
4,4,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
5,5,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
6,6,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
7,7,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
8,8,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
9,9,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
10,10,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
11,11,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
12,12,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
13,13,0,/teams/events/match_report/?EventGameId=MxiluYq0dnvmpGllweLzmSohoEeoQthv1ZoE5CPCyyU%3d,AMP,Snake Country,2,7,13,9
0,0,0,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
1,1,0,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
2,2,0,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
3,2,1,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
4,3,1,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
5,3,2,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
6,3,3,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
7,4,3,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
8,5,3,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
9,5,4,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
10,6,4,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
11,6,5,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
12,7,5,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
13,7,6,/teams/events/match_report/?EventGameId=cYt8%2bTbIJG0kAJWm87MJaX1q6YAYECPfeuMsfvE%2b9bE%3d,Drag'n Thrust,XIST,1,9,15,8
