,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,0,0,0,4,5,6ixers,15,4,Fury,0,/teams/events/match_report/?EventGameId=QVlXCGqzK1wmu%2fp89Nl0iBLoVnrQWI6o5DS%2b1HaoLAI%3d
1,0,0,0,15,4,Fury,4,5,6ixers,0,/teams/events/match_report/?EventGameId=QVlXCGqzK1wmu%2fp89Nl0iBLoVnrQWI6o5DS%2b1HaoLAI%3d
0,9,1,9,13,7,Phoenix,9,8,Schwa,5,/teams/events/match_report/?EventGameId=vnZL3FP%2fZ6GVGeHQRloztJDOIdRXXV%2b07m6BzOsiVQI%3d
1,0,0,0,9,8,Schwa,13,7,Phoenix,0,/teams/events/match_report/?EventGameId=vnZL3FP%2fZ6GVGeHQRloztJDOIdRXXV%2b07m6BzOsiVQI%3d
0,0,0,0,12,1,Seattle Riot,14,4,Fury,0,/teams/events/match_report/?EventGameId=qqIQhTXzmGVn6y1GpkDt%2fjzVG7%2bwdsInq4TBVmGIVek%3d
1,0,0,0,14,4,Fury,12,1,Seattle Riot,0,/teams/events/match_report/?EventGameId=qqIQhTXzmGVn6y1GpkDt%2fjzVG7%2bwdsInq4TBVmGIVek%3d
0,0,0,0,8,8,Schwa,15,1,Seattle Riot,0,/teams/events/match_report/?EventGameId=W9hPg%2fawpxZxtXOOfnx6j8AHRZax8%2fNCbyRvtzXOHmM%3d
1,0,0,0,15,1,Seattle Riot,8,8,Schwa,0,/teams/events/match_report/?EventGameId=W9hPg%2fawpxZxtXOOfnx6j8AHRZax8%2fNCbyRvtzXOHmM%3d
0,0,0,0,11,9,Rival,14,8,Schwa,0,/teams/events/match_report/?EventGameId=0k3jo5quqgd4VOS4p5TE6zT1W9gNIYN7pC48g0ooCZA%3d
1,0,0,0,14,8,Schwa,11,9,Rival,0,/teams/events/match_report/?EventGameId=0k3jo5quqgd4VOS4p5TE6zT1W9gNIYN7pC48g0ooCZA%3d
0,6,1,5,13,2,Brute Squad,8,3,Scandal,0,/teams/events/match_report/?EventGameId=cq8WrIZNOHstjBd%2bhbVS3Tr9es7Vdx%2f6pWnzmaWL7z0%3d
1,7,0,8,8,3,Scandal,13,2,Brute Squad,0,/teams/events/match_report/?EventGameId=cq8WrIZNOHstjBd%2bhbVS3Tr9es7Vdx%2f6pWnzmaWL7z0%3d
0,15,0,14,11,8,Schwa,15,3,Scandal,0,/teams/events/match_report/?EventGameId=ylLs0wJiRqbYq9o0clOYVqzL7fvkeQNlxbwPR%2fMwjn4%3d
1,11,0,11,15,3,Scandal,11,8,Schwa,0,/teams/events/match_report/?EventGameId=ylLs0wJiRqbYq9o0clOYVqzL7fvkeQNlxbwPR%2fMwjn4%3d
0,5,6,7,12,4,Fury,11,2,Brute Squad,9,/teams/events/match_report/?EventGameId=XfOo4zpaWnHN4K6pZdj7i9UCYFq38sx5bSYwJV%2fR1GE%3d
1,11,5,11,11,2,Brute Squad,12,4,Fury,3,/teams/events/match_report/?EventGameId=XfOo4zpaWnHN4K6pZdj7i9UCYFq38sx5bSYwJV%2fR1GE%3d
0,0,0,0,10,10,Nightlock,15,5,6ixers,0,/teams/events/match_report/?EventGameId=BbgNDZkbqndzDcpJKJ4RuHnjhZn00%2flFMRUKr60P4X0%3d
1,1,0,1,15,5,6ixers,10,10,Nightlock,0,/teams/events/match_report/?EventGameId=BbgNDZkbqndzDcpJKJ4RuHnjhZn00%2flFMRUKr60P4X0%3d
0,0,0,0,11,9,Rival,14,3,Scandal,0,/teams/events/match_report/?EventGameId=8MfOOGGzONz3olbA9YDDWYY1HBYJofFx7ygN6ncT4Kw%3d
1,0,0,0,14,3,Scandal,11,9,Rival,0,/teams/events/match_report/?EventGameId=8MfOOGGzONz3olbA9YDDWYY1HBYJofFx7ygN6ncT4Kw%3d
0,3,4,5,7,9,Rival,11,1,Seattle Riot,8,/teams/events/match_report/?EventGameId=T1hBoJtGvWC%2fFSMSzHpbglyennLTFIg355c8zKRKCz8%3d
1,0,0,0,11,1,Seattle Riot,7,9,Rival,0,/teams/events/match_report/?EventGameId=T1hBoJtGvWC%2fFSMSzHpbglyennLTFIg355c8zKRKCz8%3d
0,0,0,0,13,10,Nightlock,9,7,Phoenix,0,/teams/events/match_report/?EventGameId=SnOFC0pvmCHjSK1PXOuIXBpQgOcrqEpp8QtQ3sMjh8s%3d
1,0,0,0,9,7,Phoenix,13,10,Nightlock,0,/teams/events/match_report/?EventGameId=SnOFC0pvmCHjSK1PXOuIXBpQgOcrqEpp8QtQ3sMjh8s%3d
0,0,0,0,6,7,Phoenix,15,4,Fury,0,/teams/events/match_report/?EventGameId=qPK7dsMawdvAmq%2fbz1Dzx8vCLExHV7aMH1IqGZf5M2A%3d
1,0,0,0,15,4,Fury,6,7,Phoenix,0,/teams/events/match_report/?EventGameId=qPK7dsMawdvAmq%2fbz1Dzx8vCLExHV7aMH1IqGZf5M2A%3d
