,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,,Bert Abbott,Defense (Handler),"5'6""",,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,BERT ABBOTT
1,,Chip Chang,,"1'0""",,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,CHIP CHANG
2,,Emma Capra,,"5'6""",,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,EMMA CAPRA
3,,Jesse Shofner,,,,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,JESSE SHOFNER
4,,Liza Minor,,,,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,LIZA MINOR
5,,Megan Henderson,,,,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,MEGAN HENDERSON
6,,Nhi Nguyen,,"5'5""",,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,NHI NGUYEN
7,,Paige Applegate,,"5'7""",,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,PAIGE APPLEGATE
8,,Rachel Wilmoth,,,,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,RACHEL WILMOTH
9,,Samantha Peletier,,,,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,SAMANTHA PELETIER
10,,Sophie Taylor,,,,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,SOPHIE TAYLOR
11,0.0,Stephanie Pritchard,,"5'8""",,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,STEPHANIE PRITCHARD
12,0.0,Veronica Eder,Handler,"5'10""",,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,VERONICA EDER
13,0.0,Melissa Devlin,,,,,,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,MELISSA DEVLIN
14,12.0,Liz Narmour,,"5'5""",1.0,,2.0,,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,LIZ NARMOUR
15,13.0,Alika Johnston,,"5'4""",,2.0,,2.0,/events/teams/?EventTeamId=%2fuWrqFTELMFKgirvYptERkhSpK5msOXFjtjpMv5rnzg%3d,Molly Brown,6,ALIKA JOHNSTON
