,As,Ds,Gs,Opp Score,Opp Seed,Opponent,Score,Seed,Team,Ts,url
0,14,5,14,13,8,Chicago Machine,14,1,Sockeye,7,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d
1,13,8,13,14,1,Sockeye,13,8,Chicago Machine,9,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d
0,10,2,10,14,5,Ring of Fire,10,4,PoNY,10,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d
1,14,6,14,10,4,PoNY,14,5,Ring of Fire,8,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d
0,16,4,16,14,6,Bunka Shutter Buzz Bullets,16,1,Sockeye,4,/teams/events/match_report/?EventGameId=z%2fyuqSHz7QuZKIXotlbJbr1T5OGfke6cXaF6TFOEeSc%3d
1,14,3,14,16,1,Sockeye,14,6,Bunka Shutter Buzz Bullets,5,/teams/events/match_report/?EventGameId=z%2fyuqSHz7QuZKIXotlbJbr1T5OGfke6cXaF6TFOEeSc%3d
0,15,7,15,12,9,Sub Zero,15,2,Truck Stop,12,/teams/events/match_report/?EventGameId=VH73oQCenrL1z7BV8wnjyIdxVvJWGjjTgFHMMNg7tEU%3d
1,12,4,12,15,2,Truck Stop,12,9,Sub Zero,15,/teams/events/match_report/?EventGameId=VH73oQCenrL1z7BV8wnjyIdxVvJWGjjTgFHMMNg7tEU%3d
0,15,3,15,13,11,MAKAWUA,15,10,Comunidad El Oso,2,/teams/events/match_report/?EventGameId=yrE38ycCpo%2fgZdfG8ILaZZVtnwMp80h4XWzVAoMAykg%3d
1,10,4,11,15,10,Comunidad El Oso,13,11,MAKAWUA,9,/teams/events/match_report/?EventGameId=yrE38ycCpo%2fgZdfG8ILaZZVtnwMp80h4XWzVAoMAykg%3d
0,15,1,14,12,4,PoNY,15,1,Sockeye,4,/teams/events/match_report/?EventGameId=MzGviodh%2fPurqFJbRax5LLZCRX%2fyQjQmBXO2UOwCod4%3d
1,12,1,12,15,1,Sockeye,12,4,PoNY,6,/teams/events/match_report/?EventGameId=MzGviodh%2fPurqFJbRax5LLZCRX%2fyQjQmBXO2UOwCod4%3d
0,15,8,14,11,9,Sub Zero,15,3,Revolver,8,/teams/events/match_report/?EventGameId=CnttfRZOx9v%2fnntRViw9%2bljglVFUxzN60s3ZxyDulPo%3d
1,10,6,9,15,3,Revolver,11,9,Sub Zero,9,/teams/events/match_report/?EventGameId=CnttfRZOx9v%2fnntRViw9%2bljglVFUxzN60s3ZxyDulPo%3d
0,12,4,12,15,2,Truck Stop,12,5,Ring of Fire,8,/teams/events/match_report/?EventGameId=cxJOBD4zT7ErRQD3Khs6%2bIESVHsHOqBOLy5GiMfQ5uM%3d
1,15,3,15,12,5,Ring of Fire,15,2,Truck Stop,5,/teams/events/match_report/?EventGameId=cxJOBD4zT7ErRQD3Khs6%2bIESVHsHOqBOLy5GiMfQ5uM%3d
0,6,1,6,15,12,Freaks,8,10,Comunidad El Oso,7,/teams/events/match_report/?EventGameId=PtMIF4JUK7s8lhO50v5EGsNvViAPEWdnLKPSnDguSnY%3d
1,14,5,15,8,10,Comunidad El Oso,15,12,Freaks,3,/teams/events/match_report/?EventGameId=PtMIF4JUK7s8lhO50v5EGsNvViAPEWdnLKPSnDguSnY%3d
0,3,1,3,15,8,Chicago Machine,3,11,MAKAWUA,12,/teams/events/match_report/?EventGameId=Yl5244zsaAASfIPsn7di1AKZl6hG8E%2bjBBLunJm3up0%3d
1,14,8,15,3,11,MAKAWUA,15,8,Chicago Machine,3,/teams/events/match_report/?EventGameId=Yl5244zsaAASfIPsn7di1AKZl6hG8E%2bjBBLunJm3up0%3d
0,15,3,15,12,3,Revolver,15,7,Nomadic Tribe,3,/teams/events/match_report/?EventGameId=F24OGx3yEQPPGlOwvZJnt4LYb%2fkoBa1RxLlep%2bSSrUY%3d
1,12,2,12,15,7,Nomadic Tribe,12,3,Revolver,4,/teams/events/match_report/?EventGameId=F24OGx3yEQPPGlOwvZJnt4LYb%2fkoBa1RxLlep%2bSSrUY%3d
0,15,2,15,11,12,Freaks,15,7,Nomadic Tribe,4,/teams/events/match_report/?EventGameId=mGCmnw55nZKMh%2bRr8Yz80SGVTyCcrlU78CPL4Ubv3Wc%3d
1,11,1,11,15,7,Nomadic Tribe,11,12,Freaks,5,/teams/events/match_report/?EventGameId=mGCmnw55nZKMh%2bRr8Yz80SGVTyCcrlU78CPL4Ubv3Wc%3d
0,11,3,13,13,8,Chicago Machine,14,12,Freaks,6,/teams/events/match_report/?EventGameId=YN1mq2kvEpf29vKB5FisOJBG98USV2Wwx%2f%2beNl%2bm8pY%3d
1,11,4,13,14,12,Freaks,13,8,Chicago Machine,7,/teams/events/match_report/?EventGameId=YN1mq2kvEpf29vKB5FisOJBG98USV2Wwx%2f%2beNl%2bm8pY%3d
