,No.,Name,Position,Height,Points,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Jacob Janin,,,4.0,6.0,,1.0,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,JACOB JANIN
1,1,Garrett Martin,Handler,"5'11""",3.0,,1.0,,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,GARRETT MARTIN
2,2,Brice Dixon,,,6.0,7.0,2.0,1.0,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,BRICE DIXON
3,3,Thomas Kulczak,Handler,"5'11""",1.0,1.0,1.0,2.0,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,THOMAS KULCZAK
4,4,Zachary Goulson,,,3.0,3.0,,1.0,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,ZACHARY GOULSON
5,5,Nathan Kwon,,"1'0""",1.0,2.0,2.0,1.0,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,NATHAN KWON
6,6,Philip Murray,Mid,"6'0""",6.0,4.0,,,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,PHILIP MURRAY
7,7,Eli Friedman,,"5'10""",,3.0,,1.0,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,ELI FRIEDMAN
8,8,Camden Allison-Hall,,,,,,,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,CAMDEN ALLISON-HALL
9,9,Simon Montague,,,6.0,13.0,1.0,2.0,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,SIMON MONTAGUE
10,10,Dongyang Chen,,,,,,,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,DONGYANG CHEN
11,11,Christian Foster,,,2.0,,1.0,2.0,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,CHRISTIAN FOSTER
12,15,Derek Mourad,Dump,"5'2""",,,,,/events/teams/?EventTeamId=rDP8fX09YDrAIIrRhZuqxYi9FLBcKvFW9MJvYuQCtEk%3d,Sockeye,1,DEREK MOURAD
