,home_score,away_score,url,home_team,away_team,home_seed,away_seed,home_final_score,away_final_score
0,0,0,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
1,0,1,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
2,1,1,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
3,2,1,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
4,2,2,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
5,3,2,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
6,3,3,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
7,4,3,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
8,4,4,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
9,5,4,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
10,5,5,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
11,6,5,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
12,6,6,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
13,6,7,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
14,7,7,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
15,7,8,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
16,7,9,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
17,8,9,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
18,8,10,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
19,9,10,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
20,9,11,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
21,10,11,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
22,10,12,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
23,11,12,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
24,12,12,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
25,12,13,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
26,13,13,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
27,14,13,/teams/events/match_report/?EventGameId=fWMiX%2b5w%2bLmjdsdknFf3r3yfVL6zuXpQXpL%2buiGMTlU%3d,Sockeye,Chicago Machine,1,8,14,13
0,0,0,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d,PoNY,Ring of Fire,4,5,10,14
1,1,0,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d,PoNY,Ring of Fire,4,5,10,14
2,1,1,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d,PoNY,Ring of Fire,4,5,10,14
3,2,1,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d,PoNY,Ring of Fire,4,5,10,14
4,2,2,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d,PoNY,Ring of Fire,4,5,10,14
5,3,2,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d,PoNY,Ring of Fire,4,5,10,14
6,3,3,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d,PoNY,Ring of Fire,4,5,10,14
7,4,3,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d,PoNY,Ring of Fire,4,5,10,14
8,4,4,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d,PoNY,Ring of Fire,4,5,10,14
9,5,4,/teams/events/match_report/?EventGameId=Urs7JSGtWBsBPm1zAX5z7E4zp3wvmEFU1HewA2AGk%2bo%3d,PoNY,Ring of Fire,4,5,10,14
